Term,RAG_Context_Used,Category,Reasoning,NLD
deep lake,True,Depositional System,The NLD describes a depositional model for a lacustrine system composed of linked depositional units like platforms and buildups.,"A deep lake is a depositional model for the Brazilian Pre-Salt carbonates that postulates a lacustrine system with significant water depths, often exceeding hundreds of meters. In this model, carbonate deposition occurs as microbial platforms and isolated buildups, with evidence derived from seismic interpretations of features like dipping reflectors interpreted as slope clinoforms."
evaporation,True,Geological Process,"The NLD defines evaporation as a key depositional process that modifies the chemical composition of a basin, leading to rock formation.","Evaporation is a key depositional process that removes water from a basin as vapor, thereby concentrating dissolved ions. In the restricted lacustrine systems of the Brazilian Pre-Salt, this process increased water alkalinity and salinity to the point of supersaturation. This chemical change was the primary driver for the abiotic precipitation of reservoir-forming carbonates, Mg-silicate gels, and overlying thick evaporite sequences."
facies,True,Sedimentary Facies,"The NLD defines it as a set of characteristics reflecting a depositional environment, which directly aligns with the definition of Sedimentary Facies.","Facies is a body of rock that is defined by a distinctive set of observable lithological, biological, and physical characteristics. These characteristics reflect the specific depositional or diagenetic environment in which the rock was formed, with examples in the Pre-Salt including coquinas, spherulites, and laminates. In petroleum geology, the term also extends to seismic facies, which are seismically identifiable units defined by their reflection patterns and attributes, used to infer lithology and depositional settings away from well control."
hydrothermal fluid,True,Earth Fluid,"The NLD defines the term as a hot subsurface fluid, which directly corresponds to the GeoCore category Earth Fluid.","A hydrothermal fluid is a hot subsurface fluid that circulates within the Earth's crust, driven by geothermal gradients to redistribute energy and mass. This fluid's circulation causes significant physico-chemical changes in pre-existing rocks, a process known as hydrothermal alteration or diagenesis. In the Brazilian Pre-Salt, these fluids often migrate upwards along faults, interacting with magmatic and basement rocks, and can substantially alter the porosity and permeability of carbonate reservoirs."
intraclast,True,Sediment,"The NLD defines an intraclast as a type of sedimentary grain, which is a fundamental constituent particle of Sediment.","An intraclast is a sedimentary carbonate grain that is composed of reworked fragments of penecontemporaneous Pre-Salt lithologies, such as microbial shrubs, spherulites, or laminated clays, eroded from within the lacustrine depositional basin. These clasts are transported and redeposited by currents, forming intraclastic calcarenites and calcirudites. In the Pre-Salt, these resedimented deposits often constitute significant reservoirs due to well-developed interparticle porosity."
lacustrine carbonate,True,Sedimentary Rock,The NLD explicitly defines the term as a 'sedimentary rock' formed in a lacustrine environment.,"Lacustrine carbonate is a sedimentary rock that is composed primarily of carbonate minerals precipitated or accumulated within a lacustrine (lake) environment. In the context of the South Atlantic Pre-Salt, these are typically alkaline carbonates formed during the Aptian rift phase, where deposition was driven by a combination of microbial activity and widespread abiotic chemical precipitation influenced by mantle-derived CO2 and volcanism. These deposits can form extensive platform-like geometries and constitute the primary reservoir rock in the region."
limestone,True,Sedimentary Rock,The NLD explicitly defines limestone as a 'sedimentary rock' composed principally of calcium carbonate.,"Limestone is a sedimentary rock that is composed principally of calcium carbonate (CaCO3), typically in the form of the mineral calcite. In the context of the Pre-Salt, it is a dominant lithology forming a wide range of lacustrine carbonate facies, including bioclastic grainstones, packstones, wackestones, and laminated mudstones. Its components include various allochems, such as mollusk shells, and a matrix of lime mud (micrite), and it can be subject to diagenetic alteration like dolomitization."
lower cretaceous,True,Geological Time Interval,"The NLD describes this as an epoch and a period on the geological timescale, which fits the definition of a Geological Time Interval.","Lower Cretaceous is the earlier of two epochs of the Cretaceous Period that, in the context of the South Atlantic, encompasses the critical syn-rift and sag phases of continental breakup and the deposition of the entire pre-salt lacustrine petroleum system. This epoch includes the Hauterivian, Barremian, Aptian, and Albian stages, during which the key lacustrine source rocks and microbial carbonate reservoirs of the Brazilian Pre-Salt were deposited prior to the widespread Aptian salt."
peloid,True,Sediment,"The NLD defines a peloid as a type of sedimentary grain, which is a fundamental constituent particle of Sediment.","A peloid is a sedimentary grain that is composed of microcrystalline to cryptocrystalline material, typically carbonate or Mg-silicate, and lacks a discernible internal structure. These sand-sized allochems are commonly rounded and can form through various mechanisms, including fecal pelleting, the micritization of other grains, or the aggregation of mud. In the context of the Brazilian Pre-Salt, both carbonate and Mg-silicate peloids are significant grain constituents in reservoir facies."
piçarras formation,True,Depositional System,"The NLD describes a geological formation as a 'fluvial-lacustrine system' and a 'sequence' of various deposits, which aligns with the definition of a Depositional System as an aggregate of linked depositional units.","The Piçarras Formation is a Barremian-age geological formation that constitutes the lower syn-rift sequence of the Santos Basin, deposited in a non-marine, fluvial-lacustrine system. It is characterized by siliciclastic deposits ranging from proximal alluvial fan conglomerates and sandstones to distal lacustrine siltstones and organic-rich shales with talc-stevensite laminae. These organic-rich shales serve as the main source rocks for the Pre-Salt petroleum system."
recrystallization,True,Geological Process,"The NLD explicitly defines recrystallization as a 'diagenetic process' that modifies minerals, which directly matches the definition of a Geological Process.","Recrystallization is a diagenetic process that modifies the crystal fabric of primary carbonate minerals through changes in crystal size and shape. In the context of Pre-Salt carbonates, this process can transform original fibrous calcite into prismatic crystals while often preserving the primary depositional fabric, unlike neomorphism which typically obliterates original textures. This alteration may occur in an open system via dissolution and re-precipitation, potentially modifying the original geochemical and isotopic signatures of the rock."
rift,True,Geological Process,"The NLD describes a rift as a 'tectonic stage... driven by crustal extension and characterized by active normal faulting,' which aligns with the definition of a Geological Process that modifies geological objects.","Rift is a tectonic stage of basin evolution that is driven by crustal extension and characterized by active normal faulting, which creates structurally controlled depocenters for the accumulation of syn-rift sedimentary sequences. In the context of the South Atlantic margin, this stage is associated with the deposition of lacustrine source rocks and carbonate reservoirs, where the fault systems controlled sedimentation patterns and later served as conduits for hydrocarbon migration."
salt basin,True,Depositional System,"The NLD defines a salt basin by its 'thick succession of evaporites,' which represents a large-scale system of linked depositional units, fitting the definition of a Depositional System.","A salt basin is a sedimentary basin that is characterized by the accumulation of an exceptionally thick succession of evaporites, primarily halite. These basins typically form in tectonically restricted settings, such as during the sag phase of continental rifting, where limited connection to the open ocean and an arid climate promote massive salt precipitation. The resulting salt layer often acts as a regional seal for underlying hydrocarbon systems and controls the structural evolution of the overlying post-rift sequence."
sediment,True,Sediment,"The NLD defines the term as naturally occurring, transportable material composed of particles and grains, which is the exact definition of Sediment in GeoReservoir.","Sediment is naturally occurring material that is transported and deposited by physical processes or is chemically or biochemically precipitated from solution. This material includes a wide range of compositions, such as siliciclastic particles, carbonate grains (muds, grainstones), and chemical precipitates like silicate gels. The accumulation of these materials, often quantified by sedimentation rates, forms the sedimentary fill that comprises depositional sequences within a basin."
siltstone,True,Sedimentary Rock,"The NLD explicitly defines siltstone as a siliciclastic sedimentary rock, which is a direct match for this GeoReservoir category.","Siltstone is a siliciclastic sedimentary rock that is composed predominantly of silt-sized particles. Within the Pre-Salt lacustrine successions, it often occurs as a low-energy, hybrid lithology in depocenters, characterized by a mixture of siliciclastic silt and carbonate material such as mollusk shells. These deposits are found within both syn-rift and sag sequences and can exhibit sedimentary structures like horizontal lamination or bioturbation."
south atlantic ocean,True,site,"The NLD describes an ocean basin, which is a large-scale depression or concavity, fitting the BFO definition of a site as an immaterial entity whose boundaries are determined by material entities.","The South Atlantic Ocean is an ocean basin that formed during the Early Cretaceous separation of the South American and African continents as part of the breakup of Gondwana. Its formation created the conjugate passive margins of Brazil and West Africa, with the initial restricted marine conditions during the Aptian leading to the widespread deposition of evaporites that form the regional seal for the Pre-Salt petroleum systems."
thermal subsidence,True,Geological Process,"The NLD explicitly defines this as a tectonic subsidence process, which directly aligns with the GeoCore category for processes that modify geological objects.","Thermal subsidence is a tectonic subsidence process that is driven by the cooling and contraction of the lithosphere following the cessation of active rifting. This process characterizes the post-rift sag phase, creating the broad, regional accommodation space that healed rift topography and enabled the deposition of the extensive Pre-Salt lacustrine systems and overlying Aptian evaporites."
tholeiitic basalt,True,Rock,"The NLD identifies this term as an extrusive igneous rock, which fits the GeoCore definition of Rock as a solid consolidated Earth Material.","Tholeiitic basalt is an extrusive igneous rock of the tholeiitic magma series that, in the context of the Brazilian Pre-Salt, is associated with the Early Cretaceous rifting of the South Atlantic. These basalts form the economic basement as part of the Camboriú and Cabiúnas formations and also occur as volcanic flows interbedded within the pre-salt rift succession. Geochemically and temporally linked to the Paraná-Etendeka Large Igneous Province, these rocks represent the initial magmatic phase of the continental break-up."
anhydrite,True,Earth Material,"The NLD describes anhydrite as an evaporite mineral, a natural amount of solid matter, which fits the GeoCore definition of Earth Material.","Anhydrite is an evaporite mineral that is a major component of the Aptian salt section in the Santos Basin, characterized by its brittle mechanical behavior and high density. Within the Pre-Salt sequence, it commonly forms a dense, high-velocity basal layer to the main halite body, creating a strong seismic reflector that defines the base of the salt. Its presence in stratified salt cycles moderates halokinesis, leading to less intense salt deformation and thinner salt structures compared to regions dominated by ductile halite."
deposition,True,Geological Process,The NLD explicitly defines deposition as a geological process that results in the formation of sedimentary rock layers.,"Deposition is a geological process by which sediments, minerals, and organic matter are laid down or settled out of a transporting medium such as water. This accumulation of material forms layers of sedimentary rock, with the final rock characteristics being controlled by the physical, chemical, and biological conditions of the depositional environment. In the Brazilian Pre-Salt, this process is responsible for the accumulation of key carbonate reservoir rocks in shallow, alkaline lacustrine systems and the overlying thick evaporite sequences."
graben,True,Geological Object,"The NLD describes a graben as a distinct, down-dropped structural block of rock, which fits the definition of a rigid entity with its own identity.","A graben is a depressed structural block that is down-dropped between two or more sub-parallel normal faults as a result of crustal extension. In rift settings such as the Brazilian Pre-Salt, grabens evolve from small, isolated features into larger, linked systems that serve as primary depocenters for syn-rift sediments. These tectonic features can also act as significant permeability barriers, leading to the compartmentalization of hydrocarbon reservoirs."
horst,True,Geological Object,"The NLD defines a horst as an uplifted structural block, which is a rigid geological entity with its own identity criteria.","A horst is an uplifted structural block that is bounded by normal faults, creating a structural high relative to adjacent, down-dropped blocks known as grabens. In extensional rift settings such as the Brazilian Pre-Salt, horsts represent basement-involved highs that influence syn-rift depositional patterns and can be reactivated, forming critical structural traps for hydrocarbon accumulations."
hydrocarbon,True,Earth Fluid,"The NLD describes hydrocarbons as naturally occurring fluids (oil and gas) found in subsurface reservoirs, matching the definition of Earth Fluid.","Hydrocarbon is a naturally occurring organic compound that consists primarily of hydrogen and carbon atoms, forming molecules of various sizes and complexities. In a petroleum geology context, these compounds are generated from the thermal maturation of organic matter and exist as liquid (crude oil) and gaseous (natural gas) phases. These fluids migrate and accumulate in subsurface reservoirs, forming economically significant deposits referred to as hydrocarbon columns or accumulations."
kwanza basin,True,Depositional System,"The NLD describes the basin as a large-scale feature containing an aggregate of linked depositional successions and deposits, fitting the GeoReservoir definition.","The Kwanza Basin is a major sedimentary rift basin on the continental margin of Angola that contains a significant pre-salt succession deposited during the Early Cretaceous opening of the South Atlantic. Its pre-salt stratigraphy is characterized by Barremian synrift deposits, including mollusk grainstones and organic-rich mudstones, which are overlain by Aptian sag-phase carbonates. The basin hosts important petroleum systems and is a key geological analogue to the pre-salt basins on the conjugate Brazilian margin."
lithology,True,Sedimentary Facies,"The NLD defines lithology as the characterization of a rock's physical attributes, which is consistent with the definition of a Sedimentary Facies as the sum of sedimentological characteristics.","Lithology is the characterization of a rock or stratigraphic unit that is based on its physical attributes, including composition, mineralogy, texture, and grain size. In the context of Brazilian Pre-Salt carbonates, this involves identifying specific rock types such as shrubstones, spherulitestones, grainstones, and rudstones, which result from complex depositional and diagenetic processes. This characterization is fundamental for defining reservoir facies, interpreting depositional environments, and constructing geological models."
mound,True,Mound Unit,"The NLD describes a carbonate buildup with a 'mounded external geometry,' which directly corresponds to the definition of a Mound Unit.","A mound is a carbonate buildup that forms a positive topographic feature whose genesis is strongly controlled by fluid expulsion along deep-seated fault systems. In the Brazilian Pre-Salt, these features are identified on seismic data as isolated or ridge-like bodies with a mounded external geometry, chaotic or convex internal reflections, and can reach heights of several hundred meters. Their formation is commonly attributed to precipitation from sub-lacustrine hydrothermal vents or springs, creating significant lacustrine carbonate reservoirs."
mudstone,True,Sedimentary Rock,The NLD explicitly defines mudstone as a type of fine-grained sedimentary rock.,"Mudstone is a fine-grained sedimentary rock that, in the Brazilian Pre-Salt context, is primarily composed of laminated magnesian clays with variable subordinate amounts of terrigenous silt, calcite, dolomite, and silica. These rocks encompass a wide compositional range, including organic-rich varieties that are critical petroleum source rocks deposited in low-energy lacustrine environments."
ostracod,True,object,"The NLD defines an ostracod as a crustacean, which is a biological organism, best classified under the foundational BFO category 'object' as a material entity with causal unity.","An ostracod is a microscopic aquatic crustacean that is enclosed in a bivalved carapace and serves as a primary tool for biostratigraphic zonation in the non-marine Lower Cretaceous successions of the Brazilian Pre-Salt. Due to their tolerance for stressed environments, such as deep or saline lacustrine settings, their presence and abundance are key indicators of paleoenvironmental conditions. The accumulation of their small shells can form significant bioclastic deposits, including ostracod grainstones, packstones, and wackestones."
packstone,True,Sedimentary Rock,The NLD explicitly defines packstone as a type of grain-supported sedimentary carbonate rock.,"Packstone is a grain-supported sedimentary carbonate rock that contains a matrix of carbonate mud (micrite) in the interstitial spaces between grains. In Pre-Salt successions, the grains are typically mollusk shells and fragments, but can also include spherulites, ostracods, and ooids. These rocks often form important reservoirs, especially where diagenetic processes like shell leaching have created significant moldic porosity."
progradation,True,Geological Process,"The NLD explicitly defines this as a depositional process that results in the outbuilding of strata, which fits the GeoCore definition.","Progradation is a depositional process that results in the lateral, basinward outbuilding of strata. This pattern occurs when the rate of sediment supply is greater than the rate of accommodation creation, causing depositional environments, such as shorelines or carbonate platform margins, to migrate into the basin. In seismic reflection data, progradation is characteristically expressed as clinoforms or prograding wedges, which are key geometries for interpreting the evolution of depositional systems like the lacustrine carbonate buildups of the Pre-Salt."
reservoir facies,True,Sedimentary Facies,"The NLD describes a distinct rock unit defined by its sedimentological characteristics and properties, which aligns with the definition of a Sedimentary Facies.","Reservoir facies is a distinct rock unit that possesses sufficient porosity and permeability to store and transmit hydrocarbons. In the Brazilian Pre-Salt, these are predominantly lacustrine carbonates whose reservoir potential is defined by specific depositional textures and subsequent diagenetic alteration. Key examples include coquinas, in-situ crystal shrubs, and reworked grainstones composed of spherulites."
siliciclastic,True,quality,"The NLD defines this as an adjective describing the composition of rocks, which is a fundamental property or quality that inheres in a material entity.","Siliciclastic is an adjective describing a class of sedimentary rocks and sediments that are composed predominantly of silicate minerals and rock fragments derived from the weathering and erosion of pre-existing rocks. This class includes common rock types such as sandstones, siltstones, and conglomerates, which are composed of clasts like quartz and fragments of rocks such as quartzite, gneiss, and schist. In the South Atlantic pre-salt basins, these deposits are found in syn-rift and sag sequences, often sourced from the erosion of basement highs and interbedded with carbonate facies."
trap,True,Geological Structure,"The NLD describes a trap as a 'geological configuration' of rocks formed by structural elements, which matches the definition of a Geological Structure.","A trap is a geological configuration of reservoir and seal rocks that confines and holds buoyant hydrocarbons, formed by a combination of structural and/or stratigraphic elements. In the Brazilian Pre-Salt, the dominant style is a structural trap characterized by a four-way closure of the carbonate reservoir against the overlying thick salt layer, which acts as the main seal."
wackestone,True,Sedimentary Rock,"The NLD explicitly defines wackestone as a type of carbonate rock, which is a direct sub-class of the GeoReservoir category Sedimentary Rock.","Wackestone is a mud-supported carbonate rock that is characterized by containing more than 10% grains floating within a fine-grained carbonate mud matrix. In Pre-Salt lacustrine settings, these rocks indicate low-energy depositional environments and are composed of grains such as mollusk fragments, ostracods, or spherulites within a matrix of lime mud, dolomite, or argillaceous minerals."
half-graben,True,Geological Structure,"The NLD defines it as an 'asymmetric structural basin' bounded by faults, which is a configuration or arrangement of geological parts, fitting the GeoCore definition of a Geological Structure.","A half-graben is an asymmetric structural basin that is bounded by a major normal fault on one side and a tilted, gently dipping ramp on the other. Formed in extensional or transtensional tectonic settings such as continental rifts, they are filled with syn-tectonic sediments that typically exhibit a wedge-shaped, divergent geometry thickening towards the main bounding fault."
reflector termination,True,Geological Contact,"The NLD describes a 'geometric relationship' where a reflector ends against another surface, which is a type of contact between geological bodies or their boundaries.","Reflector termination is a geometric relationship observed in seismic reflection data that describes the lateral ending of a seismic reflector against another surface or reflector. The analysis of termination patterns, such as onlap, downlap, toplap, and erosional truncation, is a fundamental component of seismic stratigraphy used to interpret depositional geometries, stratal relationships, and define sequence boundaries."
seal,True,Sedimentary Geological Object,"The NLD defines a seal as a 'rock unit' that acts as a barrier, which is a type of geological object typically constituted by sedimentary rock.","A seal is a low-permeability rock unit that forms a barrier to fluid flow, capable of trapping petroleum columns within a reservoir. Seals are categorized as static, which are completely impermeable over geological time, or dynamic, which are low-permeability baffles that restrict flow over production timescales but may allow pressure equilibration over geological time."
tectonic activity,True,Geological Process,"The NLD explicitly defines the term as a 'geological process' involving deformation, faulting, and folding, which directly aligns with the GeoCore category.","Tectonic activity is a geological process that encompasses the deformation of the Earth's crust, manifesting as faulting, folding, and variations in subsidence. In a sedimentary basin, its intensity directly controls the creation of accommodation space, the development of structural features like horsts and grabens, and the distribution of sedimentary facies and reservoir quality. Periods of high activity are characterized by syn-depositional faulting and growth strata, while low activity is indicated by the deposition of more continuous and laterally extensive stratigraphic units."
rift section,True,Depositional System,"The NLD describes a 'tectono-stratigraphic sequence' comprising multiple rock units deposited during a specific phase, which fits the definition of a system of linked depositional units.","A rift section is a tectono-stratigraphic sequence that comprises the sedimentary and volcanic rocks deposited during the extensional rifting phase of a basin's evolution, with deposition strongly controlled by active normal faulting. In the Brazilian Pre-Salt basins, this section is typically divided into lower and upper rift phases, encompassing lithologies from basal volcanic rocks and fluvial-lacustrine siliciclastics to the primary organic-rich source rocks and early bioclastic carbonate reservoirs."
syn-depositional faulting,True,Geological Process,The NLD explicitly defines this as a structural process involving fault movement and sedimentation that modifies geological objects.,"Syn-depositional faulting is a structural process that involves fault movement occurring contemporaneously with sedimentary deposition. This concomitance between structural activity and sedimentation creates accommodation space, resulting in thicker stratigraphic packages on the downthrown block of the fault. In sag basins like the Brazilian Pre-Salt, this process is a primary control on facies distribution and lateral variations in reservoir quality."
tectonics,True,Geological Process,The NLD defines tectonics as a set of large-scale geological processes that deform the Earth's crust and form structural features.,"Tectonics is the set of large-scale geological processes that involve the deformation of the Earth's crust and lithosphere, resulting in the formation of structural features such as faults, folds, and sedimentary basins. In the context of the Brazilian Pre-Salt, these processes encompass the syn-rift, post-rift, and inversion stages that governed the basin's structural framework and the deposition of tectono-stratigraphic sequences. The tectonic evolution directly controls the creation of accommodation space and the architecture of reservoir and source rock intervals."
normal fault,True,Geological Structure,"The NLD describes a fault, which is a classic example of a geological structure representing the arrangement and relationship between rock blocks.","A normal fault is a dip-slip fault that accommodates crustal extension, characterized by the hanging wall block moving downward relative to the footwall block. In the Brazilian Pre-Salt basins, these faults are the primary structures formed during the Aptian rifting phase, typically exhibiting NNE to NE-SW strikes and bounding major rift blocks. They are fundamental in creating the horst and graben geometries that control the deposition and trapping of hydrocarbons within the pre-salt section."
structural low,True,Geological Structure,"The NLD defines this as a structural feature, like a graben, which describes the configuration of the crust relative to adjacent areas.","A structural low is a structural feature that is topographically lower in elevation than adjacent areas, typically formed by tectonic processes such as faulting. In extensional rift settings like the Brazilian Pre-Salt, these features often manifest as grabens or half-grabens flanking structural highs and serve as depocenters for sedimentary sequences, which may exhibit distinct seismic facies like onlapping, high-amplitude parallel reflectors."
laminite,True,Sedimentary Rock,The NLD explicitly defines laminite as a type of finely laminated sedimentary carbonate rock.,"Laminite is a finely laminated sedimentary carbonate rock that is typically of microbial origin and deposited in a shallow-water lacustrine setting. In the Brazilian Pre-Salt, this facies is considered an indicator of shallow, hyper-alkaline lake environments and often forms the basal component of shallowing-upwards cycles, representing a flooding stage. These microbial laminites are frequently associated with stromatolites and can be sharply overlain by grainstones or shrub facies within depositional sequences."
rudstone,True,Sedimentary Rock,"The NLD explicitly defines rudstone as a 'grain-supported sedimentary carbonate rock', which directly matches this GeoReservoir category.","Rudstone is a grain-supported sedimentary carbonate rock that is characterized by grains larger than 2 mm in diameter, which in the Pre-Salt context are predominantly composed of whole or fragmented bivalve shells. This facies, often described as a coquina, typically displays massive or cross-bedded depositional features and can develop significant moldic and vuggy porosity, making it an important reservoir lithotype."
hydrothermal vent complex,True,Geological Object,"The NLD describes a distinct 'pipe-like geological complex' formed by a geological process, fitting the GeoCore definition of a Geological Object.","A hydrothermal vent complex is a pipe-like geological complex that is formed by the fracturing, transport, and eruption of hydrothermal fluids and sediments through the crust. These seismic-scale features, often appearing as isolated mound-like buildups, are associated with intrusive events in continental rift settings and can play a significant role in carbonate reservoir formation and heterogeneity."
alkaline lacustrine environment,True,site,"The NLD describes a depositional 'environment' or 'setting', which corresponds to the BFO concept of a site where processes occur.","An alkaline lacustrine environment is a lacustrine depositional environment that is characterized by lake waters with high alkalinity, typically with a pH greater than 9. Often associated with high salinity and evaporative conditions, this setting is conducive to the precipitation of distinctive minerals like stevensite and extensive non-skeletal carbonates, while being inhospitable to fauna such as mollusks."
aquifer,True,Geological Object,"The NLD defines an aquifer as a 'subsurface body of permeable rock', which is a distinct entity with unity criteria, fitting the GeoCore definition of a Geological Object.","An aquifer is a subsurface body of permeable rock that is saturated with and can transmit significant quantities of groundwater. In the context of the Brazilian Pre-Salt, aquifers are often hosted in fractured crystalline basement and can provide regional pressure support to hydrocarbon reservoirs or act as conduits for groundwater and hydrothermal fluids feeding the lacustrine depositional systems."
aragonite,True,Earth Material,"The NLD defines aragonite as a 'mineral', which is a type of natural solid matter, fitting the GeoCore definition of Earth Material.","Aragonite is a calcium carbonate mineral (CaCO3) that is a common polymorph of calcite. In the context of the Pre-Salt, it is significant as the original biogenic mineral forming mollusk shells, which is typically unstable and undergoes neomorphism to calcite during diagenesis."
desiccation,True,Geological Process,"The NLD explicitly defines desiccation as a geological process involving the drying of sediments, which modifies geological objects.","Desiccation is a geological process that involves the drying out of exposed or shallowly submerged sediments due to evaporation. In Pre-Salt lacustrine settings, this process leads to the formation of features such as syndepositional desiccation cracks and drives the precipitation of evaporite minerals from concentrated brines. Cyclic episodes of desiccation alternating with flooding events are fundamental to the depositional models for both the carbonate reservoir facies and the overlying stratified evaporite seals."
dolomitization,True,Geological Process,The NLD defines dolomitization as a diagenetic process that modifies the mineral composition of carbonate rocks.,"Dolomitization is a diagenetic process that involves the replacement of precursor calcium carbonate minerals with the mineral dolomite through interaction with magnesium-rich fluids. In Pre-Salt lacustrine settings, this process often occurs during early diagenesis, but dolomite can also form as a primary precipitate or a pore-filling cement, significantly altering reservoir properties."
espírito santo basin,True,Depositional System,"The NLD describes a large sedimentary basin composed of various depositional stages and units, fitting the definition of a Depositional System.","The Espírito Santo Basin is a South Atlantic marginal sedimentary basin that is located on the southeastern coast of Brazil, contiguous with the Campos and Santos basins, and formed during the Early Cretaceous rifting of West Gondwana. As a conjugate to the Kwanza Basin in West Africa, it evolved through rift, sag, and post-rift stages, which include the deposition of extensive pre-salt lacustrine carbonates and a thick overlying salt layer, forming a major petroleum province."
facies association,False,Facies Association,The term is explicitly defined in the GeoReservoir ontology and the NLD matches the definition of a group of genetically related facies.,"A facies association is a group of sedimentary facies that are genetically related and characteristically occur together, representing deposition within a specific paleoenvironmental setting or system. The analysis of facies associations is critical for interpreting depositional systems, such as the lacustrine carbonate systems of the Pre-Salt, and for predicting the distribution of reservoir rocks."
fault zone,True,Geological Structure,"The NLD describes a zone of deformation with internal complexity and related parts, which fits the definition of a Geological Structure.","A fault zone is a tabular zone of brittle deformation that consists of numerous, geometrically and kinematically related fault strands and branches. It accommodates significant displacement and is characterized by internal complexity, including high-strain fault branches and low-strain intra-fault domains that often control the location of syn-rift depocenters. Such zones can be highly segmented, exhibit varying fault polarity, and evolve through processes of fault growth and linkage."
flood basalt,True,Rock,"The NLD describes it as a type of basaltic rock, which is a solid consolidated Earth Material fitting the GeoCore category.","Flood basalt is an extensive succession of basaltic lava flows that results from the voluminous extrusion of mafic magma onto a continental surface, often associated with rifting. In the context of the South Atlantic margin, these tholeiitic basalts, such as those of the Cabiúnas and Camboriú Formations, were extruded during the early rift phase and constitute the economic basement for the overlying Pre-Salt carbonate reservoirs."
florianópolis high,True,Geological Structure,"The NLD defines this as a 'regional structural high' and 'basement feature', which describes a large-scale configuration of geological parts, fitting the GeoCore definition.","Florianópolis High is a regional structural high that defines the southern boundary of the Santos Basin, separating it from the Pelotas Basin on the southeastern Brazilian continental margin. This basement feature acted as a critical paleogeographic barrier during the Aptian, restricting marine circulation from the south and enabling the deposition of the extensive pre-salt evaporite sequence."
gneiss,True,Rock,"The NLD explicitly defines gneiss as a type of metamorphic rock, which is a solid consolidated Earth Material fitting the GeoCore category.","Gneiss is a high-grade foliated metamorphic rock that is characterized by distinct compositional banding where light-colored minerals are segregated from dark-colored minerals. In the context of the South Atlantic pre-salt basins, gneiss constitutes a major component of the crystalline basement which, upon erosion during rifting, provided clasts for the syn-rift conglomerates."
hydrothermal vent,True,Geological Structure,"The NLD explicitly defines it as a 'geological structure' and a 'pipe-like complex', which describes a configuration of geological parts, fitting the GeoCore definition.","A hydrothermal vent is a geological structure, often forming a pipe-like complex, that is created by the fracturing, transport, and eruption of geothermally heated fluids and associated sediments. In the Brazilian Pre-Salt, these features are identified on seismic data as mounds or vertical discontinuities and are interpreted as conduits for deep-seated fluids, including mantle-derived CO2, which influence diagenesis and can form associated travertine deposits."
intra-alagoas unconformity,True,Geological Boundary,"The NLD defines this as a 'stratigraphic surface that separates' rock sections, which directly corresponds to the GeoCore definition of a physical discontinuity.","The Intra-Alagoas Unconformity is an intra-formational stratigraphic surface that separates the lower and upper sections of the Barra Velha Formation within the Aptian Pre-Salt succession of the Santos Basin. Dated to approximately 117 Ma, it is seismically characterized as a regional, high-amplitude, continuous positive reflector that represents a significant period of erosion influencing the architecture of overlying carbonate reservoirs."
lagoa feia group,True,Depositional System,"The NLD describes a stratigraphic group as a collection of deposits and formations, which aligns with the definition of a Depositional System as an aggregate of linked Depositional Units.","The Lagoa Feia Group is a Barremian to Late Aptian stratigraphic group in the Campos Basin, offshore Brazil, that comprises lacustrine siliciclastic and carbonate deposits of the pre-salt section, deposited during the rift and sag phases of the South Atlantic opening. It is stratigraphically positioned above the Cabiúnas Formation and extends to the top of the Retiro Formation evaporites, encompassing key reservoir intervals such as the Macabu Formation. The group is the stratigraphic equivalent of the Guaratiba Group in the Santos Basin and represents a critical component of the petroleum system in the Brazilian Pre-Salt."
lake tanganyika,True,site,"The NLD describes a lake, which is a depression or basin on the Earth's surface, fitting the BFO definition of a site as a 3D immaterial entity defined by surrounding material.","Lake Tanganyika is a modern rift lake in eastern Africa that serves as a key geological analogue for the Aptian pre-salt lacustrine systems of the South Atlantic. As one of the world's largest and deepest rift lakes, its dimensions, latitudinal position, and hydrochemistry are used for comparative studies and quantitative modeling of the ancient carbonate-producing lakes of the Santos and Campos basins."
marine carbonate,True,Sedimentary Rock,"The NLD explicitly defines the term as a type of carbonate rock, which is a direct subclass of Sedimentary Rock.","Marine carbonate is a carbonate rock that is precipitated from seawater through biological or chemical processes within a marine depositional environment. The depositional architecture and facies distribution of marine carbonate systems are primarily controlled by the interplay between sea-level fluctuations and the rate of carbonate factory production. These systems are distinct from lacustrine carbonates, such as those found in the Brazilian Pre-Salt, which are governed by different hydrochemical and climatic controls."
marl,True,Sedimentary Rock,"The NLD directly defines marl as a type of fine-grained sedimentary rock, making it a clear instance of the Sedimentary Rock category.","Marl is a fine-grained sedimentary rock that is composed of a variable mixture of carbonate minerals and clay. Within Pre-Salt lacustrine settings, these rocks are characteristically rich in magnesium-bearing minerals such as stevensite and dolomite, reflecting deposition in highly alkaline lake waters. They are typically deposited in shallower, more oxidized water conditions compared to associated organic-rich muds."
moldic porosity,True,quality,"The NLD defines moldic porosity as a type of porosity, which is a measurable property or quality that inheres in a rock.","Moldic porosity is a type of secondary porosity that is formed by the selective dissolution of a pre-existing constituent of a rock, such as a shell or crystal, where the resulting pore space preserves the shape of the original component. In Brazilian Pre-Salt carbonate reservoirs, it is a significant porosity type commonly created by the dissolution of mollusk shells within coquinas and packstones, often by meteoric or hydrothermal fluids."
