Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,FALLBACK,NLD,Category_IRI,Parent_IRI
pre-alagoas unconformity,unconformity,rdf:type,Geological Boundary,False,False,"Pre-Alagoas unconformity is a regional unconformity of Aptian age that separates the underlying syn-rift sequence from the overlying post-rift sag sequence within the Brazilian Pre-Salt basins. This surface marks the top of the Itapema Formation and represents a significant depositional hiatus, often characterized seismically as a low to medium amplitude, discontinuous reflector.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,
intra-alagoas unconformity,unconformity,rdf:type,Geological Boundary,False,False,"The Intra-Alagoas Unconformity is an intra-formational stratigraphic surface that separates the lower and upper sections of the Barra Velha Formation within the Aptian Pre-Salt succession of the Santos Basin. Dated to approximately 117 Ma, it is seismically characterized as a regional, high-amplitude, continuous positive reflector that represents a significant period of erosion influencing the architecture of overlying carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,
erosional truncation,Geological Boundary,rdfs:subClassOf,Geological Boundary,False,False,"Erosional truncation is a type of stratal termination that is characterized by the cutting off of inclined seismic reflectors by an overlying surface representing an episode of erosion. This geometric relationship, observed on seismic profiles, is a primary indicator of an unconformity, which marks a significant depositional hiatus and often defines the boundary of a stratigraphic sequence.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011
base salt,Geological Contact,rdfs:subClassOf,Geological Boundary,False,False,"Base salt is a regional seismic-stratigraphic surface that defines the bottom of the Aptian evaporite sequence and the top of the underlying pre-salt carbonate section, such as the Barra Velha Formation. It is seismically expressed as a high-amplitude, continuous positive reflector generated by a basal layer of dense anhydrite, which creates a significant acoustic impedance contrast with the underlying carbonates.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012
antecedent topography,Geological Contact,rdfs:subClassOf,Geological Boundary,False,False,"Antecedent topography is a pre-existing landscape or paleotopographic surface that controls the depositional architecture and facies distribution of overlying sedimentary units. Within the Brazilian Pre-Salt, this topography is primarily inherited from syn-rift fault blocks and the Pre-Alagoas unconformity, providing a substrate that dictates the location and geometry of subsequent lacustrine carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000011,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012
reflector termination,Geological Contact,rdfs:subClassOf,Geological Contact,False,False,"Reflector termination is a geometric relationship observed in seismic reflection data that describes the lateral ending of a seismic reflector against another surface or reflector. The analysis of termination patterns, such as onlap, downlap, toplap, and erosional truncation, is a fundamental component of seismic stratigraphy used to interpret depositional geometries, stratal relationships, and define sequence boundaries.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012
spherulite,Sedimentary Particle,rdfs:subClassOf,Geological Object,False,False,"Spherulite is a chemogenic sedimentary particle that is composed of radiating fibrous calcite crystals forming a distinct spherical shape. These particles are interpreted to precipitate directly from calcite-supersaturated, saline, and alkaline lacustrine waters at the sediment-water interface, and are a common grain type within the Aptian Pre-Salt sag interval, often associated with Mg-silicate clays.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
economic basement,Stratigraphic Unit,rdfs:subClassOf,Geological Object,False,False,"Economic basement is a subsurface stratigraphic unit that represents the deepest interval considered for hydrocarbon exploration, below which drilling is deemed economically or technically unviable. In the Brazilian Pre-Salt of the Santos Basin, this unit is specifically composed of the Hauterivian-age volcanic rocks of the Camboriú Formation. These basalts lie unconformably over the older Precambrian crystalline basement and represent the initial syn-rift phase.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
camboriú formation,Formation,rdf:type,Geological Object,False,False,"The Camboriú Formation is a Lower Cretaceous stratigraphic unit that constitutes the economic basement of the Santos Basin, composed primarily of syn-rift volcanic rocks. This formation consists mainly of tholeiitic basalts and associated dyke swarms emplaced during the initial Hauterevian rifting phase, although it may also include older sedimentary rift units at its base. It lies unconformably over the Precambrian crystalline basement and is directly overlain by the lacustrine deposits of the Piçarras Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
graben,Structural Block,rdfs:subClassOf,Geological Object,False,False,"A graben is a depressed structural block that is down-dropped between two or more sub-parallel normal faults as a result of crustal extension. In rift settings such as the Brazilian Pre-Salt, grabens evolve from small, isolated features into larger, linked systems that serve as primary depocenters for syn-rift sediments. These tectonic features can also act as significant permeability barriers, leading to the compartmentalization of hydrocarbon reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
horst,Structural Block,rdfs:subClassOf,Geological Object,False,False,"A horst is an uplifted structural block that is bounded by normal faults, creating a structural high relative to adjacent, down-dropped blocks known as grabens. In extensional rift settings such as the Brazilian Pre-Salt, horsts represent basement-involved highs that influence syn-rift depositional patterns and can be reactivated, forming critical structural traps for hydrocarbon accumulations.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
hydrothermal vent complex,Geological Structure,rdfs:subClassOf,Geological Object,False,False,"A hydrothermal vent complex is a pipe-like geological complex that is formed by the fracturing, transport, and eruption of hydrothermal fluids and sediments through the crust. These seismic-scale features, often appearing as isolated mound-like buildups, are associated with intrusive events in continental rift settings and can play a significant role in carbonate reservoir formation and heterogeneity.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
aquifer,site,rdfs:subClassOf,Geological Object,False,False,"An aquifer is a subsurface body of permeable rock that is saturated with and can transmit significant quantities of groundwater. In the context of the Brazilian Pre-Salt, aquifers are often hosted in fractured crystalline basement and can provide regional pressure support to hydrocarbon reservoirs or act as conduits for groundwater and hydrothermal fluids feeding the lacustrine depositional systems.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,http://purl.obolibrary.org/obo/BFO_0000029
precambrian basement,Stratigraphic Unit,rdfs:subClassOf,Geological Object,False,False,"Precambrian basement is a complex of crystalline igneous and metamorphic rocks that formed during the Precambrian eon and constitutes the fundamental crustal framework beneath the volcanic and sedimentary sequences of a rift basin. In the context of the Brazilian Pre-Salt, it is typically composed of granitoids, orthogneisses of tonalitic to syenogranitic composition, and associated high-grade metamorphic rocks. This crystalline basement is unconformably overlain by Mesozoic flood basalts, which in turn form the economic basement directly beneath the Pre-Salt sag and rift sequences.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
ooid,Sedimentary Particle,rdfs:subClassOf,Geological Object,False,False,"An ooid is a coated sedimentary grain, typically spherical and less than 2 mm in diameter, that is formed by the concentric precipitation of mineral layers around a central nucleus. In the context of Pre-Salt lacustrine systems, ooids accumulate in agitated, high-energy environments to form reservoir facies such as ooid grainstones. These grains are distinctively composed of minerals like the Mg-silicate stevensite and can be subject to later diagenetic alteration, including silicification.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
basement high,Geological Structure,rdfs:subClassOf,Geological Object,False,False,"A basement high is a positive structural feature that represents a topographically elevated area of the crystalline basement surface. In rift settings such as the Brazilian Pre-Salt, these features are commonly formed as horst blocks or through transpressive uplift, controlling the architecture of overlying sedimentary sequences and often serving as the foundation for significant hydrocarbon accumulations.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
gondwana,object aggregate,rdf:type,Geological Object,False,False,"Gondwana is a former supercontinent that comprised the landmasses of the Southern Hemisphere, including the conjoined plates of South America and Africa. Its fragmentation during the Early Cretaceous initiated the rifting that formed the precursor basins of the South Atlantic Ocean, where the Brazilian Pre-Salt sequences were deposited.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,http://purl.obolibrary.org/obo/BFO_0000027
pre-salt section,Stratigraphic Unit,rdfs:subClassOf,Geological Object,False,False,"Pre-salt section is a tectono-stratigraphic interval that was deposited during the syn-rift and sag phases of continental rifting and is stratigraphically positioned beneath an extensive evaporite layer. In the context of the Brazilian passive margin, this section is predominantly of Aptian age and is characterized by highly productive lacustrine carbonate reservoirs, such as those of the Barra Velha Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
basin,Geological Structure,rdfs:subClassOf,Geological Object,False,False,"A basin is a large-scale depression in the Earth's crust that forms through tectonic subsidence and serves as a depocenter for the accumulation of sediments. In the context of the Brazilian Pre-Salt, these basins originated as continental rift systems during the breakup of the Gondwana supercontinent and subsequently evolved into passive continental margins. These features are typically bounded by structural highs and contain the thick sedimentary successions that host petroleum systems.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
hanging wall,Structural Block,rdfs:subClassOf,Geological Object,False,False,"Hanging wall is the crustal block that is positioned above a non-vertical fault plane, in contrast to the footwall block which lies below it. In rift settings such as the Brazilian Pre-Salt, the hanging wall is a primary locus for deformation, accommodating strain through processes like fault-propagation folding, particularly during periods of tectonic inversion. The structural and stratigraphic complexity within the hanging wall is critical for petroleum systems, as it can form structural traps or create permeability barriers that lead to reservoir compartmentalization.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,
silica nodule,Rock,rdfs:subClassOf,Geological Object,False,False,"A silica nodule is a diagenetic body of silica that forms from the early interstitial precipitation of silica gels within lacustrine carbonate sediments. In the context of the Brazilian Pre-Salt, this precipitation is triggered by a decrease in the pH of lake waters, typically associated with freshening intervals or flooding events. These nodules, which may be composed of opal, are commonly found within laminated calcimudstone facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
Sedimentary Particle,Sediment,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031
Structural Block,Geological Structure,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
Formation,Stratigraphic Unit,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
Stratigraphic Unit,Geological Object,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
Geological Structure,Geological Object,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
Sediment,Earth Material,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
Rock,Earth Material,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006
Earth Material,Geological Object,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
site,Geological Object,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
object aggregate,Geological Object,rdfs:subClassOf,Geological Object,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000001
erosion,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Erosion is a geological process that wears away and removes rock and sediment from the land surface by natural agents. In the Brazilian Pre-Salt, significant erosion occurred at the top of the carbonate sequence due to tectonic uplift or major lake-level fall, resulting in the widespread removal of strata prior to the deposition of the overlying Ariri Formation evaporites. This event created a major unconformity, which is identified on seismic data by the truncation of underlying reflectors against the base of the salt.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
diagenesis,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Diagenesis is the collective term for the physical, chemical, and biological processes that alter sediments after their initial deposition and during and after their lithification, but before the onset of metamorphism. In the context of the Brazilian Pre-Salt, these processes are intense and include multiple phases of cementation, dissolution, dolomitization, and silicification. These alterations, such as the dissolution driven by the decay of magnesium silicates, are critical in creating or modifying the porosity and permeability of carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
subsidence,tectonics,rdfs:subClassOf,Geological Process,False,False,"Subsidence is a geological process that involves the sinking or downward vertical movement of the Earth's crust, which creates accommodation space for sediment accumulation. In rift basins such as the Brazilian Pre-Salt, this process is driven by mechanisms including tectonic extension, thermal cooling and contraction of the lithosphere, and isostatic loading from sediments and salt, often resulting in diachronous and heterogeneous depositional patterns.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
salt deposition,deposition,rdfs:subClassOf,Geological Process,False,False,"Salt deposition is a sedimentary process that involves the accumulation of evaporite minerals, such as halite and anhydrite, from the precipitation of a restricted and hypersaline body of water. In the context of the South Atlantic margins, this widespread event occurred during the Late Aptian, marking the transition from the rift phase to the passive margin and forming a regional seal over the pre-salt carbonate reservoirs. The rapid accumulation of thick salt sequences induced significant crustal loading and subsidence, creating a mobile salt layer that profoundly influenced subsequent post-salt structural development.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
dissolution,diagenesis,rdfs:subClassOf,Geological Process,False,False,"Dissolution is a diagenetic process that chemically breaks down and removes mineral material, such as carbonates or Mg-rich clays, through interaction with a solvent fluid. In the Brazilian Pre-Salt, this process is a critical factor in creating and enhancing reservoir quality, particularly through the congruent dissolution of Mg-rich clays like stevensite and the later-stage dissolution of carbonate minerals. This dissolution can be driven by fluids acidified by the release of hydrogen ions during the decay of Mg-silicates.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
rift phase,Tectono-Stratigraphic Interval,rdfs:subClassOf,Geological Process,False,False,"A rift phase is a distinct tectono-stratigraphic stage within a syn-rift supersequence that is defined by a unique combination of tectonic strain, fault geometry, depocenter distribution, and associated lithofacies. In the Brazilian Pre-Salt, successive rift phases document the evolution of continental extension and control the deposition of key petroleum system elements, from early volcanic rocks to the later lacustrine source rocks and carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
sag phase,Tectono-Stratigraphic Interval,rdfs:subClassOf,Geological Process,False,False,"The sag phase is a tectono-stratigraphic interval in basin evolution that follows the main syn-rift stage and is characterized by a broad, regional depression driven predominantly by thermal subsidence with minimal fault activity. In the context of the South Atlantic Pre-Salt, this Aptian-age phase encompasses the deposition of the lacustrine to transitional marine carbonates of the Barra Velha Formation and the overlying evaporites of the Ariri Formation. This phase creates a wide, saucer-shaped basin geometry that contrasts with the fault-bounded grabens of the preceding syn-rift stage.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
rifting,tectonics,rdfs:subClassOf,Geological Process,False,False,"Rifting is a large-scale tectonic process that involves the extension and thinning of the lithosphere, leading to the formation of elongated basins bounded by normal faults. In the context of the South Atlantic, this process of continental breakup during the Early Cretaceous created the extensive lacustrine basins where the Pre-Salt successions were deposited. The tectonic style is often characterized by oblique extension, resulting in complex fault geometries, transfer zones, and distinct rift phases that control the initial structural and stratigraphic framework of the basin.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
evaporation,deposition,rdfs:subClassOf,Geological Process,False,False,"Evaporation is a key depositional process that removes water from a basin as vapor, thereby concentrating dissolved ions. In the restricted lacustrine systems of the Brazilian Pre-Salt, this process increased water alkalinity and salinity to the point of supersaturation. This chemical change was the primary driver for the abiotic precipitation of reservoir-forming carbonates, Mg-silicate gels, and overlying thick evaporite sequences.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
recrystallization,diagenesis,rdfs:subClassOf,Geological Process,False,False,"Recrystallization is a diagenetic process that modifies the crystal fabric of primary carbonate minerals through changes in crystal size and shape. In the context of Pre-Salt carbonates, this process can transform original fibrous calcite into prismatic crystals while often preserving the primary depositional fabric, unlike neomorphism which typically obliterates original textures. This alteration may occur in an open system via dissolution and re-precipitation, potentially modifying the original geochemical and isotopic signatures of the rock.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
rift,tectonics,rdfs:subClassOf,Geological Process,False,False,"Rift is a tectonic stage of basin evolution that is driven by crustal extension and characterized by active normal faulting, which creates structurally controlled depocenters for the accumulation of syn-rift sedimentary sequences. In the context of the South Atlantic margin, this stage is associated with the deposition of lacustrine source rocks and carbonate reservoirs, where the fault systems controlled sedimentation patterns and later served as conduits for hydrocarbon migration.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
thermal subsidence,subsidence,rdfs:subClassOf,Geological Process,False,False,"Thermal subsidence is a tectonic subsidence process that is driven by the cooling and contraction of the lithosphere following the cessation of active rifting. This process characterizes the post-rift sag phase, creating the broad, regional accommodation space that healed rift topography and enabled the deposition of the extensive Pre-Salt lacustrine systems and overlying Aptian evaporites.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
deposition,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Deposition is a geological process by which sediments, minerals, and organic matter are laid down or settled out of a transporting medium such as water. This accumulation of material forms layers of sedimentary rock, with the final rock characteristics being controlled by the physical, chemical, and biological conditions of the depositional environment. In the Brazilian Pre-Salt, this process is responsible for the accumulation of key carbonate reservoir rocks in shallow, alkaline lacustrine systems and the overlying thick evaporite sequences.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
progradation,deposition,rdfs:subClassOf,Geological Process,False,False,"Progradation is a depositional process that results in the lateral, basinward outbuilding of strata. This pattern occurs when the rate of sediment supply is greater than the rate of accommodation creation, causing depositional environments, such as shorelines or carbonate platform margins, to migrate into the basin. In seismic reflection data, progradation is characteristically expressed as clinoforms or prograding wedges, which are key geometries for interpreting the evolution of depositional systems like the lacustrine carbonate buildups of the Pre-Salt.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
tectonic activity,tectonics,rdfs:subClassOf,Geological Process,False,False,"Tectonic activity is a geological process that encompasses the deformation of the Earth's crust, manifesting as faulting, folding, and variations in subsidence. In a sedimentary basin, its intensity directly controls the creation of accommodation space, the development of structural features like horsts and grabens, and the distribution of sedimentary facies and reservoir quality. Periods of high activity are characterized by syn-depositional faulting and growth strata, while low activity is indicated by the deposition of more continuous and laterally extensive stratigraphic units.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
syn-depositional faulting,deformation,rdfs:subClassOf,Geological Process,False,False,"Syn-depositional faulting is a structural process that involves fault movement occurring contemporaneously with sedimentary deposition. This concomitance between structural activity and sedimentation creates accommodation space, resulting in thicker stratigraphic packages on the downthrown block of the fault. In sag basins like the Brazilian Pre-Salt, this process is a primary control on facies distribution and lateral variations in reservoir quality.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
tectonics,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Tectonics is the set of large-scale geological processes that involve the deformation of the Earth's crust and lithosphere, resulting in the formation of structural features such as faults, folds, and sedimentary basins. In the context of the Brazilian Pre-Salt, these processes encompass the syn-rift, post-rift, and inversion stages that governed the basin's structural framework and the deposition of tectono-stratigraphic sequences. The tectonic evolution directly controls the creation of accommodation space and the architecture of reservoir and source rock intervals.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
desiccation,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Desiccation is a geological process that involves the drying out of exposed or shallowly submerged sediments due to evaporation. In Pre-Salt lacustrine settings, this process leads to the formation of features such as syndepositional desiccation cracks and drives the precipitation of evaporite minerals from concentrated brines. Cyclic episodes of desiccation alternating with flooding events are fundamental to the depositional models for both the carbonate reservoir facies and the overlying stratified evaporite seals.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
dolomitization,diagenesis,rdfs:subClassOf,Geological Process,False,False,"Dolomitization is a diagenetic process that involves the replacement of precursor calcium carbonate minerals with the mineral dolomite through interaction with magnesium-rich fluids. In Pre-Salt lacustrine settings, this process often occurs during early diagenesis, but dolomite can also form as a primary precipitate or a pore-filling cement, significantly altering reservoir properties.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
silicification,diagenesis,rdfs:subClassOf,Geological Process,False,False,"Silicification is a diagenetic process that involves the precipitation of silica or the replacement of pre-existing minerals by silica within a rock. In Pre-Salt lacustrine carbonates, this process is often characterized by the early interstitial precipitation of silica gels to form nodules and sheets, typically triggered by a decrease in pH during lake freshening events. The resulting silicification can significantly impact reservoir quality by creating fractures or by preserving or occluding porosity.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
weathering,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Weathering is a set of geological processes that involves the physical disintegration and chemical decomposition of rocks and minerals at or near the Earth's surface. Driven by factors such as atmospheric CO2 levels, this process releases dissolved ions and alkalinity from continental crust, controlling the chemical flux into depositional basins. In lacustrine settings like the Pre-Salt, the style of weathering is a critical control on lake chemistry and carbonate precipitation, with its signature recorded by geochemical proxies such as strontium isotopes.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
marine environment,Geological Process,rdfs:subClassOf,Geological Process,False,False,"A marine environment is a depositional environment that is influenced by oceanic waters, characterized by saline conditions and typically containing marine fauna such as foraminifera and echinoderms. In the context of the South Atlantic margin, the establishment of a marine environment marks the end of the lacustrine pre-salt depositional phase. This transition is often represented by a restricted, evaporitic shallow marine setting that deposited the Aptian salt layer, which was later succeeded by open marine conditions during the post-salt drift phase.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
climate change,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Climate change is a long-term shift in regional paleoclimatic conditions that primarily involves variations between humid and arid states, significantly influencing lacustrine depositional systems. In the context of the South Atlantic Pre-Salt, such shifts are recorded as changes in sediment input, lake water chemistry, and faunal assemblages, which in turn control the development of carbonate facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
deformation,tectonics,rdfs:subClassOf,Geological Process,False,False,"Deformation is a geological process that changes the original shape, size, or orientation of a rock body in response to applied stress. In the context of the Brazilian Pre-Salt, this process manifests through both brittle mechanisms, such as faulting, and ductile mechanisms, including folding and salt flow (halokinesis). Deformation occurs across various scales, from regional tectonic events controlling basin architecture to the plastic compaction of individual grains, and can be contemporaneous with deposition.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
tectono-stratigraphic evolution,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Tectono-stratigraphic evolution is the geological reconstruction that describes the interplay between tectonic processes and the resulting stratigraphic architecture of a sedimentary basin over time. This analysis involves integrating structural data, such as fault displacement and fold kinematics, with stratigraphic data, like sediment fill geometries and isopach maps, to understand how tectonic activity controlled depositional patterns and basin development. In the context of the Brazilian Pre-Salt, it typically delineates the distinct rift and post-rift phases, characterizing how fault-controlled subsidence and uplift influenced the deposition of lacustrine carbonates and subsequent evaporites.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
post-depositional faulting,deformation,rdfs:subClassOf,Geological Process,False,False,"Post-depositional faulting is a structural deformation process that displaces a sedimentary sequence after its deposition has ceased. Unlike syn-depositional faulting, this process does not influence the thickness of the affected stratigraphic units, which typically maintain a constant thickness across the fault. Within the Brazilian Pre-Salt, it often involves the reactivation of pre-existing rift faults, creating structural relief and inversion features that are critical for trap formation and reservoir architecture.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
magmatic event,magmatism,rdfs:subClassOf,Geological Process,False,False,"A magmatic event is a discrete geological episode that involves the emplacement of magma, resulting in the formation of intrusive and/or extrusive igneous rocks within a specific time interval. In the context of the Brazilian Pre-Salt, these events are recorded as volcanic and sub-volcanic rocks of varying ages and compositions, such as Aptian basalts and Santonian-Campanian alkaline intrusions. These episodes are critical as they can be associated with hydrothermal alteration of carbonate reservoirs and the release of mantle-derived fluids that influence the petroleum system.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
magmatism,Geological Process,rdfs:subClassOf,Geological Process,False,False,"Magmatism is a fundamental geological process that encompasses the generation, movement, and solidification of magma and its associated volcanic and plutonic activity. Within the South Atlantic basins, multi-stage magmatic events associated with continental rifting influenced the depositional system through the release of mantle-derived CO2 and drove late-stage hydrothermal alteration of Pre-Salt carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
Tectono-Stratigraphic Interval,tectonics,rdfs:subClassOf,Geological Process,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,
fault,fracture,rdfs:subClassOf,Geological Structure,False,False,"A fault is a planar or curviplanar fracture or zone of fractures in a rock volume across which there has been significant displacement as a result of rock-mass movement. In the Brazilian Pre-Salt, faults are fundamental rift-related structures that were often active during sedimentation, controlling the depositional architecture, accommodation space, and the distribution of carbonate reservoirs. These structures are critical components of the petroleum system, forming structural traps, influencing fluid migration, and potentially compartmentalizing reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
structural high,Structural Feature,rdfs:subClassOf,Geological Structure,False,False,"A structural high is a geological feature, such as a horst or uplifted block, that is stratigraphically or topographically elevated relative to its surroundings due to tectonic processes like faulting. In rift basins like the Brazilian Pre-Salt, these features often represent paleotopographic highs that control the deposition of reservoir facies, such as high-energy carbonates. Structural highs are fundamental elements in forming structural and stratigraphic traps for hydrocarbon accumulations.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
fracture,Geological Structure,rdfs:subClassOf,Geological Structure,False,False,"A fracture is a surface or zone of rupture in a rock that forms when applied stress exceeds the rock's strength, causing a loss of cohesion. In reservoir rocks, fractures can be open, partially filled with cement, or fully cemented, creating secondary porosity and permeability pathways or acting as barriers to fluid flow. These features occur at multiple scales, from microscopic breaks within rock fabric to large-scale brittle fracture zones influencing basin architecture.",https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
