Term,Category,Reasoning,NLD,Context_Used,Condition
intraclast,Sedimentary Geological Object,"The term refers to a carbonate grain or fragment of sediment, which is a type of geological object of sedimentary origin.","An intraclast is a carbonate grain that consists of a fragment of penecontemporaneously deposited, semi-consolidated carbonate sediment that has been eroded and redeposited within the same depositional basin. These grains are formed by the erosion of early-cemented or cohesive carbonate muds and sands, often by storm events or strong currents, and are indicative of dynamic, high-energy depositional environments.",False,B
lacustrine carbonate,Sedimentary Rock,"The definition explicitly identifies the term as a type of carbonate rock, which is a specific kind of sedimentary rock.","A lacustrine carbonate is a carbonate rock that is formed through chemical or biogenic precipitation of minerals within a lake environment. These rocks are the primary reservoir type in the Brazilian Pre-Salt, where they were deposited in large, saline, alkaline rift lakes. Their composition includes a wide range of facies, from microbialites to abiotic precipitates and coquinas, creating complex and heterogeneous reservoir systems.",False,B
limestone,Sedimentary Rock,The definition explicitly states that limestone is a type of carbonate sedimentary rock.,"Limestone is a carbonate sedimentary rock that is composed primarily of calcium carbonate (CaCO3) in the form of calcite and/or aragonite. It typically forms from the accumulation of skeletal fragments, chemical precipitation, or microbial activity, and in the Brazilian Pre-Salt, includes key reservoir facies such as microbially-influenced carbonates and bioclastic coquinas which serve as precursors to dolomitized reservoirs.",False,B
peloid,Sedimentary Geological Object,"The term refers to a carbonate grain, which is a small, discrete geological object of sedimentary origin.","A peloid is a carbonate grain that is composed of microcrystalline or cryptocrystalline calcite or aragonite and lacks a discernible internal structure. Their origin is often polygenetic, including fecal pellets, micritized bioclasts, or microbial precipitates, and they are a common constituent of reservoir-quality grainstones and microbialites in lacustrine carbonate systems like the Brazilian Pre-Salt.",False,B
lower cretaceous,Geological Time Interval,"The definition identifies the term as an epoch of the geologic timescale, which is a specific span of time.","Lower Cretaceous is an epoch of the geologic timescale that spans the time from approximately 145 to 100.5 million years ago, comprising the Berriasian through Albian ages. The rock succession deposited during this time is known as the Lower Cretaceous Series, which in the context of the Brazilian continental margin, encompasses the syn-rift and sag phases of basin evolution, including the deposition of the highly significant pre-salt carbonate reservoirs.",False,B
recrystallization,Geological Process,"The NLD defines recrystallization as a diagenetic process that alters a mineral's crystal fabric, which aligns with the definition of a Geological Process.","Recrystallization is a diagenetic process that alters the crystal fabric of a mineral, such as its size and shape, without changing its chemical composition. In carbonate rocks, this process commonly involves the transformation of fine-grained micrite into a coarser mosaic of calcite crystals, a process known as aggrading neomorphism. This alteration can significantly impact rock properties, often reducing primary porosity by occluding pore spaces.",False,B
piçarras formation,Depositional Unit,"The term refers to a specific, mappable geological formation composed of sedimentary rocks, which fits the definition of a Depositional Unit.","The Piçarras Formation is a geological formation of Late Cretaceous age that is composed predominantly of marine shales and marls deposited in the Santos Basin. As part of the post-salt succession, it functions as the primary regional seal rock, trapping hydrocarbons in underlying reservoirs. Its fine-grained texture and low permeability are critical for the integrity of the giant Pre-Salt accumulations.",False,B
salt basin,Geological Object,"A salt basin is a large-scale geological feature, a type of sedimentary basin, which is best classified as a Geological Object with its own identity and unity criteria.","A salt basin is a sedimentary basin that is characterized by the accumulation of thick sequences of evaporite deposits, primarily halite. These basins form in restricted marine or lacustrine environments where evaporation significantly exceeds inflow, leading to the precipitation of salts from a hypersaline brine. The subsequent mobilization of these salt layers, known as halokinesis, plays a critical role in forming structural traps and acting as a regional seal for major petroleum systems, such as the Brazilian Pre-Salt.",False,B
sediment,Sediment,"The term is explicitly defined in the GeoReservoir ontology, and its NLD aligns perfectly with the definition of an unconsolidated earth material.","Sediment is a naturally occurring material that is formed by the breakdown of rocks and organic matter and is subsequently transported and deposited by wind, water, ice, or gravity. In a geological context, it can consist of clastic particles, chemical precipitates, or biogenic material such as shell fragments. Within the Brazilian Pre-Salt, sediments are predominantly lacustrine carbonates, including bioclastic fragments and spherulites, which form the primary reservoir rocks after diagenesis.",False,B
rift,Geological Object,"A rift is a large-scale, elongate basin formed by tectonic extension, which is best classified as a Geological Object with a distinct identity.","A rift is an elongate basin that is formed by the extension and thinning of the continental lithosphere. This extensional process is accommodated by normal faulting, which creates a series of horsts and grabens that control sediment deposition. In the context of the South Atlantic, the rift phase created the restricted lacustrine basins where the Pre-Salt source rocks and carbonate reservoirs were deposited prior to the onset of oceanic spreading.",False,B
siltstone,Sedimentary Rock,The NLD defines siltstone as a clastic sedimentary rock composed of consolidated silt-sized particles.,"Siltstone is a clastic sedimentary rock that is composed predominantly of consolidated silt-sized particles, defined as grains with diameters between 4 and 62.5 micrometers. It is a type of mudrock, finer than sandstone and coarser than claystone, and often exhibits lamination. In petroleum systems, siltstones can act as seals, source rocks if organic-rich, or low-permeability layers interbedded with reservoir facies.",False,B
thermal subsidence,Geological Process,The NLD explicitly defines thermal subsidence as a geological process involving the sinking of the lithosphere as it cools and contracts.,"Thermal subsidence is a geological process that describes the sinking of the Earth's lithosphere as it cools, contracts, and increases in density following a period of heating and extension. This mechanism is the dominant driver of the post-rift or sag phase in rift basins, creating the accommodation space for the deposition of thick sedimentary sequences. In the Brazilian Pre-Salt province, this phase is responsible for depositing the Aptian salt layer and the overlying post-salt marine succession, which act as the regional seal and overburden for the pre-salt reservoirs.",False,B
south atlantic ocean,site,"The South Atlantic Ocean is a vast basin, which is best described as a site whose boundaries are defined by continental landmasses.","The South Atlantic Ocean is an ocean basin that separates the continents of South America and Africa, formed by the rifting and subsequent seafloor spreading that initiated the breakup of the Gondwana supercontinent. Its formation during the Early Cretaceous created a series of restricted rift basins along the conjugate margins of Brazil and West Africa. These basins provided the ideal setting for the deposition of the sag-phase lacustrine carbonates that constitute the prolific Pre-Salt petroleum reservoirs.",False,B
anhydrite,Earth Material,"Anhydrite is a naturally occurring mineral, which is a type of solid matter fitting the definition of Earth Material.","Anhydrite is an evaporite mineral that is composed of anhydrous calcium sulfate (CaSO₄). It is a key component of the Aptian salt succession in the South Atlantic basins, where it contributes to the regional seal overlying the Pre-Salt carbonate reservoirs. Anhydrite can also occur as a diagenetic cement within reservoir facies, which may occlude porosity and impact reservoir quality.",False,B
horst,Geological Object,"A horst is an uplifted block of rock, a distinct and rigid entity generated by faulting, which fits the definition of a Geological Object.","A horst is an uplifted structural block that is bounded by normal faults on its sides. These features typically form in extensional tectonic settings where the crust is being stretched. In petroleum systems like the Brazilian Pre-Salt, horsts can create structural traps by elevating potential reservoir rocks relative to adjacent down-dropped blocks, known as grabens.",False,B
graben,Geological Structure,A graben is a structural feature defined by the arrangement of a down-dropped crustal block and its bounding faults.,"A graben is an elongate, down-dropped block of crust that is bounded by subparallel normal faults. As a primary feature of extensional tectonics, grabens form sedimentary basins that create accommodation space for syn-rift deposits, such as the lacustrine source and reservoir rocks of the Brazilian Pre-Salt.",False,B
deposition,Geological Process,The definition explicitly identifies deposition as a geological process involving the laying down of sediment.,"Deposition is a geological process that involves the laying down of sediment carried by an agent of transport such as water, wind, ice, or gravity. This process occurs when the energy of the transporting medium decreases, causing particles to settle out of suspension or ions to precipitate from solution. In sedimentary basins like the Pre-Salt, the specific depositional environment controls the initial geometry, texture, and composition of sedimentary bodies that may form reservoir, source, or seal rocks.",False,B
tholeiitic basalt,Rock,"The term is explicitly defined as a type of igneous rock, which is a solid, consolidated Earth Material.","Tholeiitic basalt is a common type of basaltic igneous rock that is characterized by a chemical composition relatively rich in iron and poor in alkalis, belonging to the tholeiitic magma series. It is the principal rock type composing the oceanic crust and is also voluminous in continental flood basalt provinces, such as the Paraná-Etendeka province which forms the basement for the Brazilian Pre-Salt basins.",False,B
hydrocarbon,Earth Fluid,"Hydrocarbons, in a geological context, encompass crude oil and natural gas, which are explicitly listed as examples of Earth Fluid.","A hydrocarbon is a naturally occurring organic compound that consists primarily of hydrogen and carbon atoms. As the principal component of petroleum, hydrocarbons encompass crude oil and natural gas, which are generated from the thermal maturation of organic matter in source rocks and subsequently migrate to accumulate in reservoir traps.",False,B
kwanza basin,Depositional System,A sedimentary basin is a large-scale feature composed of an aggregate of mereotopologically linked depositional units.,"Kwanza Basin is a sedimentary basin that is located on the passive continental margin of Angola, forming a conjugate pair with the Campos and Santos basins of Brazil. It contains a significant pre-salt section of Aptian age, analogous to the Brazilian pre-salt, which hosts major hydrocarbon accumulations. The basin's geological history is intrinsically linked to the Early Cretaceous rifting of the South Atlantic Ocean and the separation of the South American and African continents.",False,B
lithology,Sedimentary Facies,"The NLD defines lithology as a description of a rock's physical characteristics (composition, grain size, texture), which aligns with the definition of a facies as a pattern of properties.","Lithology is a description of a rock unit that is based on its physical characteristics observable at the outcrop, hand-specimen, or microscopic scale, such as composition, grain size, texture, and color. In petroleum geology, lithology is a fundamental property used to define reservoir, source, and seal rock intervals, directly controlling petrophysical properties like porosity and permeability.",False,B
mound,Mound Unit,"The term is explicitly defined as a type of depositional buildup with a positive topographic feature, which directly corresponds to the `Mound Unit` class.","A mound is a type of carbonate buildup that forms a positive topographic feature on the seafloor or lakefloor, constructed by the in-situ accumulation of organisms or precipitated carbonates and typically lacking a rigid skeletal framework. In the context of the Brazilian Pre-Salt, these features are often microbial in origin, forming complex shrub-like buildups that constitute highly porous and permeable reservoir facies.",False,B
ostracod,Geological Object,"An ostracod, particularly its fossilized carapace as described in the NLD, is a discrete physical entity generated through geological processes (fossilization), fitting the definition of a Geological Object.","Ostracod is a microscopic crustacean that is characterized by a bivalved, chitinous or calcareous carapace. Their fossilized carapaces are significant microfossils used for biostratigraphy and paleoenvironmental reconstruction, particularly in lacustrine and marine settings. In the context of Brazilian Pre-Salt reservoirs, accumulations of ostracod shells can form important bioclastic carbonate facies, contributing to reservoir rock volume.",False,B
mudstone,Sedimentary Rock,"The NLD explicitly defines mudstone as a type of sedimentary rock composed of silt and clay particles, which directly matches the `Sedimentary Rock` category.","Mudstone is a fine-grained siliciclastic sedimentary rock that is composed of a mixture of silt- and clay-sized particles and is characterized by its non-fissile, blocky or massive structure. Unlike shale, which is laminated and splits into thin layers, mudstone breaks into irregular blocks. Within petroleum systems, these rocks can function as organic-rich source rocks or as low-permeability seals for hydrocarbon accumulations.",False,B
progradation,Geological Process,"Progradation is defined as the process of lateral outbuilding of a depositional system, which modifies the arrangement of geological objects over time, fitting the definition of a Geological Process.","Progradation is a stratigraphic pattern that results from the lateral outbuilding of a depositional system, such as a delta or carbonate platform, into a basin. This pattern occurs when the rate of sediment supply is greater than the rate of accommodation space creation, leading to a basinward migration of the shoreline or depositional margin. In seismic stratigraphy, progradation is identified by offlapping reflection patterns, which are crucial for predicting the distribution of reservoir facies.",False,B
packstone,Sedimentary Rock,"The NLD defines packstone as a specific type of grain-supported carbonate rock, which is a subclass of Sedimentary Rock.","Packstone is a grain-supported carbonate rock that contains a matrix of carbonate mud (micrite) between the grains. According to the Dunham classification system, this texture indicates deposition in an environment with enough energy to concentrate grains but not enough to completely remove the finer mud fraction. The presence of this micrite matrix can significantly reduce interparticle porosity and permeability, impacting the rock's quality as a potential reservoir.",False,B
siliciclastic,Sedimentary Facies,"The term describes a compositional class of sedimentary rocks and sediments based on their silicate mineral content, which is a key sedimentological characteristic defining a Sedimentary Facies.","Siliciclastic is a class of sedimentary rocks, sediments, or particles that are composed predominantly of silicate minerals, such as quartz, feldspar, and clay minerals, derived from the weathering and erosion of pre-existing rocks. This category includes a wide range of rock types, from conglomerates and sandstones to siltstones and shales, which are classified based on their grain size and represent terrigenous input into a depositional basin.",False,B
wackestone,Sedimentary Rock,"The NLD explicitly defines wackestone as a type of matrix-supported carbonate rock, which falls under the category of Sedimentary Rock.","Wackestone is a matrix-supported carbonate rock that contains more than 10% allochems (grains) suspended within a fine-grained carbonate mud (micrite) matrix. This texture indicates deposition in a low-energy environment where mud could settle from suspension, and its reservoir quality is typically lower than grain-supported fabrics unless modified by diagenesis such as dissolution or dolomitization.",False,B
trap,Geological Structure,"The NLD defines a trap as a geological structure involving the arrangement and juxtaposition of different rock bodies to confine fluids, which aligns with the definition of Geological Structure.","A trap is a geological structure or stratigraphic feature that prevents the upward or lateral migration of hydrocarbons, leading to their accumulation in a reservoir. It is formed by the juxtaposition of a porous reservoir rock and an overlying, impermeable cap rock in a geometry that confines buoyant fluids. In the context of the Brazilian Pre-Salt, traps are predominantly large structural highs, such as anticlines and faulted blocks, often associated with Aptian salt tectonics.",False,B
reservoir facies,Sedimentary Facies,"The term is explicitly defined as a type of facies, a body of rock with distinct sedimentological and petrophysical characteristics suitable for storing hydrocarbons, matching the Sedimentary Facies definition.","Reservoir facies is a distinct body of rock that possesses sufficient primary or secondary porosity and permeability to store and transmit hydrocarbons. This facies represents the primary target for hydrocarbon exploration and production, with its favorable petrophysical properties being a function of its depositional environment and subsequent diagenetic history. In the Brazilian Pre-Salt, key reservoir facies include lacustrine microbial carbonates (spherulites and shrubs) and coquinas.",False,B
half-graben,Geological Structure,"The NLD defines it as a 'structural basin' formed by faults, which aligns with the definition of a Geological Structure as a configuration and arrangement of parts of a Geological Object.","A half-graben is a structural basin that is bounded by a major, typically listric, normal fault on one side and a less faulted, more gently dipping monoclinal flexure on the other. This asymmetric geometry is characteristic of continental rift systems, such as the one that formed the South Atlantic margins and controlled the deposition of the Brazilian Pre-Salt succession. The sedimentary fill within a half-graben typically thickens and dips towards the main bounding fault, creating wedge-shaped stratigraphic units that are primary targets for hydrocarbon exploration.",False,B
reflector termination,Geological Contact,"The NLD describes it as the end of a seismic reflector against another surface, defining relationships like onlap or truncation, which fits the definition of a relational quality between geological objects.","Reflector termination is a seismic stratigraphic feature that marks the lateral end of a seismic reflector against another seismic surface. These terminations are classified based on their geometric relationship with the adjacent surface, such as onlap, downlap, toplap, or truncation. The analysis of reflector terminations is fundamental for sequence stratigraphic interpretation, as they define the boundaries of depositional sequences and indicate stratal relationships like depositional pinch-outs or erosional truncation.",False,B
seal,Sedimentary Geological Object,"The NLD defines a seal as an impermeable 'rock unit,' which is a physical body constituted by rock, fitting the definition of a geological object made of sedimentary material.","A seal is an impermeable rock unit that prevents the upward or lateral migration of hydrocarbons from a reservoir. Common seal lithologies, such as evaporites and shales, possess very low permeability and high capillary entry pressure, with the extensive Aptian salt layer serving as the primary regional seal for the Brazilian Pre-Salt reservoirs.",False,B
tectonic activity,Geological Process,"The NLD explicitly defines tectonic activity as a 'geological process' involving the movement and deformation of lithospheric plates, which directly aligns with the GeoCore definition.","Tectonic activity is a geological process that encompasses the movement, deformation, and interaction of lithospheric plates. This activity manifests as faulting, folding, uplift, and subsidence, which are fundamental in creating sedimentary basins and the structural traps necessary for hydrocarbon accumulation. In the context of the Brazilian Pre-Salt, extensional tectonic activity during the Early Cretaceous rifting of the South Atlantic was responsible for forming the horst-and-graben structures that host the primary carbonate reservoirs.",False,B
rift section,Depositional System,"The NLD describes a 'rift section' as a 'stratigraphic succession' or 'sequence' deposited during rifting, which corresponds to an aggregate of linked depositional units.","A rift section is a stratigraphic succession that was deposited contemporaneously with active extensional faulting during the formation of a rift basin. This syn-rift sequence is characteristically bounded by a pre-rift unconformity below and a break-up unconformity above, which separates it from the overlying post-rift sag deposits. In the Brazilian Pre-Salt, this section contains the key lacustrine source rocks and carbonate reservoirs.",False,B
syn-depositional faulting,Geological Process,"The term describes a tectonic process involving fault movement and sediment deposition, which modifies the arrangement of geological objects.","Syn-depositional faulting is a tectonic process that involves fault movement occurring contemporaneously with sediment deposition. This process directly influences sediment accommodation space, resulting in characteristic wedge-shaped geometries and abrupt changes in stratal thickness and facies across the fault, which is fundamental to the development of rift basin reservoirs like those in the Brazilian Pre-Salt.",False,B
structural low,site,"The term describes a region defined by its lower elevation relative to surrounding geological material, fitting the definition of a site as an immaterial entity.","A structural low is a region on a geological surface that is characterized by a lower elevation relative to its surrounding areas. In petroleum systems analysis, these features often correspond to synclines or the deepest parts of basins, which can act as hydrocarbon kitchens where source rocks reach thermal maturity. Hydrocarbons generated in these lows typically migrate updip to accumulate in adjacent structural highs.",False,B
normal fault,Geological Structure,"A normal fault is a type of fault, which is explicitly listed as an example of a Geological Structure describing the arrangement of a Geological Object.","A normal fault is a dip-slip fault in which the hanging wall block moves downward relative to the footwall block. This faulting results from extensional tectonic stress, causing crustal lengthening and thinning. In rift basins like the Brazilian Pre-Salt, extensive normal fault systems create the horst and graben structures that form the primary structural traps for hydrocarbon accumulations.",False,B
tectonics,Geological Process,The term is explicitly defined as a set of large-scale geological processes that deform the lithosphere and create or modify geological structures.,"Tectonics is the set of large-scale geological processes that deform a planet's lithosphere, creating major structural features such as continents, ocean basins, mountain ranges, and rift valleys. In the context of the Brazilian Pre-Salt, extensional tectonics associated with the South Atlantic rifting created the graben and horst structures that controlled the deposition of lacustrine source and reservoir rocks. Subsequent salt tectonics, or halokinesis, further modified the structural framework, influencing trap formation and hydrocarbon migration pathways.",False,B
laminite,Sedimentary Rock,"The term is explicitly defined in its NLD as a type of fine-grained sedimentary rock, which is a direct fit for the GeoReservoir category.","Laminite is a fine-grained sedimentary rock that is characterized by a sequence of thin, parallel layers or laminae, typically less than one centimeter in thickness. These laminae often reflect cyclical variations in depositional conditions, such as microbial mat growth alternating with chemical precipitates in a lacustrine setting. In the Brazilian Pre-Salt, microbial laminites are significant as they can constitute both source rocks and sealing intervals.",False,B
rudstone,Sedimentary Rock,The NLD defines rudstone as a specific type of grain-supported sedimentary carbonate rock.,"Rudstone is a grain-supported sedimentary carbonate rock that is characterized by containing more than 10% of grains larger than 2 mm in diameter, with a matrix composed of finer-grained sediment. The large clasts are typically bioclasts, such as mollusk shells or microbialite fragments, and the rock is indicative of high-energy depositional environments where large fragments are transported and deposited with finer sediment filling the interstitial spaces.",False,B
hydrothermal vent complex,Depositional System,"The NLD describes this as an 'assemblage' and 'system' of linked geological features, which aligns with the definition of a depositional system.","A hydrothermal vent complex is a geological system that comprises an assemblage of vents, chimneys, and associated deposits formed by the focused expulsion of heated, mineral-rich fluids onto the seafloor. Within the Brazilian Pre-Salt, these features are linked to Cretaceous magmatism and significantly influence the diagenesis and reservoir quality of adjacent carbonate rocks through fluid-rock interaction and mineral precipitation.",False,B
aquifer,Geological Object,"An aquifer is defined as a subsurface body of rock or unconsolidated material, which fits the definition of a geological object with its own identity and unity criteria.","An aquifer is a subsurface body of permeable rock or unconsolidated material that can store and transmit economically significant quantities of groundwater. In petroleum systems, aquifers are extensive water-bearing rock formations that are in hydraulic communication with a hydrocarbon reservoir, often providing pressure support through a water-drive mechanism. The extensive lacustrine carbonate successions underlying the Brazilian Pre-Salt oil accumulations constitute a regional aquifer system critical to reservoir performance.",False,B
desiccation,Geological Process,The NLD explicitly defines desiccation as a geological process involving the drying of water-saturated sediments.,"Desiccation is a geological process that involves the drying out of water-saturated sediments due to subaerial exposure. This process commonly forms distinctive sedimentary structures, such as mudcracks, and is indicative of peritidal or lacustrine shoreline environments where it can influence early diagenesis.",False,B
aragonite,Earth Material,"Aragonite is a mineral, which is a natural amount of solid matter generated by geological processes, fitting the definition of Earth Material.","Aragonite is a polymorph of calcium carbonate (CaCO₃) that crystallizes in the orthorhombic system, making it less stable than its polymorph, calcite. As a common primary precipitate in lacustrine carbonate systems, its subsequent diagenetic inversion to calcite is a fundamental process controlling the creation of moldic porosity and overall reservoir quality in the Brazilian Pre-Salt.",False,B
espírito santo basin,Depositional System,"The term refers to a large-scale sedimentary basin, which is an aggregate of mereotopologically linked depositional units.","The Espírito Santo Basin is an Atlantic marginal sedimentary basin located offshore southeastern Brazil that was formed during the Early Cretaceous rifting of the South Atlantic Ocean. It contains a complete rift-to-drift succession, including a significant Aptian salt layer that separates the pre-salt and post-salt sequences. The basin is a major hydrocarbon province, with significant production from both post-salt turbidite reservoirs and pre-salt lacustrine carbonate reservoirs analogous to those in the Santos and Campos basins.",False,B
alkaline lacustrine environment,Geological Process,"The term describes the set of physical, chemical, and biological conditions and processes that lead to the formation of specific sedimentary deposits.","An alkaline lacustrine environment is a continental depositional system within a lake that is characterized by water with a pH greater than 7 and high concentrations of dissolved carbonate and bicarbonate ions. Such conditions, often found in hydrologically closed rift basins, promote the direct chemical or microbially-mediated precipitation of carbonate minerals, which are the primary constituents of the Brazilian Pre-Salt reservoirs.",False,B
facies association,Facies Association,"The term is explicitly defined as a group or collective of related sedimentary facies, which directly matches the provided category definition.","A facies association is a group of sedimentary facies that are genetically related and occur together in a predictable pattern. This grouping reflects deposition in adjacent or related sub-environments, and its analysis is fundamental for interpreting the overall depositional system. In the context of the Pre-Salt, identifying specific facies associations, such as those representing high-energy shrubstone shoals or low-energy lacustrine mudflats, is critical for mapping reservoir quality and distribution.",False,B
dolomitization,Geological Process,"The NLD defines the term as a diagenetic process that chemically alters a rock, which fits the definition of a Geological Process.","Dolomitization is a diagenetic process that replaces calcium carbonate minerals with the mineral dolomite through the substitution of calcium ions by magnesium ions. This geochemical alteration, often driven by Mg-rich fluids in burial or hydrothermal settings, can significantly enhance reservoir quality by creating or modifying porosity and permeability.",False,B
fault zone,Geological Object,"The term refers to a distinct, identifiable volume of rock that has been deformed, fitting the definition of a rigid entity with its own identity.","A fault zone is a tabular volume of rock that consists of numerous, closely spaced, and interconnected faults and fractures accommodating strain over a finite width. It typically comprises a central fault core containing fault gouge or cataclasite, surrounded by a damage zone of subsidiary faults and fractures. The properties of a fault zone are critical in petroleum systems as they can form either conduits or barriers to fluid flow.",False,B
flood basalt,Rock,The term refers to a specific type of igneous rock formed from extensive lava flows.,"Flood basalt is an extensive series of basaltic lava flows that erupts from non-explosive, fissure-fed volcanic systems, covering vast areas of land or the ocean floor. These eruptions form large igneous provinces (LIPs) and are characterized by their high volume, low viscosity, and rapid emplacement over geologically short time scales. In the context of the Brazilian Pre-Salt, the Paraná-Etendeka flood basalts represent the volcanic basement emplaced during the Early Cretaceous rifting of Gondwana, upon which the subsequent sag-phase lacustrine source and reservoir rocks were deposited.",False,B
gneiss,Rock,The definition explicitly identifies gneiss as a type of high-grade metamorphic rock.,"Gneiss is a high-grade metamorphic rock that is characterized by a distinct compositional banding where light-colored felsic minerals and dark-colored mafic minerals are segregated into layers. In the context of the Brazilian Pre-Salt, gneiss, along with other crystalline rocks, forms the economic basement beneath the sedimentary rift sequence that contains the hydrocarbon reservoirs.",False,B
florianópolis high,Geological Object,"The term refers to a large-scale, identifiable tectonic feature or geobody that acts as a structural control, fitting the definition of a Geological Object.","The Florianópolis High is a prominent basement high that separates the Santos Basin to the north from the Pelotas Basin to the south offshore southern Brazil. Composed of Precambrian to Paleozoic crystalline rocks, this first-order tectonic feature acted as a major structural control during the opening of the South Atlantic. It marks the southern boundary of the Aptian salt basin, thereby defining the southern limit of the prolific Pre-Salt petroleum province.",False,B
hydrothermal vent,site,"A hydrothermal vent is a fissure or opening in a surface, which is best described as a site—an immaterial entity defined by its relation to a material entity.","A hydrothermal vent is a fissure in a planet's surface from which geothermally heated water issues. These vents are commonly found near volcanically active areas, such as mid-ocean ridges, where the expelled fluids are rich in dissolved minerals that precipitate upon contact with cold ambient water. In the context of the South Atlantic rift, ancient hydrothermal systems are considered a potential source for magnesium-rich fluids that drove diagenetic processes, such as dolomitization, within the Pre-Salt carbonate successions.",False,B
lagoa feia group,Depositional System,"The term refers to a lithostratigraphic group, which is a collection of related sedimentary successions or depositional units, fitting the definition of a Depositional System.","Lagoa Feia Group is a lithostratigraphic group that comprises the syn-rift and early post-rift lacustrine sedimentary succession of the Campos and Santos Basins, deposited during the Early Cretaceous. This unit contains the primary source rocks (organic-rich shales) and the main carbonate reservoirs (coquinas and microbialites) of the Brazilian Pre-Salt petroleum system.",False,B
lake tanganyika,site,"The term refers to a large-scale geological depression, which is analogous to the 'Grand Canyon' example for a BFO site.","Lake Tanganyika is a large rift lake that is located within the East African Rift System and serves as a modern geological analog for the lacustrine carbonate depositional systems of the Brazilian Pre-Salt. Its great depth, prolonged stratification, and anoxic bottom waters create conditions favorable for the preservation of organic matter and the deposition of microbial carbonates, similar to those interpreted for the Aptian sag phase of the South Atlantic.",False,B
intra-alagoas unconformity,Geological Boundary,"The NLD defines this as a surface of discontinuity that separates depositional sequences, which is the definition of a Geological Boundary.","The intra-alagoas unconformity is a regional unconformity that marks a significant stratigraphic break within the Aptian Alagoas Stage of the Brazilian marginal basins. This surface, a key seismic marker in Pre-Salt exploration, separates the lower Alagoas depositional sequence from the upper Alagoas sequence and is associated with a major fall in relative lake level during the late rift to early sag transition.",False,B
organic matter,Earth Material,"The NLD describes it as a natural amount of matter that is a component within geological systems, which fits the definition of Earth Material.","Organic matter is a carbon-based material that is derived from the remains of once-living organisms, such as algae, bacteria, and plants. In petroleum systems, the preservation and subsequent thermal maturation of this material under specific burial conditions leads to the generation of hydrocarbons. The quality and type of organic matter, often classified as kerogen, determine whether oil or gas is generated.",False,B
moldic porosity,quality,"Porosity is a measurable property, or quality, that inheres in a rock, describing its volume of void space.","Moldic porosity is a type of secondary porosity that is formed by the selective dissolution of a soluble component, such as a fossil shell or a grain, leaving a pore space with the shape and size of the original component. This porosity is particularly significant in carbonate reservoirs like the Brazilian Pre-Salt, where the dissolution of aragonitic bivalve shells in lacustrine limestones is a primary mechanism for its creation. The connectivity of moldic pores, which is critical for reservoir permeability, often depends on the original packing of the grains and subsequent fracturing or further dissolution.",False,B
marine carbonate,Sedimentary Rock,"The NLD explicitly defines this term as a type of sedimentary rock, making it a direct fit for the GeoReservoir category.","Marine carbonate is a sedimentary rock that is composed primarily of carbonate minerals, such as calcite and aragonite, which originated and were deposited in a marine environment. These rocks typically form from the accumulation of skeletal fragments of marine organisms, including corals, foraminifera, and mollusks, or through inorganic precipitation from seawater.",False,B
marl,Sedimentary Rock,The NLD defines marl as a type of sedimentary rock composed of calcium carbonate and fine-grained sediment.,"Marl is a sedimentary rock that is composed of a mixture of calcium carbonate and fine-grained siliciclastic sediment, typically clay and silt, in roughly equal proportions. In petroleum systems, particularly within lacustrine rift settings like the Pre-Salt, marls often serve as seals, source rocks, or represent transitional facies between carbonate and siliciclastic depositional environments.",False,B
post-rift phase,Geological Process,The NLD describes this as a phase of basin evolution driven by processes like thermal subsidence and deposition.,"Post-rift phase is a tectono-stratigraphic phase of basin evolution that commences after the cessation of active extensional faulting and is primarily controlled by broad, thermally-driven subsidence. This stage is characterized by the deposition of a widespread and relatively undeformed sedimentary succession, which in the South Atlantic margin includes the Aptian evaporites that form the regional seal for the Pre-Salt petroleum system.",False,B
post-rift sequence,Depositional System,"The NLD defines this as a succession of sedimentary strata, which is an aggregate of linked depositional units forming a system.","A post-rift sequence is a succession of sedimentary strata that is deposited after active extensional faulting associated with a rifting event has ceased. It is characterized by deposition during a phase of regional thermal subsidence, resulting in widespread strata that typically drape over the underlying, fault-bounded syn-rift deposits.",False,B
salt deposit,Sedimentary Rock,"The NLD defines a salt deposit as a body of evaporite rock, which is a type of chemical sedimentary rock.","A salt deposit is a body of evaporite rock that is composed primarily of halite (sodium chloride). In the context of the Brazilian Pre-Salt, these thick Aptian-age evaporite sequences act as a regional top seal, trapping vast hydrocarbon accumulations in the underlying carbonate reservoirs. The ductile nature of salt allows it to flow and deform under pressure, creating complex salt structures (halokinesis) that significantly influence trap formation and overburden stress.",False,B
texture,quality,"The NLD defines texture as a fundamental physical property of a rock, which directly corresponds to the BFO definition of a quality.","Texture is a fundamental physical property of a rock that describes the size, shape, sorting, and fabric of its constituent grains, crystals, or clasts. In sedimentary carbonates, such as those of the Brazilian Pre-Salt, texture is a key control on primary porosity and permeability, distinguishing between mud-supported (e.g., mudstone, wackestone) and grain-supported (e.g., packstone, grainstone) fabrics. The original depositional texture is often modified by diagenetic processes, which can significantly alter reservoir quality.",False,B
