Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason
sediment,Sediment,has_continuant_part,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate mud,domain_term,1.0,include... fine-grained carbonate muds,ACCEPTED,Valid. | Warnings: Evidence mismatch: quoted evidence not found in NLD (word overlap 50%). Possible hallucination.
reservoir property,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,reservoir rock,domain_term,1.0,"characteristic that is used to describe and quantify the state, quality, and behavior of a subsurface rock formation",ACCEPTED,Valid.
reservoir property,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,fluid,domain_term,1.0,"and fluid attributes such as composition, pressure, and temperature",ACCEPTED,Valid.
pyrite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore,domain_term,1.0,commonly occurs as a secondary mineral filling fractures and pores,ACCEPTED,Valid.
half-graben,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,normal fault,domain_term,1.0,bounded on one side by a major normal or listric fault,ACCEPTED,Valid.
conglomerate,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,basalt,domain_term,1.0,"contain a heterogeneous mix of clasts, including basement gneiss, basalt, limestone, and intraformational silica",ACCEPTED,Valid.
conglomerate,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,limestone,domain_term,1.0,"contain a heterogeneous mix of clasts, including basement gneiss, basalt, limestone, and intraformational silica",ACCEPTED,Valid.
limestone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,"composed predominantly of calcium carbonate minerals, chiefly calcite",ACCEPTED,Valid.
limestone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,aragonite,domain_term,1.0,"composed predominantly of calcium carbonate minerals, chiefly calcite and aragonite",ACCEPTED,Valid.
limestone,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,0.8,reservoir quality is often controlled by subsequent diagenetic processes like dissolution,ACCEPTED,Valid.
limestone,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,silicification,domain_term,0.8,"reservoir quality is often controlled by subsequent diagenetic processes like dissolution, brecciation, and silicification",ACCEPTED,Valid.
cement,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore space,domain_term,1.0,fill void spaces within a sedimentary rock,ACCEPTED,Valid.
cement,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,0.8,"In the context of Brazilian Pre-Salt reservoirs, cementation is a critical diagenetic process that significantly impacts reservoir quality by occluding primary and secondary pore networks.",ACCEPTED,Valid.
volcanic rock,Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,grainstone,domain_term,1.0,occurs as fragments and intraclasts reworked into carbonate deposits such as grainstones,ACCEPTED,Valid.
volcanic rock,Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,rudstone,domain_term,1.0,occurs as fragments and intraclasts reworked into carbonate deposits such as grainstones and rudstones,ACCEPTED,Valid.
depositional system,Depositional System,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sedimentary facies,domain_term,1.0,a three-dimensional assemblage of genetically related sedimentary facies,ACCEPTED,Valid.
interparticle porosity,quality,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,compaction,domain_term,0.8,reduced by diagenetic processes such as compaction,ACCEPTED,Valid.
interparticle porosity,quality,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,0.8,reduced by diagenetic processes such as compaction and cementation,ACCEPTED,Valid.
facies association,Facies Association,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sedimentary facies,domain_term,1.0,a group of genetically related sedimentary facies,ACCEPTED,Valid.
oil,Earth Fluid,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,hydrocarbon,domain_term,1.0,Oil is a naturally occurring liquid hydrocarbon fluid,ACCEPTED,Valid.
oil,Earth Fluid,located_in,http://purl.obolibrary.org/obo/BFO_0000171,reservoir,domain_term,1.0,it is a reservoir fluid,ACCEPTED,Valid.
kerolite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,intraclastic grainstone,domain_term,1.0,occurring in various facies such as Mg-claystones and intraclastic grainstones,ACCEPTED,Valid.
pore space,Site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,rock,domain_term,1.0,the void volume within a rock,ACCEPTED,Valid.
pore space,Site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,sediment,domain_term,1.0,the void volume within a rock or sediment,ACCEPTED,Valid.
pore space,Site,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,1.0,modified by diagenetic processes like dissolution that enhances space,ACCEPTED,Valid.
pore space,Site,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,1.0,modified by diagenetic processes like... cementation that reduces it,ACCEPTED,Valid. | Warnings: Evidence is paraphrased (not exact quote from NLD). Word overlap: 78%.
búzios field,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,hydrocarbon accumulation,domain_term,1.0,contains the largest known pre-salt hydrocarbon accumulation by volume,ACCEPTED,Valid.
depocenter,Basin,located_in,http://purl.obolibrary.org/obo/BFO_0000171,sedimentary basin,domain_term,1.0,a structural low within a sedimentary basin,ACCEPTED,Valid.
depocenter,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sediment,domain_term,1.0,characterized by the greatest thickness of accumulated sediment,ACCEPTED,Valid.
coqueiros formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,rudstone,domain_term,1.0,composed primarily of bioclastic carbonate rudstones,ACCEPTED,Valid.
coqueiros formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,grainstone,domain_term,1.0,composed primarily of bioclastic carbonate rudstones and grainstones,ACCEPTED,Valid.
intraclastic grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,intraclast,domain_term,1.0,composition dominated by intraclasts,ACCEPTED,Valid.
intraclastic grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,laminite,domain_term,1.0,"composed of reworked fragments of fascicular calcite crusts, spherulites, and laminites",ACCEPTED,Valid.
bioclastic grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,bivalve,domain_term,1.0,Primarily composed of fragmented lacustrine organisms such as bivalves,ACCEPTED,Valid.
bioclastic grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,gastropod,domain_term,1.0,"Primarily composed of fragmented lacustrine organisms such as bivalves, gastropods",ACCEPTED,Valid.
bioclastic grainstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,ostracod,domain_term,1.0,"Primarily composed of fragmented lacustrine organisms such as bivalves, gastropods, and ostracods",ACCEPTED,Valid.
bioclastic grainstone,Sedimentary Rock,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenetic alteration,domain_term,1.0,frequently undergoes diagenetic alteration,ACCEPTED,Valid.
bed,Lithostratigraphic Unit,constituted_by,http://purl.obolibrary.org/obo/BFO_0000176,sedimentary rock,domain_term,0.8,A bed is a distinct stratum of sedimentary rock,ACCEPTED,Valid.
silica nodule,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,macrocrystalline quartz,domain_term,1.0,composed of microcrystalline and/or macrocrystalline quartz,ACCEPTED,Valid.
silica nodule,Body of Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,carbonate rock,domain_term,1.0,"occurring as a discrete, rounded to almond-shaped mass within a host carbonate rock",ACCEPTED,Valid.
mineralogy,Lithology,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,Mineralogy is the mineral composition of a rock,ACCEPTED,Valid.
sag,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,rift basin,domain_term,1.0,phase in a rift basin,ACCEPTED,Valid.
sag,Geological Process,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,syn-rift,domain_term,1.0,following the main fault-controlled syn-rift stage,ACCEPTED,Valid.
late aptian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,geological age of the Early Cretaceous period,ACCEPTED,Valid.
late aptian,Geological Time Interval,precedes,http://purl.obolibrary.org/obo/BFO_0000063,drift phase,domain_term,1.0,signifying the transition to the salt-dominated post-rift stage,ACCEPTED,Valid.
drift,Geological Process,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,rift phase,domain_term,1.0,after the cessation of major rifting,ACCEPTED,Valid.
alluvial fan,Architectural Element,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,sediment,domain_term,0.8,formed by the accumulation of sediment,ACCEPTED,Valid.
alluvial fan,Architectural Element,located_in,http://purl.obolibrary.org/obo/BFO_0000171,rift basin,domain_term,0.8,typically along the margins of extensional rift basins,ACCEPTED,Valid.
barite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,calcilutite,domain_term,0.8,in facies such as calcilutites,ACCEPTED,Valid.
dolostone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,predominantly composed of the mineral dolomite,ACCEPTED,Valid.
dolostone,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,carbonate mineral,domain_term,1.0,formed through the diagenetic replacement of precursor calcium carbonate minerals,ACCEPTED,Valid.
siliciclastic grain,Geological Object,derives_from,http://purl.obolibrary.org/obo/RO_0001000,rock,domain_term,1.0,derived from the weathering and erosion of pre-existing terrestrial rocks,ACCEPTED,Valid.
feldspar,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,siltstone,domain_term,1.0,found as detrital grains of K-feldspar and plagioclase within siltstones,ACCEPTED,Valid.
feldspar,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,diagenetic alteration,domain_term,1.0,often subject to diagenetic alteration,ACCEPTED,Valid.
feldspar,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,dolomite,domain_term,0.8,"subject to diagenetic alteration, including replacement by carbonate minerals such as dolomite",ACCEPTED,Valid.
fault block,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,rock,domain_term,0.8,A fault block is a crustal block,ACCEPTED,Valid.
marine environment,Sedimentary Environment,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,marine water,domain_term,1.0,containing water with oceanic salinity and chemistry,ACCEPTED,Valid.
marine environment,Sedimentary Environment,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,drift phase,domain_term,1.0,establishment of open marine conditions during the Aptian drift phase,ACCEPTED,Valid.
oceanic crust,Body of Rock,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,drift phase,domain_term,1.0,formed by seafloor spreading at mid-ocean ridges during the drift phase,ACCEPTED,Valid.
upper barra velha formation,Lithostratigraphic Unit,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,grainstone,domain_term,1.0,lithologically dominated by grainstones and shrubby carbonates,ACCEPTED,Valid.
tupi field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,reservoir,domain_term,1.0,contains its primary reservoirs within the Aptian-age lacustrine carbonates of the Barra Velha Formation,ACCEPTED,Valid.
mero field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,hydrocarbon,domain_term,1.0,contains vast hydrocarbon reserves,ACCEPTED,Valid.
mero field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,reservoir,domain_term,1.0,hydrocarbon reserves hosted in high-quality microbial carbonate and coquina reservoirs,ACCEPTED,Valid.
talc,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,mg-silicate gel,domain_term,1.0,precipitates as a hydrated form from Mg-rich silica gels,ACCEPTED,Valid.
talc,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,0.8,serves as a significant source of magnesium and silica for later diagenetic processes such as dolomitization,ACCEPTED,Valid.
effective porosity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,is a petrophysical property that quantifies the interconnected pore volume of a rock,ACCEPTED,Valid.
fluid flow,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,oil,domain_term,1.0,"movement of subsurface fluids, such as oil, gas, and water",ACCEPTED,Valid.
fluid flow,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,gas,domain_term,1.0,"movement of subsurface fluids, such as oil, gas, and water",ACCEPTED,Valid.
fluid flow,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,rock,domain_term,1.0,through the interconnected pore and fracture network of a rock,ACCEPTED,Valid.
valanginian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,is a geological age of the Early Cretaceous epoch,ACCEPTED,Valid.
calcite cement,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,sedimentary rock,domain_term,1.0,precipitates from pore fluids into the void spaces of a sedimentary rock,ACCEPTED,Valid.
hydrothermal alteration,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,modifies pre-existing rocks,ACCEPTED,Valid.
hydrothermal alteration,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,hydrothermal fluid,domain_term,1.0,"interaction with hot, circulating fluids",ACCEPTED,Valid.
hydrothermal alteration,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,fault zone,domain_term,1.0,particularly along fault zones,ACCEPTED,Valid.
spherulitestone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,0.8,"composed of more than 90% spherulites, which are spherical to subspherical aggregates of radiating calcite crystals",ACCEPTED,Valid.
sedimentary rock,Sedimentary Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,cementation,domain_term,1.0,"formed by the accumulation, deposition, and subsequent cementation",ACCEPTED,Valid.
sedimentary rock,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,organic matter,domain_term,0.8,cementation of mineral or organic particles,ACCEPTED,Valid.
acoustic impedance,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,carbonate reservoir,domain_term,0.8,high-porosity carbonate reservoirs are often identified by their characteristic low acoustic impedance signatures,ACCEPTED,Valid.
late jurassic,Geological Time Interval,precedes,http://purl.obolibrary.org/obo/BFO_0000063,sag phase,domain_term,0.8,marks the onset of the continental rifting phase which preceded the main sag phase,ACCEPTED,Valid.
microcrystalline dolomite,Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,replacement,domain_term,1.0,forms through the post-depositional replacement of precursor minerals,ACCEPTED,Valid.
microcrystalline dolomite,Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,calcite spherulite,domain_term,1.0,it is a common replacement product of materials such as Mg-clays and calcite spherulites,ACCEPTED,Valid.
carbonate mound,Mound Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,fault,domain_term,1.0,a high density of faults,ACCEPTED,Valid.
carbonate mound,Mound Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,fracture,domain_term,1.0,associated fracturing,ACCEPTED,Valid.
carbonate mound,Mound Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,silica,domain_term,1.0,indicated by elevated silica and uranium content,ACCEPTED,Valid.
deformation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,"changes the shape, size, or orientation of a rock body",ACCEPTED,Valid.
deformation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,basement,domain_term,0.8,interaction with pre-existing basement fabrics,ACCEPTED,Valid.
diagenetic alteration,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sedimentary rock,domain_term,1.0,"modify the mineralogy, texture, and fabric of a sedimentary rock",ACCEPTED,Valid.
diagenetic alteration,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dolomitization,domain_term,1.0,"including dissolution, dolomitization, and silicification",ACCEPTED,Valid.
diagenetic alteration,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,silicification,domain_term,1.0,"including dissolution, dolomitization, and silicification",ACCEPTED,Valid.
lagoa feia group,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate deposit,domain_term,1.0,"containing siliciclastic, carbonate, and evaporitic deposits",ACCEPTED,Valid.
lagoa feia group,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,The upper part of the group includes the economically significant coquina and microbialite carbonate reservoirs,ACCEPTED,Valid.
rift basin,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,normal fault,domain_term,1.0,bounded by normal faults,ACCEPTED,Valid.
gneiss,Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,crystalline basement,domain_term,0.8,gneiss commonly constitutes the crystalline basement,ACCEPTED,Valid.
gneiss,Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000171,conglomerate,domain_term,1.0,occurs as clasts within syn-rift conglomerates,ACCEPTED,Valid.
ribeira belt,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,gneiss,domain_term,1.0,Composed primarily of granites and gneisses,ACCEPTED,Valid.
lower barra velha formation,Lithostratigraphic Unit,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,rift phase,domain_term,1.0,represents deposition during the syn-tectonic rift phase,ACCEPTED,Valid.
calcirudite,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,contain intraclasts,ACCEPTED,Valid.
chert,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,vuggy porosity,domain_term,0.8,Due to its frequent development of vuggy and fracture porosity,ACCEPTED,Valid.
chert,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,fracture porosity,domain_term,0.8,Due to its frequent development of vuggy and fracture porosity,ACCEPTED,Valid.
eoaptian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,subdivision of the Aptian Stage of the Early Cretaceous Epoch,ACCEPTED,Valid.
pre-salt succession,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sedimentary rock,domain_term,1.0,a stratigraphic sequence of sedimentary and volcanic rocks,ACCEPTED,Valid.
pre-salt succession,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,it contains the prolific non-marine carbonate reservoirs,ACCEPTED,Valid.
tholeiitic basalt,Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,economic basement,domain_term,1.0,constitute the economic basement,ACCEPTED,Valid.
stylolite,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,clay mineral,domain_term,1.0,"accumulation of insoluble residue, such as clay minerals",ACCEPTED,Valid.
stylolite,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,pyrite,domain_term,1.0,"accumulation of insoluble residue, such as clay minerals, pyrite, and quartz",ACCEPTED,Valid.
stylolite,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,quartz,domain_term,1.0,"accumulation of insoluble residue, such as clay minerals, pyrite, and quartz",ACCEPTED,Valid.
fluid,Earth Fluid,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore space,domain_term,1.0,occupies the pore space of a reservoir rock,ACCEPTED,Valid.
fluid,Earth Fluid,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,hydrocarbon,domain_term,1.0,fluids primarily consist of hydrocarbons (oil and gas) and water,ACCEPTED,Valid.
mechanical compaction,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sediment,domain_term,1.0,reduces the bulk volume and porosity of a sediment,ACCEPTED,Valid.
mechanical compaction,Geological Process,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,burial,domain_term,0.8,typically results in the reduction of primary interparticle porosity during burial,ACCEPTED,Valid.
silica cement,Earth Material,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,quartz,domain_term,1.0,"composed of silica polymorphs, such as quartz and chalcedony",ACCEPTED,Valid.
silica cement,Earth Material,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,chalcedony,domain_term,1.0,"composed of silica polymorphs, such as quartz and chalcedony",ACCEPTED,Valid.
silica cement,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pore space,domain_term,1.0,crystallize within the pore spaces of a sedimentary rock,ACCEPTED,Valid.
silica cement,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,sedimentary rock,domain_term,1.0,within the pore spaces of a sedimentary rock,ACCEPTED,Valid.
platform,Sedimentary Environment,located_in,http://purl.obolibrary.org/obo/BFO_0000171,structural high,domain_term,1.0,develops on a structural high,ACCEPTED,Valid.
platform,Sedimentary Environment,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,sag phase,domain_term,1.0,lacustrine platforms formed during the sag phase,ACCEPTED,Valid.
hydrothermal process,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,fluid,domain_term,1.0,"involves the circulation of hot, chemically active fluids",ACCEPTED,Valid.
hydrothermal process,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,rock,domain_term,1.0,"involves the circulation of hot, chemically active fluids through rock",ACCEPTED,Valid.
fault system,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,fault,domain_term,1.0,is a set of genetically related extensional faults,ACCEPTED,Valid.
gas,Earth Fluid,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,hydrocarbon,domain_term,1.0,consists of a mixture of low-molecular-weight hydrocarbons,ACCEPTED,Valid.
gas,Earth Fluid,located_in,http://purl.obolibrary.org/obo/BFO_0000171,reservoir,domain_term,0.8,existing under reservoir conditions,ACCEPTED,Valid.
uplift,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,footwall,domain_term,1.0,associated with the upward movement of footwall blocks,ACCEPTED,Valid.
uplift,Geological Process,precedes,http://purl.obolibrary.org/obo/BFO_0000063,erosion,domain_term,1.0,can also lead to erosion,ACCEPTED,Valid.
espírito santo basin,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,it was formed during the Early Cretaceous,ACCEPTED,Valid.
espírito santo basin,Basin,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,hydrocarbon accumulation,domain_term,1.0,contains significant hydrocarbon accumulations,ACCEPTED,Valid.
oil accumulation,Earth Fluid,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,gas,domain_term,1.0,accumulations of oil with associated gas,ACCEPTED,Valid.
oil accumulation,Earth Fluid,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,oil,domain_term,1.0,giant accumulations of oil,ACCEPTED,Valid.
magnesian clay,Sediment,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,stevensite,domain_term,0.8,predominantly stevensite,ACCEPTED,Valid.
magnesian clay,Sediment,derives_into,http://purl.obolibrary.org/obo/RO_0001001,dolomite,domain_term,0.8,highly susceptible to diagenetic replacement by dolomite,ACCEPTED,Valid.
magnesian clay,Sediment,derives_into,http://purl.obolibrary.org/obo/RO_0001001,silica,domain_term,0.8,"highly susceptible to diagenetic replacement by dolomite, silica, and calcite spherulites",ACCEPTED,Valid.
hydrocarbon accumulation,Earth Fluid,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,oil,domain_term,1.0,a subsurface body of oil and/or gas,ACCEPTED,Valid.
hydrocarbon accumulation,Earth Fluid,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,gas,domain_term,1.0,a subsurface body of oil and/or gas,ACCEPTED,Valid.
hydrocarbon accumulation,Earth Fluid,located_in,http://purl.obolibrary.org/obo/BFO_0000171,reservoir rock,domain_term,1.0,trapped within a porous and permeable reservoir rock,ACCEPTED,Valid.
rift section,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,sedimentary rock,domain_term,1.0,comprises the sedimentary and volcanic rocks,ACCEPTED,Valid.
rift section,Stratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,contains the primary source rocks and significant carbonate reservoirs,ACCEPTED,Valid.
volcanic activity,Geological Process,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000117,magmatism,domain_term,1.0,involved extensive magmatism,ACCEPTED,Valid.
volcanic activity,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine system,domain_term,0.8,influenced the chemistry of the Pre-Salt lacustrine systems,ACCEPTED,Valid.
volcanic activity,Geological Process,precedes,http://purl.obolibrary.org/obo/BFO_0000063,abiotic precipitation,domain_term,0.8,creating the highly alkaline and supersaturated conditions necessary for the abiotic precipitation of key carbonate reservoir facies,ACCEPTED,Valid.
sepiolite,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,stevensite,domain_term,0.8,can have a genetic relationship with precursor minerals like stevensite,ACCEPTED,Valid.
late cretaceous,Geological Time Interval,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,early cretaceous,domain_term,1.0,following the Early Cretaceous Epoch,ACCEPTED,Valid.
grain size,Dimension,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,sediment,domain_term,1.0,textural property of a sediment or sedimentary rock,ACCEPTED,Valid.
grain size,Dimension,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,sedimentary rock,domain_term,1.0,textural property of a sediment or sedimentary rock,ACCEPTED,Valid.
diagenetic history,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,"This sequence of events, such as dissolution, cementation, dolomitization, and silicification",ACCEPTED,Valid.
diagenetic history,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,1.0,"This sequence of events, such as dissolution, cementation, dolomitization, and silicification",ACCEPTED,Valid.
diagenetic history,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dolomitization,domain_term,1.0,"This sequence of events, such as dissolution, cementation, dolomitization, and silicification",ACCEPTED,Valid.
diagenetic history,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,sedimentary rock,domain_term,1.0,"chronological sequence of physical, chemical, and biological processes that alter a sedimentary rock",ACCEPTED,Valid.
