Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason,Relation_Scope,Scope_Reason,Scope_Confidence,Scope_Needs_Review
vug,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,carbonate rock,domain_term,1.0,generated or enlarged by dissolution in carbonate rock,ACCEPTED,Valid.,generic,"carbonate rock is given in the defining sentence for vug rather than as a one-off occurrence, so the scope is class-level",0.91,False
brazilian pre-salt,Stratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,occurs mainly in ultra-deep waters of the Santos and Campos basins,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
brazilian pre-salt,Stratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,occurs mainly in ultra-deep waters of the Santos and Campos basins,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
limestone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,commonly as calcite,ACCEPTED,Valid.,generic,calcite is presented as a standard constitutive mineral of limestone,0.97,False
fault reactivation,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,fault,domain_term,1.0,renews displacement on a pre-existing fault,ACCEPTED,Valid.,generic,fault reactivation is defined by renewed displacement on a pre-existing fault,0.98,False
boundstone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lamination,domain_term,0.8,with concentric internal lamination,ACCEPTED,Valid.,corpus_context,"lamination is tied to the Brazilian Pre-Salt expression of boundstone, not boundstone generally",0.9,False
carbonate mound,Mound Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian pre-salt,domain_term,0.8,in Brazilian Pre-Salt lacustrine successions,ACCEPTED,Valid.,generic,"the location is stated in the class definition itself, so within this ontology the relation characterizes the carbonate mound kind rather than a single observed occurrence",0.78,False
hydrothermal alteration,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,carbonate rock,domain_term,1.0,modifies pre-existing carbonate rocks,ACCEPTED,Valid.,generic,hydrothermal alteration is defined as modifying pre-existing carbonate rocks,0.95,False
tupi field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
tupi field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,barra velha formation,domain_term,0.8,chiefly reservoirized in the Aptian lacustrine carbonates of the Barra Velha Formation,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
tupi field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,hydrocarbon reservoir,domain_term,0.8,its main reservoirs,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
basement,Body of Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,horst,domain_term,1.0,"commonly organized into horsts, grabens, and half-grabens",ACCEPTED,Valid.,corpus_context,"horsts are mentioned only in the Brazilian pre-salt contextual sentence, not as a generic feature of basement",0.95,False
basement,Body of Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,graben,domain_term,1.0,"commonly organized into horsts, grabens, and half-grabens",ACCEPTED,Valid.,corpus_context,"grabens are mentioned only in the Brazilian pre-salt contextual sentence, not as a generic feature of basement",0.95,False
basement,Body of Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,half-graben,domain_term,1.0,"commonly organized into horsts, grabens, and half-grabens",ACCEPTED,Valid.,corpus_context,"half-grabens are mentioned only in the Brazilian pre-salt contextual sentence, not as a generic feature of basement",0.95,False
coqueiros formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,in the northern Campos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
coqueiros formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,lacustrine carbonate,domain_term,0.8,composed mainly of lacustrine bioclastic carbonates,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
coqueiros formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,coquina,domain_term,1.0,rudstones and grainstones known as coquinas,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
búzios field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos outer high,domain_term,1.0,located on the Outer High of the northern Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
búzios field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,located on the Outer High of the northern Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
dolostone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,composed predominantly of dolomite,ACCEPTED,Valid.,generic,dolomite is the defining constitutive mineral of dolostone,0.99,False
microporosity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,lacustrine carbonate,domain_term,1.0,generated in Brazilian pre-salt lacustrine carbonates,ACCEPTED,Valid.,corpus_context,"The link to lacustrine carbonate is supported by a context-specific statement about Brazilian pre-salt lacustrine carbonates, not by a definition of microporosity itself; microporosity is not generally restricted to that rock type.",0.88,False
late jurassic,Geological Time Interval,precedes,http://purl.obolibrary.org/obo/BFO_0000063,early cretaceous,domain_term,1.0,immediately preceding the Early Cretaceous,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
petroleum system,object aggregate,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,source rock,domain_term,1.0,"comprises the genetically related source rocks, migration pathways, reservoirs, seals, traps, and timing conditions",ACCEPTED,Valid.,generic,the relation is stated in the class definition of petroleum system as a constitutive part of the kind,0.98,False
petroleum system,object aggregate,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,seal,domain_term,1.0,"comprises the genetically related source rocks, migration pathways, reservoirs, seals, traps, and timing conditions",ACCEPTED,Valid.,generic,the relation is stated in the class definition of petroleum system as a constitutive part of the kind,0.98,False
erosion,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,basement high,domain_term,0.8,it commonly affected basement highs,ACCEPTED,Valid.,corpus_context,basement highs are named as affected in Brazilian Pre-Salt occurrences only,0.92,False
erosion,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,lacustrine carbonate,domain_term,0.8,affected basement highs and exposed lacustrine carbonate deposits,ACCEPTED,Valid.,corpus_context,lacustrine carbonate deposits are named as affected in Brazilian Pre-Salt occurrences only,0.9,False
spherulitestone,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,spherulite,domain_term,1.0,is composed predominantly of spherical to subspherical spherulites,ACCEPTED,Valid.,generic,spherulites are defining components of spherulitestone,0.99,False
spherulitestone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,0.8,spherulites made of fibro-radial calcite aggregates,ACCEPTED,Valid.,generic,calcite is the material of the defining spherulitic components,0.96,False
chert,Rock,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,silicification,domain_term,1.0,or by replacive silicification,ACCEPTED,Valid.,corpus_context,"The silicification genesis is introduced under the same 'in pre-salt lacustrine successions' qualifier, making it context-limited rather than a safe generic axiom for all chert.",0.93,False
lagoa feia group,Lithostratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,overlies the Cabiúnas Formation in the Campos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lagoa feia group,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,lacustrine carbonate,domain_term,1.0,"includes siliciclastic, coquina, lacustrine carbonate, and evaporitic deposits",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
espírito santo basin,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,developed during the Early Cretaceous rifting,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
breccia,Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,intraclast,domain_term,1.0,composed of angular intraclasts,ACCEPTED,Valid.,generic,"The definition presents breccia as composed of angular intraclasts, so this is a class-defining compositional relation.",0.96,False
clay mineral,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine carbonate,domain_term,1.0,mud fraction of Brazilian Pre-Salt lacustrine carbonates,ACCEPTED,Valid.,generic,constituting the mud fraction of lacustrine carbonates is presented in the NLD as a class-level characteristic of clay mineral in this ontology context,0.72,False
pyrite,Earth Material,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,diagenesis,domain_term,0.8,occurs as a common diagenetic product,ACCEPTED,Valid.,generic,being a diagenetic product is a kind-level generative characterization of pyrite in the definition,0.95,False
calcilutite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,0.8,is typically mineralized by calcite or magnesian calcite,ACCEPTED,Valid.,generic,calcite is presented as a typical class-level mineralization of calcilutite,0.78,False
calcilutite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,0.8,with variable dolomite and quartz introduced by dolomitization and silicification,ACCEPTED,Valid.,corpus_context,dolomite is mentioned as a variable diagenetic addition in the Brazilian Pre-Salt context rather than a stable class-level constituent,0.63,True
lower barra velha formation,Lithostratigraphic Unit,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,barra velha formation,domain_term,1.0,lower lithostratigraphic subdivision of the Barra Velha Formation,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower barra velha formation,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,mg-rich clay,domain_term,0.8,"is distinguished by Mg-rich clays, micrites, reworked facies, and locally basaltic intervals",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower barra velha formation,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,micrite,domain_term,0.8,"is distinguished by Mg-rich clays, micrites, reworked facies, and locally basaltic intervals",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
lower barra velha formation,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,rework facies,domain_term,0.8,"is distinguished by Mg-rich clays, micrites, reworked facies, and locally basaltic intervals",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
burial diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,0.8,"commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling",ACCEPTED,Valid.,corpus_context,"listed as commonly included in Brazilian pre-salt burial diagenesis, not clearly class-definitional",0.7,True
burial diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,0.8,"commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling",ACCEPTED,Valid.,corpus_context,"listed as commonly included in Brazilian pre-salt burial diagenesis, not clearly class-definitional",0.7,True
burial diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,recrystallization,domain_term,0.8,"commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling",ACCEPTED,Valid.,corpus_context,"listed as commonly included in Brazilian pre-salt burial diagenesis, not clearly class-definitional",0.7,True
burial diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dolomitization,domain_term,0.8,"commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling",ACCEPTED,Valid.,corpus_context,"listed as commonly included in Brazilian pre-salt burial diagenesis, not clearly class-definitional",0.7,True
mero field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,is located in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
mero field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,0.8,contains hydrocarbons in carbonate reservoirs,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
aragonite,Earth Material,derives_into,http://purl.obolibrary.org/obo/RO_0001001,calcite,domain_term,1.0,is readily transformed by dissolution or neomorphism to calcite,ACCEPTED,Valid.,generic,ready transformation to calcite is presented as a characteristic behavior of aragonite,0.96,False
aragonite,Earth Material,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,1.0,is readily transformed by dissolution or neomorphism to calcite,ACCEPTED,Valid.,generic,dissolution is explicitly given as a characteristic process through which aragonite transforms,0.94,False
upper barra velha formation,Lithostratigraphic Unit,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,barra velha formation,domain_term,1.0,upper stratigraphic unit of the Aptian Barra Velha Formation,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
upper barra velha formation,Lithostratigraphic Unit,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,0.8,upper stratigraphic unit of the Aptian Barra Velha Formation,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
upper barra velha formation,Lithostratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
calcirudite,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,limestone,domain_term,0.8,chiefly fragments of limestone,ACCEPTED,Valid.,generic,limestone fragments are part of the class description of calcirudite,0.91,False
calcirudite,Sedimentary Rock,derives_from,http://purl.obolibrary.org/obo/RO_0001000,dolostone,domain_term,0.8,and dolostone,ACCEPTED,Valid.,generic,dolostone fragments are part of the class description of calcirudite,0.91,False
calcirudite,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,dominated by carbonate intraclasts,ACCEPTED,Valid.,generic,intraclasts are presented as class-level clastic components of calcirudite,0.74,False
mechanical compaction,Geological Process,occurs_in,http://purl.obolibrary.org/obo/BFO_0000066,lacustrine carbonate,domain_term,0.8,In Brazilian pre-salt lacustrine carbonates,ACCEPTED,Valid.,corpus_context,host lacustrine carbonates are given as the Brazilian pre-salt observational setting,0.86,False
mechanical compaction,Geological Process,preceded_by,http://purl.obolibrary.org/obo/BFO_0000062,cementation,domain_term,0.8,commonly postdates some early dolomite cements,ACCEPTED,Valid.,corpus_context,temporal ordering is reported for early cements in this regional diagenetic context,0.89,False
dolomudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,composed mainly of very fine dolomite crystals,ACCEPTED,Valid.,generic,dolomite is the main constitutive mineral of dolomudstone,0.99,False
dolomudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,mud,domain_term,1.0,with variable mud content,ACCEPTED,Valid.,generic,mud is stated as a class-level constituent of dolomudstone,0.9,False
dolomudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,0.8,"in some cases, interlayered fine calcite particles",ACCEPTED,Valid.,generic,calcite is described as an optional class-level constituent of dolomudstone rather than a single occurrence,0.62,True
dolomudstone,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,porosity,domain_term,1.0,its porosity is very low,ACCEPTED,Valid.,generic,very low porosity is presented as a characteristic quality of dolomudstone,0.89,False
replacement,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,commonly through coupled dissolution and precipitation,ACCEPTED,Valid.,generic,replacement is defined as commonly proceeding through coupled dissolution and precipitation,0.94,False
outer high,Geological Structure,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,basement,domain_term,0.8,an uplifted basement structural high,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
basement high,Body of Rock,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,basement,domain_term,1.0,forms a topographic elevation of the basement,ACCEPTED,Valid.,generic,being an elevation of the basement makes parthood to basement definitional for basement high,0.95,False
reservoir rock,Sedimentary Rock,has_quality,http://purl.obolibrary.org/obo/RO_0000086,porosity,domain_term,1.0,has sufficient porosity,ACCEPTED,Valid.,generic,porosity is definitional for reservoir rock,0.99,False
fracture porosity,quality,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,carbonate rock,domain_term,1.0,microfractures cutting the carbonate rock,ACCEPTED,Valid.,generic,"the definition presents fracture porosity as void space within fractures cutting carbonate rock, so the bearer relation is stated as characteristic of the kind",0.81,False
eoaptian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,0.8,the earliest part of the Aptian Stage in the Early Cretaceous,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
sapinhoá field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,is located in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
sapinhoá field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,pre-salt,domain_term,1.0,is an offshore pre-salt oil field,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
sapinhoá field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,contains Aptian carbonate reservoirs,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
calcarenite,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intraclast,domain_term,1.0,composed predominantly of sand-sized carbonate grains or intraclasts,ACCEPTED,Valid.,generic,intraclasts are included in the class definition of calcarenite,0.93,False
calcarenite,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,ooid,domain_term,1.0,it commonly consists of ooids,ACCEPTED,Valid.,corpus_context,"ooids are mentioned as common in Brazilian Pre-Salt calcarenite, not definitional of calcarenite generally",0.88,False
reworked carbonate,Sedimentary Facies,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,spherulite,domain_term,0.8,composed mainly of transported and redeposited clasts of calcitic spherulites and/or calcitic shrubs,ACCEPTED,Valid.,generic,spherulite clasts are part of the class definition of reworked carbonate,0.95,False
reworked carbonate,Sedimentary Facies,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,0.8,composed mainly of transported and redeposited clasts of calcitic spherulites and/or calcitic shrubs,ACCEPTED,Valid.,generic,shrub clasts are part of the class definition of reworked carbonate,0.95,False
early diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,dissolution,domain_term,1.0,it commonly involves dissolution of primary Mg-clays and some carbonate fabrics,ACCEPTED,Valid.,corpus_context,"dissolution is stated as common in Brazilian Pre-Salt early diagenesis, not universally",0.72,True
early diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,recrystallization,domain_term,1.0,recrystallization of shrubs and spherulites,ACCEPTED,Valid.,corpus_context,"recrystallization is stated as common in Brazilian Pre-Salt early diagenesis, not universally",0.72,True
early diagenesis,Geological Process,has_occurrent_part,http://purl.obolibrary.org/obo/BFO_0000117,cementation,domain_term,0.8,"precipitation of early calcite, dolomite, and silica cements",ACCEPTED,Valid.,corpus_context,"cementation is stated as common in Brazilian Pre-Salt early diagenesis, not universally",0.72,True
mud,Sediment,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,clay mineral,domain_term,1.0,"composed of variable proportions of clay minerals, calcite, dolomite, and silica",ACCEPTED,Valid.,generic,"The mud NLD presents clay mineral as part of the class-level material composition of mud ('is composed of variable proportions of...'); this is definitional/characteristic for the kind in the domain, not a particular occurrence.",0.95,False
mud,Sediment,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,"composed of variable proportions of clay minerals, calcite, dolomite, and silica",ACCEPTED,Valid.,generic,"Calcite is stated in the class definition as one of the materials composing mud. The mention of Brazilian Pre-Salt context scopes the domain of the class, not a single sampled occurrence.",0.94,False
mud,Sediment,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,dolomite,domain_term,1.0,"composed of variable proportions of clay minerals, calcite, dolomite, and silica",ACCEPTED,Valid.,generic,"Dolomite is given as part of mud's characteristic composition in the NLD, so the assertion is class-level rather than tied to a named locality instance or individual specimen.",0.94,False
mud,Sediment,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,silica,domain_term,1.0,"composed of variable proportions of clay minerals, calcite, dolomite, and silica",ACCEPTED,Valid.,generic,"Silica is included in the definitional composition statement for mud ('composed of variable proportions of... silica'), which supports a generic scope within this ontology's domain.",0.93,False
lacustrine carbonate platform,Depositional System,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,microbialite,domain_term,0.8,bodies composed of microbialites and bioclastic limestones,ACCEPTED,Valid.,corpus_context,Composition by microbialites is asserted under 'In the Brazilian Pre-Salt' and therefore cannot safely be taken to quantify over all lacustrine carbonate platforms.,0.88,False
lacustrine carbonate platform,Depositional System,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,limestone,domain_term,0.8,bodies composed of microbialites and bioclastic limestones,ACCEPTED,Valid.,corpus_context,"Composition by limestones is likewise stated only for the Brazilian Pre-Salt occurrence of the class, not as a universally generic axiom.",0.88,False
siltstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,quartz,domain_term,0.8,"Its main constituents are typically K-feldspar, monocrystalline quartz, white mica, and clay minerals",ACCEPTED,Valid.,generic,quartz is listed among the typical main constituents of siltstone,0.93,False
siltstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,clay mineral,domain_term,1.0,"Its main constituents are typically K-feldspar, monocrystalline quartz, white mica, and clay minerals",ACCEPTED,Valid.,generic,clay minerals are listed among the typical main constituents of siltstone,0.93,False
regional seal,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,evaporite,domain_term,1.0,the regional seal is formed mainly by the evaporites of the Ariri Formation,ACCEPTED,Valid.,corpus_context,"constitution by evaporite is stated specifically for the Brazilian pre-salt regional seal, not for regional seals in general",0.97,False
regional seal,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,especially halite and anhydrite,ACCEPTED,Valid.,corpus_context,halite is identified as a constituent only in the Brazilian pre-salt contextualization of regional seal,0.98,False
regional seal,Body of Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,especially halite and anhydrite,ACCEPTED,Valid.,corpus_context,anhydrite is identified as a constituent only in the Brazilian pre-salt contextualization of regional seal,0.98,False
guarujá formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
são paulo plateau,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,basement high,domain_term,1.0,comprises a set of basement highs,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
são paulo plateau,Geological Structure,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,outer high,domain_term,1.0,including the Outer High,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
itanhaém formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,in the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
upper aptian,Stratigraphic Unit,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,aptian,domain_term,1.0,represents the later part of the Aptian Stage,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
upper aptian,Stratigraphic Unit,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,lower cretaceous,domain_term,1.0,the Aptian Stage of the Lower Cretaceous,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
atapu field,site,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,lies in the central Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
atapu field,site,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,carbonate reservoir,domain_term,1.0,contains giant carbonate reservoirs beneath the salt layer,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
guaratiba group,Lithostratigraphic Unit,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,of the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
guaratiba group,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,itapema formation,domain_term,1.0,"comprising the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
guaratiba group,Lithostratigraphic Unit,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,barra velha formation,domain_term,1.0,"comprising the Camboriú, Piçarras, Itapema, Barra Velha, and Ariri formations",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
cabiúnas formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,forms the basal pre-salt succession of the Campos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
itabapoana formation,Formation,continuant_part_of,http://purl.obolibrary.org/obo/BFO_0000176,lagoa feia group,domain_term,1.0,lithostratigraphic unit of the Lagoa Feia Group,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
itabapoana formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,campos basin,domain_term,1.0,in the northern Campos Basin pre-salt succession,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
retiro formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,"consists predominantly of anhydrite, halite, sylvite, and carnallite",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
retiro formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,"consists predominantly of anhydrite, halite, sylvite, and carnallite",ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
