Term,RAG_Context_Used,Category,Reasoning,NLD
micrite,True,Sedimentary Facies,The NLD explicitly defines micrite as a fine-grained carbonate facies characterized by depositional and textural sedimentological features.,"Micrite is a fine-grained carbonate facies that consists predominantly of microcrystalline carbonate mud deposited as pelagic background sediment in the deeper, calm, and undisturbed parts of Pre-Salt lacustrine systems. In the Barra Velha Formation of the Santos Basin, it commonly occurs as laminated or massive micrite, with laminated varieties showing regular light-dark layering, and its reservoir space is typically dominated by low-angle fractures rather than abundant primary porosity."
cretaceous,True,Geological Time Interval,"The NLD describes the Cretaceous as a geologic period spanning 145 to 66 million years ago, which is a geological time interval.","Cretaceous is a geologic period that spans approximately 145 to 66 million years ago and includes the Early South Atlantic rifting and Aptian lacustrine carbonate deposition associated with Brazilian Pre-Salt basins. In the Pre-Salt context, the Early Cretaceous marks continental breakup and the formation of lacustrine basins such as Santos, Campos, and Espírito Santo, while Late Cretaceous strata commonly constitute part of the overlying post-salt sedimentary overburden."
carbonate rock,True,Sedimentary Rock,The NLD directly states that carbonate rock is a sedimentary rock composed predominantly of carbonate minerals.,"Carbonate rock is a sedimentary rock that is composed predominantly of carbonate minerals and occurs as either particulate depositional fabric or biologically constructed fabric. In the Brazilian Pre-Salt, carbonate rocks are highly reactive and heterogeneous because syngenetic and diagenetic processes such as cementation, dissolution, dolomitization, and silicification can strongly modify their texture, mineralogy, and pore network, making them major reservoir rocks."
kerolite,True,Earth Material,"The NLD describes kerolite as a magnesium-rich clay mineral, which fits a natural solid geological material rather than a rock body or process.","Kerolite is a magnesium-rich clay mineral that occurs as a principal authigenic Mg-clay in Aptian pre-salt lacustrine carbonate facies of the Santos Basin. In the Barra Velha reservoir succession, it is common in Mg-claystones, intraclastic grainstones, fascicular calcite crusts, and laminites, and its abundance generally increases upward into Units 2 and 1, reaching its highest proportions in Unit 1."
hydrothermal activity,True,Geological Process,The NLD explicitly defines hydrothermal activity as a set of geological processes involving hot fluid circulation and alteration.,"Hydrothermal activity is a set of geological processes that redistributes heat and mass through the lateral and vertical circulation of hot fluids under variable temperatures and pressures. In Brazilian Pre-Salt carbonates, it is commonly focused along faults or other high-heat-flow pathways, where it causes hydrothermal alteration, promotes mineral precipitation or dissolution, and locally modifies reservoir quality."
source rock,True,Sedimentary Rock,The NLD explicitly defines source rock as an organic-rich sedimentary rock capable of generating hydrocarbons.,"Source rock is a sedimentary rock that contains sufficient organic matter to generate hydrocarbons during burial and thermal maturation. In the Brazilian pre-salt, this term refers chiefly to the Barremian–Aptian lacustrine organic-rich shales of the Itapema Formation, deposited in fresh-to-brackish settings and commonly characterized by TOC of about 2–6% and type I kerogen, which charge the Itapema and Barra Velha carbonate reservoirs."
intraparticle porosity,True,quality,The NLD describes a pore-space property that inheres in carbonate grains or rock rather than a distinct material body.,"Intraparticle porosity is a secondary pore type that occurs within individual carbonate grains, bioclasts, or coated particles through partial to selective dissolution of their internal components. In Brazilian Pre-Salt carbonates, it commonly develops inside shells, ooids, and oncoids, may preserve features such as microbial coats after the nucleus dissolves, and is typically observed in thin section or micro-CT because it can be below conventional CT resolution."
sandstone,True,Sedimentary Rock,The NLD directly identifies sandstone as a siliciclastic sedimentary rock composed mainly of sand-sized grains.,"Sandstone is a siliciclastic sedimentary rock that is composed predominantly of sand-sized grains and, in presalt successions, commonly ranges from coarse to fine grained with current laminations. In the presalt rift-to-sag setting it is typically interpreted as a fluvial to alluvial-fan deposit in more landward basin areas, and where mixed with mollusk shells it can record episodic coarse siliciclastic input into lacustrine margin or fan-delta environments."
vug,True,site,"The NLD describes a cavity-like pore void within rock, which is best modeled as an immaterial site bounded by surrounding material.","Vug is a secondary pore that is non-fabric-selective and generated or enlarged by dissolution in carbonate rock. In Brazilian Pre-Salt carbonates, vugs are typically mostly open cavity-like voids, commonly centimeter scale and isolated at core scale, but they may touch or connect along natural fractures or, less commonly, bedding planes, especially in silicified and fractured intervals."
lacustrine carbonate reservoir,True,Body of Rock,It describes a discrete subsurface carbonate rock body in a lake-deposited succession whose reservoir behavior depends on its facies and diagenetic heterogeneity.,"A lacustrine carbonate reservoir is a carbonate reservoir that is developed in carbonate successions deposited in lake environments and whose storage and flow capacity are controlled by strong facies and diagenetic heterogeneity. In the Brazilian Pre-Salt, these reservoirs occur beneath thick evaporites in the Santos and Campos basins and commonly comprise shrubstone, grainstone, laminated micrite, and massive micrite. Their reservoir quality is typically governed by secondary porosity, especially intergranular, dissolution, and intercrystalline pores, with fractures locally enhancing permeability."
brazilian pre-salt,True,Stratigraphic Unit,It is defined as a regional package of strata and reservoirs distinguished by their position beneath a thick evaporite seal.,"Brazilian pre-salt is an offshore stratigraphic and petroleum domain that comprises Aptian lacustrine carbonate reservoirs deposited during the South Atlantic rift-sag breakup and buried beneath a thick regional evaporite seal. It occurs mainly in ultra-deep waters of the Santos and Campos basins of southeastern Brazil, where the overlying salt, commonly assigned to the Ariri Formation, seals giant oil and gas accumulations and contributes to strong reservoir heterogeneity."
post-rift phase,True,Geological Time Interval,The NLD defines it as a tectonostratigraphic stage or interval following rifting and associated with thermal subsidence.,"Post-rift phase is a tectonostratigraphic stage that succeeds active rifting and is dominated by basinwide thermal subsidence, producing broadly tabular strata that drape earlier rift relief. In the Brazilian pre-salt, it corresponds mainly to the Aptian sag interval, marked by deposition of Barra Velha microbialitic and other lacustrine carbonates in a shallow alkaline endorheic system, followed by the evaporites of the Ariri Formation during the transition from continental to more marine conditions."
vuggy porosity,True,Geological Structure,"It describes the internal arrangement of dissolution cavities within carbonate rock, which is a structural characteristic of the rock body.","Vuggy porosity is a carbonate pore type that consists of dissolution-related cavities larger than the particles composing the rock. In Brazilian Pre-Salt reservoirs, it commonly occurs across multiple observation scales and may dominate facies such as calcirudites and shrubstones, but because many vugs are partially isolated, it can contribute significant porosity while providing little permeability, especially in silicified intervals."
late aptian,True,Geological Time Interval,The NLD explicitly describes it as the final chronostratigraphic interval of the Aptian.,"Late Aptian is a chronostratigraphic interval that forms the final part of the Aptian Stage and, in the Brazilian Pre-Salt, marks the transition from late syn-rift lacustrine deposition to sag/post-rift conditions associated with the base-salt surface. It is commonly linked to depth-dependent extension that created accommodation for the upper Aptian pre-salt succession and the overlying thick evaporite sequence, although the absolute age assigned to this interval remains debated in the South Atlantic literature."
moldic porosity,True,Geological Structure,"It describes a dissolution-created internal pore arrangement in rock, which fits a GeoCore Geological Structure.","Moldic porosity is a secondary porosity type that comprises voids formed by dissolution of primary or diagenetic constituents, preserving the external shape of the removed grains or bioclasts. In Brazilian Pre-Salt lacustrine carbonates, it is common in bioclastic grainstones and rudstones, where it may provide good total porosity but typically low permeability unless the molds are enlarged and connected into vuggy pores or occur with interparticle porosity."
limestone,True,Sedimentary Rock,"The NLD explicitly defines limestone as a sedimentary carbonate rock, matching GeoReservoir Sedimentary Rock.","Limestone is a sedimentary carbonate rock that consists predominantly of calcium carbonate, commonly as calcite, formed by chemical, microbial, or bioclastic accumulation and lithification. In the Brazilian Pre-Salt, especially in the Barra Velha Formation, limestones commonly include shrub- and spherulite-rich facies, as well as bioclastic and locally silicified varieties, whose textures reflect depositional setting and diagenetic overprint."
conglomerate,True,Sedimentary Rock,"The NLD explicitly defines conglomerate as a coarse-grained clastic sedimentary rock, fitting GeoReservoir Sedimentary Rock.","Conglomerate is a coarse-grained clastic sedimentary rock that contains rounded to subrounded clasts larger than 2 mm within a finer matrix or cement. In the Brazilian Pre-Salt, conglomerates commonly record proximal synrift to sag deposition related to footwall uplift and erosion, forming massive or upward-fining beds in fluvial to alluvial-fan settings and including basement, basalt, limestone, or silica clasts."
fault reactivation,True,Geological Process,"It is described as renewed displacement on a pre-existing fault during later deformation, fitting GeoCore Geological Process.","Fault reactivation is a tectonic process that renews displacement on a pre-existing fault during a later deformation phase, reusing inherited fault architecture and sometimes producing inversion or related secondary fault sets. In the Brazilian pre-salt, it is recognized by the continuity and colinearity of early and late syn-rift faults and can generate extensional folding or increased vertical displacement, thereby controlling accommodation, depocenter distribution, Barra Velha facies and reservoir quality, salt movement, and hydrocarbon migration."
intercrystalline porosity,True,Geological Structure,It describes the internal arrangement of pore spaces between adjacent mineral crystals within a rock.,"Intercrystalline porosity is a pore system that consists of void spaces between adjacent mineral crystals, commonly produced or enlarged by dolomitization, recrystallization, and dissolution. In Brazilian pre-salt carbonates, it commonly develops among dolomite crystals and spherulites, and it can be a major control on reservoir quality where interparticle pores have been reduced by cementation or compaction."
primary porosity,True,Geological Structure,It denotes the depositionally formed internal pore structure inherited from the rock's original fabric.,"Primary porosity is a porosity type that originates during deposition and early fabric formation of the carbonate, before secondary processes such as dissolution or fracturing create new pore space. In Brazilian Pre-Salt lacustrine carbonates, it commonly includes interparticle or interclast pore space and may also occur within clasts or growth frameworks. Its preservation is mainly controlled by the interplay of early cementation and compaction, and it can later be partly occluded by cements such as dolomite or silica."
boundstone,True,Sedimentary Rock,It describes a named carbonate rock type whose components were bound together during deposition.,"Boundstone is a carbonate facies that consists of original components bound together during deposition, commonly expressed in the Brazilian Pre-Salt as fine-grained domal to layered constructions with concentric internal lamination. In the Barra Velha Formation, it typically resembles stromatolitic or microbial buildups formed in shallow-water settings and may be cemented by euhedral dolomite, with porosity commonly generated by fabric-selective matrix dissolution."
carbonate mound,True,Mound Unit,"It is a mound-shaped carbonate buildup body, matching the GeoReservoir architectural element Mound Unit.","Carbonate mound is a carbonate buildup that forms a nearly conical, positive-relief body in Brazilian Pre-Salt lacustrine successions, commonly interpreted as analogous to hydrothermal travertine or sublacustrine spring mounds. Seismically, it typically shows ambiguous margins and low-amplitude internal reflectors, and it is commonly associated with faults and fractures that contribute to excellent reservoir quality and may channel silica- and uranium-rich hydrothermal fluids."
hydrothermal alteration,True,Geological Process,It is explicitly defined as a diagenetic process in which hot fluids modify pre-existing carbonate rocks.,"Hydrothermal alteration is a diagenetic process that modifies pre-existing carbonate rocks through the circulation of hot fluids, producing physicochemical changes and characteristic hydrothermal mineral precipitates. In Brazilian Pre-Salt reservoirs, it is commonly linked to fault-controlled fluid flow and is recognized by minerals such as macrocrystalline calcite, saddle dolomite, barite, celestine, and fluorite, locally also promoting dissolution and karstic porosity."
tupi field,True,site,It denotes a delimited offshore subsurface area containing hydrocarbon accumulations rather than a rock body or process.,"Tupi Field is a giant pre-salt petroleum field in the Santos Basin that lies offshore Brazil on the Santos Basin External High and is chiefly reservoirized in the Aptian lacustrine carbonates of the Barra Velha Formation. Discovered in 2006 in ultradeep water, it is one of the world-class Brazilian pre-salt accumulations, with its main reservoirs deposited during the post-rift sag phase and filling inherited rift relief."
reservoir heterogeneity,True,quality,It is a reservoir characteristic defined by spatial variability in facies and petrophysical properties.,"Reservoir heterogeneity is a reservoir characteristic that consists of spatial variations in facies and petrophysical properties, especially porosity and permeability, which create vertical and lateral contrasts in fluid flow behavior. In Brazilian pre-salt carbonates, it is mainly generated by depositional cyclicity and facies stacking, structural features such as faults, and diagenetic modification including dissolution, silicification, and dolomitization. These contrasts can produce flow barriers or baffles, reduce hydrocarbon displacement efficiency, and locally compartmentalize pressure and fluids."
basement,True,Body of Rock,It is the discrete crustal rock substrate underlying the sedimentary succession in the geological setting.,"Basement is a pre-sedimentary crustal substrate that forms the structural foundation beneath the overlying sedimentary succession. In the Brazilian pre-salt, the top of the basement is the seismic horizon that bounds the acoustic basement and is commonly organized into horsts, grabens, and half-grabens, where inherited basement composition and fabric strongly control rift faulting and the accommodation of overlying carbonates."
coqueiros formation,True,Formation,"It is explicitly defined as a formal stratigraphic formation in the Campos Basin, which matches the GeoReservoir Formation category.","Coqueiros Formation is a Lower Cretaceous rift-phase stratigraphic formation in the northern Campos Basin that is composed mainly of lacustrine bioclastic carbonates, especially bivalve-rich rudstones and grainstones known as coquinas, intercalated with organic shales. It forms an important Brazilian pre-salt reservoir unit, locally interfingers with proximal clastic sediments of the Itabapoana Formation, and is regarded as the Campos Basin equivalent of the Itapema Formation in the Santos Basin."
bioclastic grainstone,True,Sedimentary Rock,"The definition describes a grain-supported bioclastic limestone, which is a type of sedimentary rock.","Bioclastic grainstone is a grain-supported bioclastic limestone that is composed mainly of carbonate skeletal grains smaller than 2 mm, typically bivalve, ostracod, and gastropod fragments, and lacks a mud matrix. In the Brazilian Pre-Salt, it commonly occurs as a massive to slightly laminated coquina facies with chaotic to subparallel bioclast orientation and is commonly altered by recrystallization, dissolution, dolomitization, or silicification."
búzios field,True,site,"It is described as a geographically delimited hydrocarbon-bearing area located in the Santos Basin, fitting a BFO site.","Búzios Field is a supergiant pre-salt oil and gas field that is located on the Outer High of the northern Santos Basin, about 180 km offshore Rio de Janeiro in ultra-deep water, and is hosted mainly in Barremian–Aptian lacustrine carbonate reservoirs. Discovered in 2010, it is one of the world’s largest ultra-deepwater hydrocarbon accumulations and a key producing asset of Brazil’s pre-salt province, covering about 852 km² with estimated reserves near 29–30 billion barrels of oil."
carbonate,True,Sedimentary Rock,The definition directly identifies carbonate as a sedimentary rock composed predominantly of carbonate minerals.,"Carbonate is a sedimentary rock that is composed predominantly of carbonate minerals and forms by in-situ precipitation, biological construction, or accumulation of carbonate particles. In the Brazilian Pre-Salt, carbonates constitute the main reservoir facies and include lithologies such as grainstones, stromatolites, laminites, and spherulitites, commonly with calcitic and dolomitic compositions whose depositional and accumulation rates strongly control platform thickness and facies distribution."
pre-salt carbonate reservoir,True,Body of Rock,It is described as a discrete subsurface reservoir body made of pre-salt carbonate rocks with characteristic facies and petrophysical properties.,"A pre-salt carbonate reservoir is a hydrocarbon reservoir that consists of lacustrine carbonate rocks deposited during the syn-rift to sag phases beneath the Aptian salt of the Brazilian pre-salt basins. It commonly includes microbialites, coquinas, bioclastic and intraclastic grainstones or rudstones, shrubstones, and micritic facies, and its porosity and permeability are highly heterogeneous because of dissolution, intercrystalline and intergranular pores, fractures, and diagenetic overprints such as dolomitization and silicification."
lithofacies,True,Sedimentary Facies,It is a sedimentary facies unit defined by lithologic and petrographic characteristics used to distinguish depositional textures and reworking.,"Lithofacies is a sedimentary facies unit that is defined by the distinctive lithologic and petrographic characteristics of a rock body. In the Brazilian Pre-Salt Barra Velha carbonates, lithofacies are commonly used to distinguish in-situ or autochthonous facies, such as shrubstone, spherulitic facies, and mudstone, from reworked or allochthonous facies, such as calcarenite and calcirudite, to relate depositional texture and reworking to reservoir quality."
karstification,True,Geological Process,It is explicitly defined as a dissolution process that modifies carbonate rocks and generates secondary porosity.,"Karstification is a carbonate diagenetic dissolution process that generates secondary porosity by chemically removing rock and forming features such as vugs, dissolution channels, caves, and karst breccias. In the Brazilian Pre-Salt, it commonly develops as hypogenic or penecontemporaneous karst, often focused along faults, fractures, or cycle tops, and can markedly enhance reservoir quality by creating high-permeability pathways. If dissolution becomes too intense, cavity collapse and sediment infill can disorder the pore system and reduce reservoir quality."
alluvial fan,True,Depositional System,It is a fan-shaped depositional body at a basin margin that typically comprises linked sedimentary elements such as channels and lobes.,"Alluvial fan is a subaerial sedimentary depositional body that forms where sediment-laden flows emerge from a confined upland channel or fault-scarp catchment and spread onto a basin margin as a fan-shaped wedge. In the Brazilian Pre-Salt rift setting, alluvial fans commonly occupied arid to semiarid lake margins along normal faults, and where they prograded into standing water they could pass basinward into fan deltas and supply shoreline deposits later reworked by waves."
eodiagenesis,True,Geological Process,"It describes an early diagenetic stage of dissolution, replacement, cementation, and compaction that modifies sediments, which fits a geological process.","Eodiagenesis is an early diagenetic stage that affects sediments at or near the depositional surface before significant burial, producing near-surface dissolution, replacement, and cementation. In Brazilian Pre-Salt carbonates, it commonly involves meteoric or vadose alteration, dissolution of magnesian clays or bioclasts, replacement by calcite, dolomite, or silica, and early cementation and compaction, which can either generate secondary porosity or occlude primary pores."
dolostone,True,Sedimentary Rock,The NLD directly defines dolostone as a carbonate sedimentary rock composed predominantly of dolomite.,"Dolostone is a carbonate sedimentary rock that is composed predominantly of dolomite, commonly occurring in the Brazilian Pre-Salt as dolomite rhombs and blocky dolomite aggregates within matrices of Mg-clays, organic matter, and detrital clasts. In Pre-Salt reservoirs, it commonly forms a subordinate diagenetic facies associated with pervasive dolomitization and silicification, may be interlaminated with or host chert, and can develop intercrystalline and vugular porosity that supports high reservoir quality."
microporosity,True,quality,"It describes a pore-space property of rock defined by micrometer-scale pores and pore throats, so it is best treated as a quality inhering in the rock.","Microporosity is a porosity class that consists of micrometer-scale pores and pore throats, commonly generated in Brazilian pre-salt lacustrine carbonates by diagenetic cementation, replacement, or dissolution within shrubs, spherulites, and calcite crusts. In the pre-salt reservoirs of the Santos and Campos basins, microporosity commonly dominates the pore-size distribution, tends to retain high irreducible water saturation, and has little positive influence on permeability even where total porosity is appreciable."
late jurassic,True,Geological Time Interval,"The NLD explicitly defines it as the final part of the Jurassic Period, which is a geological time interval.","Late Jurassic is a geologic time interval that represents the final part of the Jurassic Period, immediately preceding the Early Cretaceous. In the Brazilian pre-salt context, it corresponds to the onset of South Atlantic extension and is locally associated with the earliest rift-related deposition and magmatism, including Kimmeridgian units and tectonic activity near the Jurassic–Cretaceous transition."
petroleum system,True,object aggregate,"It is defined as a system composed of multiple genetically related geological elements such as source rocks, reservoirs, seals, and traps, fitting an aggregate of objects.","Petroleum system is a geologic system that comprises the genetically related source rocks, migration pathways, reservoirs, seals, traps, and timing conditions necessary for hydrocarbons to be generated, migrate, accumulate, and be preserved. In the Brazilian pre-salt, this system is strongly controlled by basement configuration, with source rocks concentrated in structural lows, carbonate reservoirs preferentially developed over positive topography, and major faults acting as conduits for hydrocarbons and mantle-derived CO2."
volcanic rock,True,Rock,"It is explicitly defined as an igneous rock, which fits the GeoCore category Rock.","Volcanic rock is an igneous rock that forms by the cooling and solidification of magma or lava at or near the Earth’s surface. In the Brazilian Pre-Salt, it commonly occurs as altered volcanic fragments or volcanic-related sediments reworked with lacustrine carbonates, locally contributing clasts within packstones, calcirudites, and mixed reworked deposits."
transfer zone,True,Geological Structure,"It is defined as a structural accommodation zone that organizes displacement between fault segments, fitting Geological Structure.","Transfer zone is a structural accommodation zone that laterally transfers displacement between adjacent rift fault segments or depocentres. In the Brazilian Pre-Salt, it commonly appears as an oblique, relatively elevated structural high between surrounding lows, where lower accommodation contrasts with adjacent depocentres and strongly influences palaeorelief, sediment thickness, and the distribution and quality of syn-rift lacustrine carbonate reservoirs."
erosion,True,Geological Process,It is directly described as a geological surface process that removes and reworks rock or sediment.,"Erosion is a geological surface process that removes, truncates, and reworks exposed rock or sediment by physical and chemical action. In the Brazilian Pre-Salt, it commonly affected basement highs and exposed lacustrine carbonate deposits during synrift to sag exposure or low lake-level episodes, producing erosion surfaces with truncated reflectors and generating reworked sediment from the breakdown of shrub and spherulitic facies."
spherulitestone,True,Sedimentary Rock,"It is explicitly defined as an autochthonous lacustrine carbonate rock type, fitting GeoReservoir Sedimentary Rock.","Spherulitestone is an autochthonous lacustrine carbonate rock that is composed predominantly of spherical to subspherical spherulites made of fibro-radial calcite aggregates, commonly around a micritic nucleus. In the Brazilian pre-salt, it typically contains more than 90% spherulites, shows grainstone-like packing despite being in situ, and may occur in laminated, massive, shrubby, or muddy variants as spherulite size and mud content change."
valanginian,True,Geological Age,It is explicitly described as an Early Cretaceous geologic age associated with syn-rift development.,"Valanginian is an Early Cretaceous geologic age that marks the earliest syn-rift tectono-stratigraphic interval recognized in many Brazilian pre-salt basin reconstructions. In this context, it corresponds to the beginning of Valanginian–Barremian depocenter development, characterized by the early profusion of half-grabens, high accommodation creation, and lacustrine sedimentation associated with the initial stages of the Itapema Formation."
depocenter,True,Basin,"It denotes a structurally bounded subsurface low where accommodation and sediment accumulation are concentrated, matching a Basin site.","Depocenter is a structurally controlled basin low that contains the greatest accommodation space and sediment accumulation within a given stratigraphic interval. In the Brazilian pre-salt syn-rift, depocenters commonly form in fault-bounded hanging-wall lows between structural highs, and their migration reflects shifts in tectonic control, sediment-thickness distribution, and the preservation of reservoir-scale stratigraphic architecture."
chert,True,Rock,"It is defined as a consolidated silica-rich rock composed mainly of microcrystalline quartz, which fits GeoCore Rock.","Chert is a silica-rich rock that is composed mainly of microcrystalline quartz and, in pre-salt lacustrine successions, forms by syndepositional to early diagenetic silica precipitation associated with microbial growth or by replacive silicification. It commonly occurs as microbial boundstones on topographic highs, as thin beds in micritic sag-platform intervals, and as a major reservoir facies in isolated buildups where chalcedony and quartz cements coexist with residual vuggy porosity and fractures."
seal,True,Body of Rock,It is described as a discrete low-permeability geological unit that acts as a physical barrier to fluid migration.,"Seal is a low-permeability geological unit that prevents or strongly retards the migration of hydrocarbons and other subsurface fluids, allowing their accumulation in a reservoir. In the Brazilian Pre-Salt, the regional seal is commonly provided by the Ariri Formation evaporites, mainly halite and anhydrite, although low-permeability micritic intervals and the integrity of faults through the salt can also control local sealing and leakage behavior."
ribeira belt,True,Body of Rock,"Describes a discrete tectonic belt composed of amalgamated rock terranes, fitting a recognizable Body of Rock.","Ribeira Belt is a Neoproterozoic to Cambrian orogenic belt that consists of amalgamated granitic and gneissic terranes formed in a lithospheric convergence zone during the Brasiliano–Pan-African assembly of Gondwana. In the Brazilian pre-salt context, its inherited mainly NE-trending structural fabric continues beneath the Santos Basin and strongly controls rift architecture, strike-slip and shear-zone reactivation, structural highs, and the distribution and compartmentalization of carbonate reservoirs."
saddle dolomite,True,Earth Material,"Describes a diagenetic dolomite cement, i.e. a natural mineral material generated by geological processes, fitting Earth Material.","Saddle dolomite is a diagenetic dolomite cement that displays coarse anhedral to subhedral prismatic crystals with curved crystal faces and sweeping extinction, commonly precipitating as fracture infill or overgrowths in Pre-Salt carbonates. In the Brazilian Pre-Salt, it occurs across several facies but is more strongly controlled by structural setting than by depositional facies, and its association with fractures may indicate hydrothermal-fluid influence without being diagnostic of hydrothermal alteration by itself."
lagoa feia group,True,Lithostratigraphic Unit,"It is explicitly a stratigraphic group, which is a lithostratigraphic unit defined by lithology and stratigraphic position.","Lagoa Feia Group is a Lower Cretaceous pre-salt stratigraphic group that unconformably overlies the Cabiúnas Formation in the Campos Basin and encompasses the rift to post-rift nonmarine to transitional succession up to the evaporites of the Retiro Formation. Ranging from the Barremian to the Late Aptian, it includes siliciclastic, coquina, lacustrine carbonate, and evaporitic deposits that form key seismic-stratigraphic markers and host important pre-salt carbonate reservoirs."
pore system,True,Geological Structure,"Describes the internal arrangement, geometry, and connectivity of pore spaces within rock, fitting Geological Structure.","Pore system is a network of void spaces in a rock that includes the types, sizes, distribution, geometry, and connectivity of pores and pore conduits that control fluid storage and flow. In Brazilian pre-salt carbonates, it is typically multiscale and highly heterogeneous, reflecting both depositional fabric and diagenetic modification such as compaction, cementation, dissolution, and fracturing. It may comprise pore types such as growth-framework, intercrystalline, interparticle, vuggy, and fracture-related pores, locally forming laterally and vertically connected enlarged pore bodies."
espírito santo basin,True,Basin,"Describes a marginal sedimentary basin, a depressed site where sediments accumulate, matching Basin.","Espírito Santo Basin is a marginal sedimentary basin that occupies the southeastern Brazilian Atlantic margin, immediately north of the Campos Basin and separated from it by the Vitória High. It developed during the Early Cretaceous rifting associated with the breakup of Gondwana and is commonly grouped with the Campos and Santos basins within the Greater Campos Basin, an important regional framework for Brazilian pre-salt stratigraphy and petroleum systems."
fault block,True,Body of Rock,"It is a discrete block of crust or strata bounded by faults, which fits a recognizable physical rock body.","Fault block is a structural block of crust or older strata that is bounded and displaced by faults, commonly becoming tilted in extensional settings. In the Brazilian Pre-Salt, tilted fault blocks of volcanic or sedimentary basement form crests, dip slopes, and escarpment slopes onto which the Barra Velha Formation onlaps, thereby controlling stratigraphic thickness and the distribution of grainstone and associated lacustrine facies."
gypsum,True,Earth Material,It describes a naturally precipitated mineral material rather than a stratigraphic or structural unit.,"Gypsum is an evaporite mineral that consists of hydrated calcium sulfate and precipitates from sulfate-rich saline waters. In the Brazilian Pre-Salt, early gypsum is notably absent from the Barra Velha lacustrine carbonates, supporting a non-marine interpretation, but it may locally fill dissolution fractures and is widespread in the overlying Ariri Formation."
clinoform,True,Geological Structure,It is a depositional stratal geometry describing the arrangement of prograding strata.,"Clinoform is a depositional stratal geometry that forms the inclined, basinward-dipping part of a prograding margin between shallow topsets and deeper bottomsets. In the Brazilian Pre-Salt, clinoforms are commonly identified on seismic data as sigmoid, concave-up, or exponential reflectors that prograde from carbonate-platform or tilted-block margins into adjacent lacustrine depressions, recording phases of progradation, aggradation, and local onlap."
breccia,True,Rock,It describes a consolidated fragmented rock made of angular intraclasts.,"Breccia is a fragmented rock that is composed of angular intraclasts generated by in situ cracking, faulting, collapse, or resedimentation. In Brazilian pre-salt carbonates, it occurs as clast-supported or matrix-supported varieties, is distinguished from conglomerate by its intraclast-only composition, and may contain interclast vugs that create excess permeability."
clay mineral,True,Earth Material,It denotes a natural fine-grained mineral material present within the reservoir rocks.,"Clay mineral is a fine-grained phyllosilicate mineral that constitutes the mud fraction of Brazilian Pre-Salt lacustrine carbonates and is commonly dominated by Mg-rich species such as kerolite, mixed-layer kerolite/Mg-smectite, Mg-smectite, and sepiolite. In the Barra Velha and related Aptian reservoirs, these minerals occur dispersed between siliciclastic grains or in very thin laminae, with minor illite, illite-smectite, kaolinite, and chlorite also present."
microbial carbonate,True,Sedimentary Rock,"It is explicitly defined as a carbonate rock formed by microbial mediation, which fits Sedimentary Rock in GeoReservoir.","Microbial carbonate is a carbonate rock that forms through the direct or indirect mediation of microbial communities, recording calcified bacterial-algal mats, biofilms, or microbially induced carbonate precipitation. In the Brazilian Pre-Salt, it commonly occurs as microbialite facies with clotted or peloidal textures, relic lamination, and fibrous calcite, and it can form important reservoir intervals."
pyrite,True,Earth Material,"It describes a naturally occurring mineral substance and diagenetic precipitate, fitting GeoCore's Earth Material.","Pyrite is an iron sulfide mineral that occurs as a common diagenetic product in Brazilian Pre-Salt rocks, forming cubic to micro- or macrocrystalline aggregates that fill fractures and veins or replace grains, matrix, and carbonate phases. In these carbonate reservoirs it is commonly associated with silica and dolomite, may develop in organic- and clay-rich rocks through thermochemical sulfate reduction, and fracture-filling pyrite can indicate remobilization during diagenesis."
sag basin,True,Basin,"It is a regional depressed sediment-accumulating setting formed by subsidence, directly matching the GeoReservoir category Basin.","Sag basin is a post-rift sedimentary basin that develops as a broad, laterally continuous regional depression mainly through thermal subsidence after active rifting has waned. In the Brazilian Pre-Salt, it corresponds to the Aptian transitional section, when reduced tectonic activity allowed deposition of the Barra Velha non-marine to shallow-water carbonates and the overlying Ariri evaporite seal before full drift-stage conditions were established."
calcilutite,True,Sedimentary Rock,"It is explicitly described as a fine-grained carbonate rock, which fits Sedimentary Rock in GeoReservoir.","Calcilutite is a fine-grained clastic or hybrid carbonate rock that is composed predominantly of carbonate mud- to silt-sized material, with ortho- or allochemical grains and less than 50% siliciclastic content. In the Brazilian Pre-Salt, it commonly occurs as laminated, peloidal to microbial, strongly recrystallized lithofacies and is typically mineralized by calcite or magnesian calcite with variable dolomite and quartz introduced by dolomitization and silicification."
seismic facies,True,Facies,It is described as a distinguishable seismic pattern of reflector properties used to infer depositional and reservoir characteristics.,"Seismic facies is a seismostratigraphic unit that comprises a group of reflectors with characteristic amplitude, continuity, geometry, and frequency patterns that distinguish it from adjacent seismic units and can be related to architectural elements, depositional systems, or sedimentary environments. In Brazilian Pre-Salt carbonates, seismic facies are defined by integrating seismic attributes with well information and are mapped as patterns such as tabular, mound, bank, fill, or parallel to infer reservoir boundaries, compartmentalization, and relative reservoir quality."
microcrystalline calcite,True,Earth Material,"It is a natural fine-grained calcite aggregate, i.e., a geological material occurring within rocks as matrix or replacement matter.","Microcrystalline calcite is a calcite aggregate that is composed of crystals so fine that individual grains are barely resolvable in thin section. In Brazilian Pre-Salt carbonates, it commonly forms clots, peloids, microbial laminae, and spherulite nuclei, and it may also occur as a replacement product of Mg-clay-rich or fine siliciclastic matrices."
