Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,NLD,FALLBACK,Category_IRI,Parent_IRI
fault reactivation,Geological Process,rdfs:subClassOf,Geological Process,False,"Fault reactivation is a tectonic process that renews displacement on a pre-existing fault during a later deformation phase, reusing inherited fault architecture and sometimes producing inversion or related secondary fault sets. In the Brazilian pre-salt, it is recognized by the continuity and colinearity of early and late syn-rift faults and can generate extensional folding or increased vertical displacement, thereby controlling accommodation, depocenter distribution, Barra Velha facies and reservoir quality, salt movement, and hydrocarbon migration.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
erosion,Geological Process,rdfs:subClassOf,Geological Process,False,"Erosion is a geological surface process that removes, truncates, and reworks exposed rock or sediment by physical and chemical action. In the Brazilian Pre-Salt, it commonly affected basement highs and exposed lacustrine carbonate deposits during synrift to sag exposure or low lake-level episodes, producing erosion surfaces with truncated reflectors and generating reworked sediment from the breakdown of shrub and spherulitic facies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
halokinesis,Geological Process,rdfs:subClassOf,Geological Process,False,"Halokinesis is a salt-tectonic deformation process that involves the flow and redistribution of evaporite layers under differential loading, generating structures such as diapirs, canopies, and salt windows. In the Santos Basin pre-salt system, it is a major control on basin restructuring and the structural styles of petroleum systems, influencing trap geometry, seal configuration, and hydrocarbon migration pathways through or around the salt section.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
magmatism,Geological Process,rdfs:subClassOf,Geological Process,False,"Magmatism is a geological process that involves the generation, ascent, emplacement, and possible eruption of magma within and above the crust. In the Brazilian Pre-Salt, it includes intrusive and extrusive events from rift to drift stages that are commonly linked to tectonic controls and may accompany hydrothermal alteration, although their thermal influence on carbonate reservoir diagenesis can be locally limited and is not always the main controlling factor.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
weathering,Geological Process,rdfs:subClassOf,Geological Process,False,"Weathering is a near-surface alteration process that modifies exposed carbonate rocks through chemical, physical, and biogenic reactions during subaerial exposure, commonly obliterating the original rock texture. In the Brazilian pre-salt, it is expressed as weathering profiles or paleosol-like intervals developed on exposed shallow-lake or structural-high deposits, typically showing fine-grained granular fabric, possible root marks, common dolomitization and silicification, and locally sharp contacts with the underlying unweathered rock.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002
fault,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Fault is a structural discontinuity that accommodates relative displacement of rock volumes along a fracture surface or fault zone. In Brazilian Pre-Salt carbonate reservoirs, faults are commonly classified by length, orientation, and syn- or post-depositional age, and their fault-core and damage-zone architecture strongly controls fracture density, karstification, non-matrix porosity, and reservoir heterogeneity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
normal fault,fault,rdfs:subClassOf,Geological Structure,False,"Normal fault is a tectonic fault that forms under extensional stress and is characterized by downward displacement of the hanging wall relative to the footwall. In the Brazilian Pre-Salt rift setting, normal faults commonly bound and compartmentalize crustal blocks, may display planar to curved geometries with significant dip and displacement, and can remain active during salt deposition, offsetting the base salt and influencing uplift, erosion, and reservoir architecture.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
fault system,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Fault system is a structural assemblage that groups faults with shared geometry, displacement, orientation, kinematic relationships, and relative age, and that collectively controls deformation and basin architecture. In the Santos Basin pre-salt, fault systems are primarily distinguished by the age of the growth strata and syn-rift sequences they influence, and they can be hierarchized into main systems and sub-systems that govern half-graben development, accommodation space, and subsidence through successive rift stages.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
fracture,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Fracture is a planar rock discontinuity that forms by brittle deformation and creates non-matrix porosity and potential fluid-flow pathways in carbonate reservoirs. In the Brazilian Pre-Salt, fractures are commonly related to tectonic and gravitational processes and are especially developed in silica-rich intervals where rheological contrast promotes brittle failure; they may remain open, be partially cemented, or be filled by minerals such as silica, dolomite, or barite.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
structural high,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Structural high is a positive structural relief element that stands above adjacent structural lows because of fault-controlled uplift, reduced subsidence, or both. In the Brazilian pre-salt, structural highs commonly correspond to horsts or faulted borders of grabens and half-grabens, persist through syn-rift evolution, and often favor the deposition and trapping of Barra Velha carbonate reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
horst,structural high,rdfs:subClassOf,Geological Structure,False,"Horst is a fault-bounded structural high that remains relatively uplifted or less subsided than adjacent grabens or half-grabens during extensional deformation. In the Brazilian Pre-Salt, horsts commonly occur as elongated basement highs, locally asymmetric or S-shaped, flanked by half-grabens and grabens and controlled by planar and listric normal faults. These highs help define the rift structural architecture and compartmentalize nearby depocenters and reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
accommodation zone,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Accommodation zone is a zone of distributed deformation that accommodates strain between poorly connected, overlapping, or unsuccessfully linked rift fault segments, commonly expressed by opposing dip domains and increasing bed dips. In the Brazilian Pre-Salt syn-rift, accommodation zones function as intrabasin transfer or bypass areas that segment structural domains and influence depocentre continuity, facies distribution, and reservoir quality in lacustrine carbonates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
transfer zone,accommodation zone,rdfs:subClassOf,Geological Structure,False,"Transfer zone is a structural accommodation zone that laterally transfers displacement between adjacent rift fault segments or depocentres. In the Brazilian Pre-Salt, it commonly appears as an oblique, relatively elevated structural high between surrounding lows, where lower accommodation contrasts with adjacent depocentres and strongly influences palaeorelief, sediment thickness, and the distribution and quality of syn-rift lacustrine carbonate reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
pore system,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Pore system is a network of void spaces in a rock that includes the types, sizes, distribution, geometry, and connectivity of pores and pore conduits that control fluid storage and flow. In Brazilian pre-salt carbonates, it is typically multiscale and highly heterogeneous, reflecting both depositional fabric and diagenetic modification such as compaction, cementation, dissolution, and fracturing. It may comprise pore types such as growth-framework, intercrystalline, interparticle, vuggy, and fracture-related pores, locally forming laterally and vertically connected enlarged pore bodies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
primary porosity,porosity,rdfs:subClassOf,Geological Structure,False,"Primary porosity is a porosity type that originates during deposition and early fabric formation of the carbonate, before secondary processes such as dissolution or fracturing create new pore space. In Brazilian Pre-Salt lacustrine carbonates, it commonly includes interparticle or interclast pore space and may also occur within clasts or growth frameworks. Its preservation is mainly controlled by the interplay of early cementation and compaction, and it can later be partly occluded by cements such as dolomite or silica.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
secondary porosity,pore system,rdfs:subClassOf,quality,False,"Secondary porosity is a reservoir pore system that forms after deposition and lithification through diagenetic alteration of the rock, especially by dissolution of Mg-clays, carbonate grains, and cements, and by fracturing. In Brazilian pre-salt carbonates, it commonly includes matrix dissolution, intraparticle, moldic, vugular, intercrystalline, intracrystalline, enlarged fenestral, and fracture porosity, and it may constitute the dominant share of total porosity in productive intervals.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
moldic porosity,secondary porosity,rdfs:subClassOf,quality,False,"Moldic porosity is a secondary porosity type that comprises voids formed by dissolution of primary or diagenetic constituents, preserving the external shape of the removed grains or bioclasts. In Brazilian Pre-Salt lacustrine carbonates, it is common in bioclastic grainstones and rudstones, where it may provide good total porosity but typically low permeability unless the molds are enlarged and connected into vuggy pores or occur with interparticle porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
vuggy porosity,secondary porosity,rdfs:subClassOf,quality,False,"Vuggy porosity is a carbonate pore type that consists of dissolution-related cavities larger than the particles composing the rock. In Brazilian Pre-Salt reservoirs, it commonly occurs across multiple observation scales and may dominate facies such as calcirudites and shrubstones, but because many vugs are partially isolated, it can contribute significant porosity while providing little permeability, especially in silicified intervals.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
intercrystalline porosity,pore system,rdfs:subClassOf,quality,False,"Intercrystalline porosity is a pore system that consists of void spaces between adjacent mineral crystals, commonly produced or enlarged by dolomitization, recrystallization, and dissolution. In Brazilian pre-salt carbonates, it commonly develops among dolomite crystals and spherulites, and it can be a major control on reservoir quality where interparticle pores have been reduced by cementation or compaction.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,
stromatolite,Geological Structure,rdfs:subClassOf,Sedimentary Rock,False,"Stromatolite is an organo-sedimentary carbonate structure that forms through microbial trapping and binding of sediment together with in situ carbonate precipitation, producing characteristic lamination. In the Brazilian pre-salt, it typically occurs as rare columnar, laterally linked domal, or stratiform facies in shallow lacustrine settings, commonly enclosing ooid-intraclastic grainstone and locally preserving moderate intercrystalline, intraelement, and fracture porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
clinoform,Geometry,rdfs:subClassOf,Geological Structure,False,"Clinoform is a depositional stratal geometry that forms the inclined, basinward-dipping part of a prograding margin between shallow topsets and deeper bottomsets. In the Brazilian Pre-Salt, clinoforms are commonly identified on seismic data as sigmoid, concave-up, or exponential reflectors that prograde from carbonate-platform or tilted-block margins into adjacent lacustrine depressions, recording phases of progradation, aggradation, and local onlap.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
lamination,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Lamination is a primary sedimentary structure that consists of very thin, millimeter- to centimeter-scale layers in carbonate rock, typically arranged parallel to subparallel to bedding and varying from planar to wavy. In the Brazilian Pre-Salt, laminations are commonly horizontal to sub-horizontal, may be regular, irregular, continuous, discontinuous, or crenulated, and reflect fine-scale depositional variation in alkaline to saline lacustrine settings.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
stylolite,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Stylolite is a pressure-solution seam that forms by localized dissolution during compaction and concentrates insoluble or less soluble minerals along an irregular surface in carbonate rocks. In Brazilian pre-salt reservoirs, stylolites commonly occur in bioclastic rudstones, hybrid facies, cherts, and chert-dolostone contacts, where they are enriched in illite and other residual minerals, may truncate earlier cements, and can be associated with symmetric porosity enhancement.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
karst,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Karst is a dissolution-generated geological system that develops in soluble carbonate rocks through the percolation of meteoric or endogenous aqueous fluids, producing cavities, enlarged fractures, and other non-matrix voids. In Brazilian Pre-Salt carbonates, karst is commonly controlled by faults and fracture networks and may form stratigraphically discordant high-permeability zones, although intense karstification can also generate collapse breccia and sediment infill that degrade reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
reservoir architecture,Geological Structure,rdfs:subClassOf,Geological Structure,False,"Reservoir architecture is a geological framework that describes the three-dimensional arrangement and connectivity of reservoir facies, stratigraphic surfaces, faults, and nonmatrix permeability features that control compartmentalization and fluid flow. In the Brazilian Pre-Salt, it is commonly analyzed at the scale of third-order sequences and is strongly influenced by depocenter geometry, facies distribution, fault juxtaposition against salt, and excess-permeability elements such as vugs, caves, fractures, and fault damage zones.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
onlap,Geometry,rdfs:subClassOf,Geological Structure,False,"Onlap is a seismic-stratigraphic termination pattern that occurs where younger strata terminate progressively upslope against an inclined or older surface. In the Brazilian Pre-Salt, onlap is used to interpret lake-margin migration and relative lake-level change, and it commonly marks the draping or infill of basement highs, build-ups, fault-related slopes, and other relief created during rift and sag phases.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
downlap,Geometry,rdfs:subClassOf,Geological Structure,False,"Downlap is a seismic reflector termination that occurs where inclined or progradational strata terminate downdip against a lower-lying surface. In the Brazilian Pre-Salt, it is used in seismic stratigraphic interpretation to identify progradational stacking patterns, define stratigraphic boundaries, and infer changes in accommodation and depositional architecture; in tectonically rotated settings, original downlap may locally appear as apparent onlap.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000004
Tectonostratigraphic Stage,Geological Time Interval,rdfs:subClassOf,Geological Time Interval,True,Tectonostratigraphic Stage is a Geological Time Interval that is distinguished by a characteristic tectonic regime and associated stratigraphic development during basin evolution.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005
rift phase,Tectonostratigraphic Stage,rdfs:subClassOf,Geological Time Interval,False,"Rift phase is a tectonostratigraphic stage that corresponds to active extensional deformation, fault-controlled subsidence, and associated volcanism and sedimentation during the initial opening of a basin. In the Brazilian Pre-Salt, it begins in the Hauterivian with basaltic volcanism over the basement and evolves into graben- and half-graben-controlled fluvial-lacustrine deposition. This phase includes the accumulation of siliciclastics, organic-rich shales, coquinas, and early bioclastic carbonates in units such as the Camboriu or Cabiunas, Picarras, and Itapema formations, before the post-rift microbialite and evaporite succession.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
sag phase,Tectonostratigraphic Stage,rdfs:subClassOf,Geological Time Interval,False,"Sag phase is a tectonostratigraphic stage that follows the main rift phase and is marked by the development of a broad, laterally continuous regional depression generated predominantly by thermal subsidence. In the Brazilian Pre-Salt, it corresponds to a transitional continental to shallow-marine, increasingly saline interval that controlled accommodation and facies distribution in the Barra Velha system and culminated in evaporite deposition, although local fault reactivation could persist during this supposedly quiescent period.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
post-rift phase,Tectonostratigraphic Stage,rdfs:subClassOf,Geological Time Interval,False,"Post-rift phase is a tectonostratigraphic stage that succeeds active rifting and is dominated by basinwide thermal subsidence, producing broadly tabular strata that drape earlier rift relief. In the Brazilian pre-salt, it corresponds mainly to the Aptian sag interval, marked by deposition of Barra Velha microbialitic and other lacustrine carbonates in a shallow alkaline endorheic system, followed by the evaporites of the Ariri Formation during the transition from continental to more marine conditions.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
syn-rift phase,Tectonostratigraphic Stage,rdfs:subClassOf,Geological Time Interval,False,"Syn-rift phase is a tectono-stratigraphic stage that corresponds to active continental rifting, during which lithospheric stretching, normal faulting, and block rotation form grabens and half-grabens that govern deposition before continental breakup. In the Brazilian pre-salt, it is commonly subdivided into distinct rift phases and includes magmatic activity as well as the accumulation of volcanic rocks, organic-rich fluvial-lacustrine sediments, and early carbonate deposits such as those of the Camboriú, Piçarras, and Itapema formations.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005,
carbonate build-up,Mound Unit,rdfs:subClassOf,Mound Unit,False,"Carbonate build-up is a carbonate depositional body that forms localized positive relief by aggradational, in-place growth, commonly near fault-controlled structural highs in the Barra Velha interval and often associated with hydrothermal influence. In Brazilian Pre-Salt seismic data, it is typically expressed by chaotic to low-amplitude internal reflectors, intermediate to high acoustic impedance, and geometries onlapped and later overlain by evaporites. These bodies are commonly inferred to contain shrubby and spherulitic carbonates and to have among the highest porosity and permeability of the reservoir facies.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015
carbonate mound,carbonate build-up,rdfs:subClassOf,Mound Unit,False,"Carbonate mound is a carbonate buildup that forms a nearly conical, positive-relief body in Brazilian Pre-Salt lacustrine successions, commonly interpreted as analogous to hydrothermal travertine or sublacustrine spring mounds. Seismically, it typically shows ambiguous margins and low-amplitude internal reflectors, and it is commonly associated with faults and fractures that contribute to excellent reservoir quality and may channel silica- and uranium-rich hydrothermal fluids.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000015,
Stratigraphic Group,Lithostratigraphic Unit,rdfs:subClassOf,Lithostratigraphic Unit,True,Stratigraphic Group is a Lithostratigraphic Unit that groups multiple related formations into a named higher-rank unit within a stratigraphic succession.,False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000003,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000003
salt layer,Lithostratigraphic Unit,rdfs:subClassOf,Lithostratigraphic Unit,False,"Salt layer is an evaporite stratigraphic unit that overlies the Brazilian Pre-Salt carbonate succession and provides an efficient regional seal to the underlying reservoirs. In the Santos Basin, it corresponds chiefly to the Aptian Ariri Formation and may range from hundreds of meters to more than 1 km thick, locally reaching about 2000-2500 m where restricted marine circulation and hot, arid conditions favored massive salt deposition.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000003,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000003
igneous rock,Rock,rdfs:subClassOf,Rock,False,"Igneous rock is a rock type that forms by the cooling and solidification of magma or lava. In the Brazilian Pre-Salt, it occurs as Barremian–Aptian extrusive tholeiitic basalts and Santonian–Campanian alkaline intrusive bodies, commonly sills or saucer-shaped bodies, which may cut or follow the stratigraphy, show high seismic velocities, and strongly influence reservoir volume, flow behavior, pressure support, and associated diagenetic alteration.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
volcanic rock,igneous rock,rdfs:subClassOf,Rock,False,"Volcanic rock is an igneous rock that forms by the cooling and solidification of magma or lava at or near the Earth’s surface. In the Brazilian Pre-Salt, it commonly occurs as altered volcanic fragments or volcanic-related sediments reworked with lacustrine carbonates, locally contributing clasts within packstones, calcirudites, and mixed reworked deposits.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
intrusive igneous rock,igneous rock,rdfs:subClassOf,Rock,False,"Intrusive igneous rock is an igneous rock that forms when magma is emplaced within pre-existing strata and crystallizes below the surface. In the Brazilian Pre-Salt, especially in the Mero/Libra area, these bodies are mainly Santonian/Campanian alkaline intrusions that may cut surrounding rocks or occur concordant with sedimentary layering, including near the top of the Barra Velha Formation. They are critical to reservoir characterization because they reduce effective reservoir volume, may act as flow barriers or fractured high-permeability intervals, and can induce hydrothermal alteration that commonly tightens adjacent carbonates.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
basalt,volcanic rock,rdfs:subClassOf,Rock,False,"Basalt is a mafic volcanic igneous rock that commonly occurs in the Brazilian pre-salt as micro- to macro-crystalline, commonly tholeiitic lava-flow successions forming part of the syn-rift basement beneath the carbonate section. It is typically composed mainly of feldspar and pyroxene, including augite, and may also occur as clasts reworked into overlying conglomerates and carbonate grainstones during uplift and erosion.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,
chert,Sedimentary Rock,rdfs:subClassOf,Rock,False,"Chert is a silica-rich rock that is composed mainly of microcrystalline quartz and, in pre-salt lacustrine successions, forms by syndepositional to early diagenetic silica precipitation associated with microbial growth or by replacive silicification. It commonly occurs as microbial boundstones on topographic highs, as thin beds in micritic sag-platform intervals, and as a major reservoir facies in isolated buildups where chalcedony and quartz cements coexist with residual vuggy porosity and fractures.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
breccia,Rock,rdfs:subClassOf,Rock,False,"Breccia is a fragmented rock that is composed of angular intraclasts generated by in situ cracking, faulting, collapse, or resedimentation. In Brazilian pre-salt carbonates, it occurs as clast-supported or matrix-supported varieties, is distinguished from conglomerate by its intraclast-only composition, and may contain interclast vugs that create excess permeability.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000008
mud,Sediment,rdfs:subClassOf,Sediment,False,"Mud is a fine-grained sediment that occurs in Brazilian Pre-Salt carbonates as matrix between grains and as laminated or massive beds, and is composed of variable proportions of clay minerals, calcite, dolomite, and silica. In the Barra Velha Formation, it commonly forms millimetric to centimetric plane-parallel to slightly wavy laminae, with microcrystalline calcite in lighter layers and dolomite, organic matter, Mg-clays, and locally silica in darker layers. Clay-rich and carbonate-mud components may also be partially replaced by microcrystalline dolomite and silica.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000031
lake margin,Sedimentary Environment,rdfs:subClassOf,Sedimentary Environment,False,"Lake margin is the boundary zone of a lacustrine system that marks the transition between the open lake and adjacent shallow-water or exposed areas, and whose position migrates with lake-level changes. In the Brazilian Pre-Salt, distance to the lake margin is a key control on water depth, hydrodynamic energy, facies distribution, and reservoir heterogeneity, and its migration can be inferred from seismic onlap patterns.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000021,
slope,Sedimentary Environment,rdfs:subClassOf,Sedimentary Environment,False,"Slope is an inclined margin surface that connects a structural or depositional high to an adjacent lower area in a lacustrine carbonate system. In the Brazilian Pre-Salt, slopes are commonly imaged on seismic data as clinoforms and inclined reflectors along tilted fault blocks, ranging from low-angle dip slopes to steeper scarp slopes, and they may localize channels, collapse scars, and mass-transport deposits.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000021,
sedimentary facies,,rdfs:subClassOf,Sedimentary Facies,False,"Sedimentary facies is a mappable body of sediment or sedimentary rock that is distinguished by a characteristic combination of lithology, texture, sedimentary structures, and vertical or lateral association, reflecting a specific depositional environment or process. In the Brazilian Pre-Salt, sedimentary facies are identified by integrating core, thin-section, well-log, and seismic data to reconstruct lacustrine settings such as profundal, slope, bench interior, and bench margin, and to distinguish in-situ from reworked carbonate deposits.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029
depositional facies,sedimentary facies,rdfs:subClassOf,Sedimentary Facies,False,"Depositional facies is a sedimentary facies that records the original depositional conditions of a rock through its primary composition, texture, and fabric. In the Brazilian Pre-Salt carbonates, depositional facies include in-situ shrub- and spherulite-rich deposits as well as reworked carbonate facies ranging from mudstones to intraclastic grainstones and rudstones. They are distinguished from diagenetic facies, which may derive from similar original deposits but now display different fabrics because of post-depositional alteration.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
in situ facies,depositional facies,rdfs:subClassOf,Sedimentary Rock,False,"In situ facies is a carbonate facies that forms essentially in place by the precipitation of calcite shrubs and/or spherulites within muddy sediment, rather than by grain transport and reworking. In the Brazilian pre-salt, it is composed of microcrystalline calcite and clay-rich mud mixed with fascicular calcite shrubs and calcite spherulites, and it is commonly classified by the dominant component, such as shrubby or spherulitic facies, in relatively low-energy lacustrine zones.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
shrubstone,in situ facies,rdfs:subClassOf,Sedimentary Rock,False,"Shrubstone is an in-situ lacustrine carbonate facies that consists predominantly of shrub frameworks, typically more than 90% fan-shaped, dendriform, or arborescent aggregates of fibrous-radial calcite crystals. In the Brazilian Pre-Salt, these shrubs commonly coalesce into crustal or domal layers and may include subordinate spherulites or mud, while preserving inter-aggregate and vugular porosity, microfractures, and local silicification.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
muddy spherulitestone,in situ facies,rdfs:subClassOf,Sedimentary Facies,False,"Muddy spherulitestone is an in situ spherulitic carbonate facies that contains about 70–90% spherulites and mud, with rounded, well- to moderately sorted spherulite grains embedded in a muddy matrix or arranged in centimetric spherulite-rich layers interlaminated with mud. It commonly occurs as coarse- to fine-grained, loosely to densely packed frameworks in Mg-silicate or carbonate mud matrices, and densely packed layers may show interdigitated grain contacts and deformation of the spherulites.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
rework facies,depositional facies,rdfs:subClassOf,Sedimentary Facies,False,"Rework facies is a carbonate sedimentary facies that is dominated by grains and intraclasts eroded from previously formed carbonate deposits and redeposited by transport. In the Brazilian Pre-Salt, especially in the Barra Velha Formation, it commonly consists of reworked fragments of spherulites, crystal shrubs, and hybrid forms, ranging from calcarenites to calcirudites and often showing laminations, massive textures, or low-angle cross-stratification. These facies may also contain mud, clay, peloids, ostracod bioclasts, and locally siliciclastic detritus, and they are important because some intervals develop significant interparticle porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
reworked carbonate,rework facies,rdfs:subClassOf,Sedimentary Rock,False,"Reworked carbonate is a lacustrine carbonate lithofacies that is composed mainly of transported and redeposited clasts of calcitic spherulites and/or calcitic shrubs, typically occurring as grainstone- to rudstone-like calciarenites and calcirudites. In the Brazilian Pre-Salt Barra Velha Formation, it commonly contains grains from fine sand to pebble size, shows moderate sorting and massive to cross-stratified textures, and may include peloids, ostracod bioclasts, Mg-rich clays, and minor detrital siliciclastics. Where siliciclastic content exceeds about 10%, it is distinguished as reworked carbonate with siliciclastic content (RC-si), and the facies commonly forms relatively high-quality reservoir intervals due to open-framework and locally enhanced secondary porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
lithofacies,sedimentary facies,rdfs:subClassOf,Sedimentary Facies,False,"Lithofacies is a sedimentary facies unit that is defined by the distinctive lithologic and petrographic characteristics of a rock body. In the Brazilian Pre-Salt Barra Velha carbonates, lithofacies are commonly used to distinguish in-situ or autochthonous facies, such as shrubstone, spherulitic facies, and mudstone, from reworked or allochthonous facies, such as calcarenite and calcirudite, to relate depositional texture and reworking to reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
micrite,lithofacies,rdfs:subClassOf,Sedimentary Facies,False,"Micrite is a fine-grained carbonate facies that consists predominantly of microcrystalline carbonate mud deposited as pelagic background sediment in the deeper, calm, and undisturbed parts of Pre-Salt lacustrine systems. In the Barra Velha Formation of the Santos Basin, it commonly occurs as laminated or massive micrite, with laminated varieties showing regular light-dark layering, and its reservoir space is typically dominated by low-angle fractures rather than abundant primary porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
mg-rich clay,lithofacies,rdfs:subClassOf,Sedimentary Facies,False,"Mg-rich clay is a lacustrine evaporitic sedimentary facies that is composed of magnesium-rich clay minerals, commonly including stevensite, precipitated in shallow saline to alkaline lake environments. In the Brazilian Pre-Salt, especially in the Barra Velha Formation, it commonly occurs around paleo-high flanks in moderate lake bathymetry, and its subsequent dissolution can create porosity and improve reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000029,
