id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
91,talc-stevensite ooid,Geological Object,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,"composition-defined refinement of ooid, better handled as a facet on the parent grain kind","The term usefully marks a Pre-Salt compositional variant, but its differentiating content is already expressible through existing constituted_by relations to stevensite, talc, and kerolite, so a standalone core class is not necessary.",False,0.9,"demoted to ooid + constituted_by stevensite/talc/kerolite-dominant composition: The term usefully marks a Pre-Salt compositional variant, but its differentiating content is already expressible through existing constituted_by relations to stevensite, talc, and kerolite, so a standalone core class is not necessary."
92,continental margin,Geological Object,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,broad basin-scale geological structure needed to represent the continental-to-oceanic transition framework,,True,0.84,"parent → Geological Structure: probe1 false: NLD and part evidence describe a tectonostratigraphic structural domain with fault blocks, better placed under Geological Structure."
93,rifted margin,Geological Object,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific tectonic subtype whose informational value can be carried by broader margin and existing rift vocabulary,"Rifted margin adds little marginal core value beyond continental margin plus existing rift- and fault-related classes, and it brings no distinct CQ coverage beyond generic domain membership.",False,0.86,"Rifted margin adds little marginal core value beyond continental margin plus existing rift- and fault-related classes, and it brings no distinct CQ coverage beyond generic domain membership."
94,intraclast,Geological Object,REPARENT,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,standard reworked carbonate clast kind needed at object level for intraclastic lithology and constituent descriptions,,False,0.94,"parent → Carbonate Grain: The NLD explicitly defines intraclast as a discrete carbonate clast/particle occurring as a constituent of sedimentary rock, which fits Carbonate Grain more specifically than generic Geological Object."
95,shrub,Geological Object,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,distinct Pre-Salt carbonate growth-form object with stable identity and explicit geometric and size evidence,,False,0.92,"A calcitic crystal crust is a genuine geological object kind; the differentia is structural/material, not a role, quality, or process (steps 3–4)."
96,siliciclastic grain,Geological Object,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,peripheral mixed-component term with little branch-structuring value in the carbonate-object core,"Siliciclastic grain is only sparsely attested, has no relation reuse here, and supports only generic CQ1; for a lean Pre-Salt carbonate core it adds no distinctive CQ or endpoint value that justifies retaining it as a core geological-object class.",False,0.88,"Siliciclastic grain is only sparsely attested, has no relation reuse here, and supports only generic CQ1; for a lean Pre-Salt carbonate core it adds no distinctive CQ or endpoint value that justifies retaining it as a core geological-object class."
97,diagenesis,Geological Process,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,umbrella post-depositional process class that anchors the diagenesis subtree and supports multiple retained stage/process distinctions,,False,0.97,genus/differentia clean; diagenesis is a bona fide subtype of Geological Process
98,early diagenesis,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,diagenetic stage,"[""burial diagenesis""]",medium,False,"broad near-surface stage kind on the diagenetic-stage axis, needed as the high-level counterpart to burial diagenesis",,True,0.8,timing and very shallow-burial constraints add real differentia within diagenesis
99,eodiagenesis,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,fine-grained near-surface stage nested under a retained broader stage class,"Useful technical subtype, but the lean core already preserves the early-stage distinction with early diagenesis; this finer stage adds no distinct CQ or generic-relation necessity beyond that broader anchor.",True,0.71,"Useful technical subtype, but the lean core already preserves the early-stage distinction with early diagenesis; this finer stage adds no distinct CQ or generic-relation necessity beyond that broader anchor."
100,burial diagenesis,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,diagenetic stage,"[""early diagenesis""]",medium,False,"broad burial-stage kind on the diagenetic-stage axis, paired with early diagenesis as a major organizing distinction",,True,0.83,progressive-burial setting under rising temperature and pressure gives a non-vacuous subtype of diagenesis
101,mesodiagenesis,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,fine-grained burial-stage subtype beneath a retained broader burial-stage class,Scientifically valid but not marginally necessary for the core once burial diagenesis is retained; it contributes mostly a narrower stage granularity rather than a new core organizing distinction.,True,0.73,Scientifically valid but not marginally necessary for the core once burial diagenesis is retained; it contributes mostly a narrower stage granularity rather than a new core organizing distinction.
102,diagenetic process,Geological Process,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad reusable genus that organizes multiple central post-depositional process kinds under Geological Process,,False,0.87,Parent is the correct genus; the NLD gives a genuine subtype of geological process affecting sediments or rocks after deposition.
103,diagenetic alteration,Geological Process,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,NLD largely restates the parent's post-depositional fluid-rock modification meaning without a clear narrower differentia (step 5).
104,hydrothermal alteration,Geological Process,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,retain as a defined subtype rather than another primitive process axis,,False,0.89,defined as diagenetic process + has_participant some hydrothermal fluid: A salient Pre-Salt alteration mode with good corpus support; its distinguishing content is reusable and is cleanly captured by the presence of hydrothermal fluid in the process.
105,dissolution,Geological Process,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,central process kind used directly in reservoir-diagenesis relations and in explanations of secondary porosity generation,,False,0.96,Genus/differentia is clean: a bona fide diagenetic process removing soluble components and generating secondary porosity.
106,carbonate dissolution,Geological Process,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,substrate-specific refinement of dissolution is better handled as a relation-driven facet than as a core subtype,Adds little marginal CQ value beyond dissolution because carbonate participation is already representable directly; low frequency and narrow substrate focus argue against keeping it as a core class.,False,0.92,demoted to dissolution + has_participant carbonate rock: Adds little marginal CQ value beyond dissolution because carbonate participation is already representable directly; low frequency and narrow substrate focus argue against keeping it as a core class.
107,karstification,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specialized karst-forming variant of dissolution rather than a core process kind,The core already retains generic dissolution and can represent karstic products or structures separately; this subtype mainly narrows dissolution to a particular morphologic expression without adding broad reusable branch structure.,True,0.74,The core already retains generic dissolution and can represent karstic products or structures separately; this subtype mainly narrows dissolution to a particular morphologic expression without adding broad reusable branch structure.
108,matrix dissolution,Geological Process,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,core coverage is preserved by dissolution; the extra distinction is a narrow participant-based refinement,"low document coverage and no CQ value beyond dissolution; useful for annotation, but too specific for the lean core as a standalone class",True,0.84,"demoted to dissolution + has_participant micritic or Mg-clay matrix: low document coverage and no CQ value beyond dissolution; useful for annotation, but too specific for the lean core as a standalone class"
109,replacement,Geological Process,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,stable genus needed to organize the major retained mineral-substitution processes,,False,0.94,"probe1 ok; diagenetic process is a correct genus, and in-situ substitution by coupled dissolution-precipitation is distinctive."
110,dolomitization,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,replacement product mineral,"[""silicification""]",high,False,atomic conventional replacement-process type with strong reservoir-diagenesis salience,,False,0.97,"probe1 ok; replacement is the right genus, and transformation to dolomite defines a genuine subtype."
111,silicification,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,replacement product mineral,"[""dolomitization""]",high,False,atomic conventional replacement-process type repeatedly used to explain mineralogical and petrophysical alteration,,False,0.96,"probe1 ok; replacement is the right genus, and replacement by silica defines a genuine subtype."
112,recrystallization,Geological Process,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad reusable diagenetic-process class and required parent for the existing neomorphism subtype,,False,0.92,Clean genus/differentia: a diagenetic process subtype defined by reorganization of pre-existing carbonate minerals into new crystals.
113,neomorphism,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specialized recrystallization subtype not needed in the lean core,recrystallization already covers the core diagenetic process semantics and CQ contribution; neomorphism adds a narrower in-situ bioclast-focused variant without a retained sibling frame or strong relation-hub role,False,0.9,recrystallization already covers the core diagenetic process semantics and CQ contribution; neomorphism adds a narrower in-situ bioclast-focused variant without a retained sibling frame or strong relation-hub role
114,compaction,Geological Process,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad diagenetic process genus needed to organize the retained compaction mechanism subclasses,,False,0.95,Clean genus/differentia: compaction is a diagenetic process subtype defined by burial-stress reduction of sediment or rock volume and pore space.
115,mechanical compaction,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,compaction mechanism,"[""chemical compaction""]",medium,False,atomic member of the standard compaction mechanism frame,,True,0.84,KEEP by intended sibling contrast to chemical compaction: subtype of compaction defined by physical grain rearrangement/deformation without pressure-solution.
116,chemical compaction,Geological Process,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,compaction mechanism,"[""mechanical compaction""]",medium,False,atomic member of the standard compaction mechanism frame,,True,0.83,Clean subtype of compaction defined by pressure-solution at contacts or stylolites with redistribution and cementation of dissolved material.
117,cementation,Geological Process,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,stable central process class used directly in multiple process-material relations,,False,0.97,"NLD explicitly defines cementation as a diagenetic process with pore-filling mineral precipitation; correct subtype, not redundant."
118,subaerial exposure,Geological Process,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,"distinct near-surface process for emergence/exposure of carbonates, reused independently of weathering and erosion",,False,0.88,"Despite 'condition' wording, the NLD describes an exposure episode caused by lake-level fall, desiccation, or uplift; process parent is acceptable."
119,hydrothermal activity,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],medium,False,broader hydrothermal-circulation aggregate can be omitted from the lean core because the reservoir-modifying hydrothermal effects are already represented by retained diagenetic process classes,"The NLD mainly presents this as the causal backdrop for hydrothermal alteration, mineral precipitation, and dissolution; with hydrothermal alteration and related diagenetic processes already in-branch, the broader aggregate adds limited extra core CQ value.",True,0.7,"The NLD mainly presents this as the causal backdrop for hydrothermal alteration, mineral precipitation, and dissolution; with hydrothermal alteration and related diagenetic processes already in-branch, the broader aggregate adds limited extra core CQ value."
120,fault reactivation,Geological Process,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,False,distinct tectonic process endpoint for faults participating in renewed displacement episodes,,False,0.86,Renewed displacement on a pre-existing fault is a genuine tectonic/geological process; generic parent is acceptable absent a listed tectonic-process class.
121,erosion,Geological Process,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"reusable surface-removal process needed to model truncation, reworking, and erosion surfaces",,False,0.85,"Removal, truncation, and reworking of exposed rock or sediment is a standard geological process; current parent is correct and non-vacuous."
122,halokinesis,Geological Process,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,indispensable salt-tectonic process for pre-salt basin and petroleum-system reasoning,,False,0.93,Specific salt-tectonic deformation process; the NLD adds real differentia beyond Geological Process (steps 4/6).
123,magmatism,Geological Process,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],medium,False,broad canonical igneous-process family that preserves a distinct magmatic axis under Geological Process rather than collapsing it into hydrothermal or tectonic entries,,True,0.82,Magmatism is clearly a geological process type with distinctive magma generation/ascent/emplacement differentia (steps 4/6).
124,silica precipitation,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,True,silica-specific authigenic mechanism sits inside an already well-covered retained diagenetic area,"the core can already express this space through diagenetic process, cementation/silicification, and silica-phase participants; retaining a separate silica-precipitation class adds narrow mechanism detail without materially expanding core CQ capability",False,0.91,"the core can already express this space through diagenetic process, cementation/silicification, and silica-phase participants; retaining a separate silica-precipitation class adds narrow mechanism detail without materially expanding core CQ capability"
125,fluid flow,Geological Process,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,general reservoir transport behavior is too broad and analysis-facing for the lean geological-process core,it has no relation reuse in the evidence here and does not add a distinct geological-process CQ beyond what is already captured by petrophysical properties and specific fluid-mediated alteration processes,False,0.88,it has no relation reuse in the evidence here and does not add a distinct geological-process CQ beyond what is already captured by petrophysical properties and specific fluid-mediated alteration processes
126,weathering,Geological Process,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,distinct near-surface alteration process that should not be collapsed into subaerial exposure or erosion,,False,0.86,"Near-surface alteration during subaerial exposure is a standard geological process subtype, not a vacuous restatement (steps 4/6)."
127,aggradation,Geological Process,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,better modeled as a quality of stratigraphic architecture or stacking style than as a core Geological Process class,the evidence frames it as a stratigraphic stacking pattern; the lean core loses little by recording that pattern as a quality of units instead of retaining a separate process class,False,0.95,demoted to Stratigraphic Unit + has_quality aggradational stacking pattern: the evidence frames it as a stratigraphic stacking pattern; the lean core loses little by recording that pattern as a quality of units instead of retaining a separate process class
128,fault,Geological Structure,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,top-level reusable fault class anchors the fault-related subbranch under Geological Structure,,False,0.98,"NLD gives a genuine structural kind under Geological Structure; no mixin, genus error, or redundancy."
129,normal fault,Geological Structure,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,retains the domain-central extensional fault kind rather than collapsing all fault interpretation to the generic parent,,True,0.83,NLD explicitly defines normal fault as a kind of fault with extensional displacement; parent is correct genus.
130,rift fault,Geological Structure,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best handled as a setting-qualified normal fault instead of a standalone core class,Its added content is chiefly syn-rift genetic context already expected in this domain; the core loses little if that context is modeled as a facet on normal fault.,False,0.87,demoted to normal fault + generated_by rift-related crustal extension: Its added content is chiefly syn-rift genetic context already expected in this domain; the core loses little if that context is modeled as a facet on normal fault.
131,fault zone,Geological Structure,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,zone-scale refinement of fault architecture can sit outside the lean core,"Fault zone is a valid and useful term, but for core purposes its contribution is largely an internal architectural elaboration of fault, with no distinct relation structure or CQ necessity here that outweighs parsimony.",True,0.79,"Fault zone is a valid and useful term, but for core purposes its contribution is largely an internal architectural elaboration of fault, with no distinct relation structure or CQ necessity here that outweighs parsimony."
132,fault system,Geological Structure,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,False,preserves a reusable system-level entity above individual faults for whole-part structural organization,,False,0.85,NLD and has_continuant_part fault support a structural assemblage under Geological Structure; no better existing genus is clear.
133,fracture,Geological Structure,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,major reusable structural kind anchoring the brittle-discontinuity subbranch under Geological Structure,,False,0.96,"probe1 ok; a planar brittle rock discontinuity is a genuine geological structure, not a quality/role mixin."
134,microfracture,Geological Structure,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best treated as a fracture annotated by scale rather than as a standalone core class,"Microfracture adds little beyond fracture except size; its CQ contribution is already covered by fracture plus pore-system concepts, and it has low frequency with no branching value.",False,0.9,"demoted to fracture + has_quality microscale size: Microfracture adds little beyond fracture except size; its CQ contribution is already covered by fracture plus pore-system concepts, and it has low frequency with no branching value."
135,structural high,Geological Structure,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable positive-relief structural genus needed for structural-architecture and trap-context descriptions,,False,0.92,probe1 ok; a positive structural relief element is a valid geological-structure kind under the current branch.
136,horst,Geological Structure,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,extensional fault-block structural type,"[""graben"", ""half-graben""]",medium,False,atomic conventional member of the rift-block structure frame used to describe Pre-Salt basin architecture,,True,0.84,"probe1 ok; a horst is a fault-bounded structural high, so the parent genus is appropriate."
137,cabo frio high,Geological Structure,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,proper-noun named tectonic element; Cabo Frio High denotes one specific basement structural high (step 1).
138,outer high,Geological Structure,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Step 1: 'Outer High' names one Santos Basin structural feature, with named culminations, so it is an individual not a subclass."
139,são paulo plateau,Geological Structure,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Step 1: 'São Paulo Plateau' is a named regional feature that includes Outer High, so it is a single geological structure, not a kind."
140,accommodation zone,Geological Structure,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],medium,False,recognized rift-tectonic genus that organizes transfer-related structures in the branch,,False,0.89,Step 6: genuine structural kind; NLD gives a non-vacuous differentia as a deformation zone between overlapping rift faults.
141,transfer zone,Geological Structure,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,reusable rift-tectonic structure kind with clear identity beyond a generic accommodation zone,,True,0.84,Step 6: genus/differentia clean; it is explicitly a structural accommodation zone with narrower displacement-transfer differentia.
142,relay ramp,Geological Structure,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,extra geometric refinement under an already specific transfer-structure class,"Relay ramp is a legitimate subtype, but for a lean core its value is mostly additional fault-linkage geometry already broadly covered by transfer zone and normal-fault structure classes.",True,0.79,"Relay ramp is a legitimate subtype, but for a lean core its value is mostly additional fault-linkage geometry already broadly covered by transfer zone and normal-fault structure classes."
143,pore system,Geological Structure,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad reusable genus anchoring the retained void-space/porosity subbranch,,False,0.95,"NLD defines a network of pore voids in rock; this is a genuine geological-structure kind, not a quality or process."
144,primary porosity,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,porosity origin,"[""secondary porosity""]",high,False,fundamental origin class within the core porosity framework,,False,0.94,"parent → porosity: NLD explicitly defines primary porosity as 'a porosity type' originating during deposition; it is a subtype of porosity, not of pore system/geological structure."
145,growth framework porosity,Geological Structure,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,specific fabric-qualified variant is better carried as a facet of primary porosity than as a standalone core class,"Growth framework porosity is a valid domain distinction, but its marginal value comes mainly from association with a particular depositional growth fabric rather than from a broadly reused core-level kind.",True,0.82,"demoted to primary porosity + has_quality growth-framework-associated: Growth framework porosity is a valid domain distinction, but its marginal value comes mainly from association with a particular depositional growth fabric rather than from a broadly reused core-level kind."
146,secondary porosity,Geological Structure,REPARENT,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad reusable origin class that anchors the post-depositional pore-system subbranch and keeps the primary/secondary split explicit,,False,0.95,"parent → pore system: NLD explicitly defines secondary porosity as a reservoir pore system formed after deposition and lithification, so it belongs on the pore-system/structural axis rather than under the quality 'porosity'."
147,Secondary Pore Type,Geological Structure,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,NLD mostly restates the parent's post-depositional pore-space meaning; 'specific category' adds no clear differentiator (step 5).
148,moldic porosity,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,secondary pore type,"[""intercrystalline porosity"", ""intracrystalline porosity"", ""vuggy porosity""]",medium,False,atomic conventional member of the secondary-pore classification used in carbonate reservoir description,,True,0.84,"parent → secondary porosity: NLD explicitly says moldic porosity is a 'secondary porosity type', making 'secondary porosity' the most specific existing parent."
149,vuggy porosity,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,secondary pore type,"[""moldic porosity"", ""intercrystalline porosity"", ""intracrystalline porosity""]",medium,False,atomic conventional member of the secondary-pore classification used in carbonate reservoir description,,False,0.88,parent → secondary porosity: NLD defines vuggy porosity as dissolution-related cavity porosity; dissolution-generated pore space is a standard subtype of secondary porosity.
150,vugular porosity,Geological Structure,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of sibling 'vuggy porosity' (id=149); both NLDs denote dissolution cavities larger than grains
151,intercrystalline porosity,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,secondary pore type,"[""moldic porosity"", ""intracrystalline porosity"", ""vuggy porosity""]",medium,False,atomic conventional member of the secondary-pore classification used in carbonate reservoir description,,False,0.9,"parent → pore system: NLD defines intercrystalline porosity as a pore system of voids between adjacent crystals, i.e., a structural pore-space kind rather than an inhering porosity quality."
152,intracrystalline porosity,Geological Structure,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,fine-grained secondary pore subtype beneath an already represented porosity hierarchy,"It is a valid pore-type kind, but for a lean core it adds little marginal value beyond secondary porosity and broader retained pore-type distinctions; it is not a branch anchor or required relation endpoint.",True,0.84,"It is a valid pore-type kind, but for a lean core it adds little marginal value beyond secondary porosity and broader retained pore-type distinctions; it is not a branch anchor or required relation endpoint."
153,stromatolite,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,microbial carbonate structure type,"[""thrombolite""]",high,False,high-attestation named microbial carbonate structure central to Pre-Salt facies/structure description,,False,0.94,"parent → Geological Structure: NLD explicitly defines stromatolite as an organo-sedimentary carbonate structure, so microbialite is the wrong axis for this surviving class."
154,clinoform,Geological Structure,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,True,core seismic-stratigraphic geometry for expressing progradation and platform-margin architecture,,False,0.89,"parent → Geometry: NLD explicitly defines clinoform as a depositional stratal geometry, so Geometry is the more specific supported genus (step 4)."
155,lamination,Geological Structure,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,False,reusable sedimentary-structure kind that also serves as an explicit part target for other retained structures,,False,0.91,"NLD defines lamination as a primary sedimentary structure of thin layers; parent fits and adds non-vacuous differentia (steps 4,6)."
156,stylolite,Geological Structure,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,distinct post-depositional structure capturing chemical compaction/pressure-solution effects,,False,0.87,"NLD defines stylolite as a pressure-solution seam in rock; Geological Structure is acceptable and no better existing genus is forced (steps 4,6)."
157,calcite shrub,Geological Structure,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best handled as a mineralogically qualified variant of a broader shrub structure rather than as a separate core class,"useful petrographic detail, but for a lean core the marginal distinction is chiefly compositional and is not needed as an independent geological-structure kind",True,0.78,"demoted to shrub + constituted_by calcite: useful petrographic detail, but for a lean core the marginal distinction is chiefly compositional and is not needed as an independent geological-structure kind"
158,rhombohedral dolomite,Geological Structure,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,petrographic habit refinement of dolomite is better modeled as a facet than as a core geological-structure class,the class adds a low-centrality crystal-morphology specialization; the core loses little if dolomite remains the class and rhombohedrality is captured as a property,False,0.91,demoted to dolomite + has_quality rhombohedral crystal habit: the class adds a low-centrality crystal-morphology specialization; the core loses little if dolomite remains the class and rhombohedrality is captured as a property
159,karst,Geological Structure,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,distinct dissolution-generated reservoir structure not reducible to generic fracture or porosity classes,,False,0.94,"NLD gives a dissolution-generated void/fracture system with material parts; this is a genuine geological structure (steps 3,6)."
160,reservoir architecture,Geological Structure,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,True,system-level class needed to host explicit part-relations to reservoir facies and faults and to support arrangement/connectivity questions,,True,0.74,"NLD and part context treat it as the real 3D organization of facies, surfaces and faults, not clearly a mere method or model (steps 2,6)."
161,onlap,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,seismic-stratigraphic termination pattern,"[""downlap""]",high,False,"frequent atomic member of a small, standard seismic-stratigraphic geometry frame used directly in spatial-arrangement interpretation",,False,0.95,"parent → Geometry: NLD defines a seismic-stratigraphic termination pattern/geometry, not a standalone geological structure (step 3)."
162,downlap,Geological Structure,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,seismic-stratigraphic termination pattern,"[""onlap""]",medium,False,distinct reflector-termination geometry; keeping it as a primitive under Geometry preserves a stable interpretive kind used alongside onlap,,False,0.88,"parent → Geometry: NLD defines a reflector-termination geometry of strata against a surface, not a geological structure (step 3)."
163,anticline,Geological Structure,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,"valid fold kind, but not a branch anchor, shared genus, relation endpoint, or distinctive core frame member in this lean branch","Anticline is geologically legitimate, but here it has only low-frequency CQ3 inventory support and no unique CQ, child structure, or relation role beyond broader retained structural classes.",True,0.8,"Anticline is geologically legitimate, but here it has only low-frequency CQ3 inventory support and no unique CQ, child structure, or relation role beyond broader retained structural classes."
164,Chronostratigraphic Interval,Geological Time Interval,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,True,"after reparenting under Stratigraphic Unit, it does not anchor retained Geological Time Interval classes or add distinctive CQ coverage in this lean branch","there is no corpus, relation, or CQ evidence for marginal value here, and its useful semantics are better carried on the stratigraphic-unit side than in the core time-interval backbone",True,0.82,"there is no corpus, relation, or CQ evidence for marginal value here, and its useful semantics are better carried on the stratigraphic-unit side than in the core time-interval backbone"
165,Tectonostratigraphic Stage,Geological Time Interval,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable genus needed to organize retained basin-evolution stages and support ordering relations among them,,False,0.96,NLD gives a genuine basin-evolution time-interval subtype distinguished by tectonic regime; parent fits (steps 4–6).
166,early cretaceous,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named unique geologic interval; NLD/relation say it is the earlier part of the Cretaceous, so model it as an instance (step 1)."
167,rift phase,Geological Time Interval,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,pre-salt tectonostratigraphic basin stage,"[""sag phase"", ""post-rift phase""]",high,False,atomic conventional member of the basin-evolution stage frame under Tectonostratigraphic Stage,,False,0.95,Recognized tectonostratigraphic stage type with extensional basin-opening differentia; parent fits (steps 4–6).
168,sag phase,Geological Time Interval,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,pre-salt tectonostratigraphic basin stage,"[""rift phase"", ""post-rift phase""]",high,False,atomic conventional member of the basin-evolution stage frame under Tectonostratigraphic Stage,,False,0.94,Recognized tectonostratigraphic stage type defined by post-rift thermal subsidence; parent fits (steps 4–6).
169,cretaceous,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named geologic period; denotes one unique interval in Earth history, so model as an instance of Geological Time Interval (step 1)."
170,post-rift phase,Geological Time Interval,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,pre-salt tectonostratigraphic basin stage,"[""rift phase"", ""sag phase""]",medium,False,terminal conventional member of the same basin-evolution stage frame used to place late Pre-Salt carbonate and evaporite succession,,True,0.84,NLD explicitly says a tectonostratigraphic stage succeeding rifting; current parent is the correct genus (probe 1).
171,late aptian,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named subdivision of the Aptian; denotes one unique interval, so it should be an instance rather than a subclass (step 1)."
172,late jurassic,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named subdivision of the Jurassic; denotes one unique interval and should be an instance, not a subclass (step 1)."
173,alagoas stage,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named regional stage; denotes one unique Lower Cretaceous interval, so convert it to an instance of Geological Time Interval (step 1)."
174,eoaptian,Geological Time Interval,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Named Early Cretaceous interval (~126–123 Ma); geological time periods denote one interval only (step 1).
175,sag stage,Geological Time Interval,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of sibling 'sag phase' (id=168); both denote the broad thermal-subsidence interval after main rifting
