Term,NLD,Context_Used
brazilian pre-salt,"Brazilian pre-salt is an offshore stratigraphic and petroleum domain that comprises Aptian lacustrine carbonate reservoirs deposited during the South Atlantic rift-sag breakup and buried beneath a thick regional evaporite seal. It occurs mainly in ultra-deep waters of the Santos and Campos basins of southeastern Brazil, where the overlying salt, commonly assigned to the Ariri Formation, seals giant oil and gas accumulations and contributes to strong reservoir heterogeneity.",True
post-rift phase,"Post-rift phase is a tectonostratigraphic stage that succeeds active rifting and is dominated by basinwide thermal subsidence, producing broadly tabular strata that drape earlier rift relief. In the Brazilian pre-salt, it corresponds mainly to the Aptian sag interval, marked by deposition of Barra Velha microbialitic and other lacustrine carbonates in a shallow alkaline endorheic system, followed by the evaporites of the Ariri Formation during the transition from continental to more marine conditions.",True
vuggy porosity,"Vuggy porosity is a carbonate pore type that consists of dissolution-related cavities larger than the particles composing the rock. In Brazilian Pre-Salt reservoirs, it commonly occurs across multiple observation scales and may dominate facies such as calcirudites and shrubstones, but because many vugs are partially isolated, it can contribute significant porosity while providing little permeability, especially in silicified intervals.",True
late aptian,"Late Aptian is a chronostratigraphic interval that forms the final part of the Aptian Stage and, in the Brazilian Pre-Salt, marks the transition from late syn-rift lacustrine deposition to sag/post-rift conditions associated with the base-salt surface. It is commonly linked to depth-dependent extension that created accommodation for the upper Aptian pre-salt succession and the overlying thick evaporite sequence, although the absolute age assigned to this interval remains debated in the South Atlantic literature.",True
moldic porosity,"Moldic porosity is a secondary porosity type that comprises voids formed by dissolution of primary or diagenetic constituents, preserving the external shape of the removed grains or bioclasts. In Brazilian Pre-Salt lacustrine carbonates, it is common in bioclastic grainstones and rudstones, where it may provide good total porosity but typically low permeability unless the molds are enlarged and connected into vuggy pores or occur with interparticle porosity.",True
limestone,"Limestone is a sedimentary carbonate rock that consists predominantly of calcium carbonate, commonly as calcite, formed by chemical, microbial, or bioclastic accumulation and lithification. In the Brazilian Pre-Salt, especially in the Barra Velha Formation, limestones commonly include shrub- and spherulite-rich facies, as well as bioclastic and locally silicified varieties, whose textures reflect depositional setting and diagenetic overprint.",True
conglomerate,"Conglomerate is a coarse-grained clastic sedimentary rock that contains rounded to subrounded clasts larger than 2 mm within a finer matrix or cement. In the Brazilian Pre-Salt, conglomerates commonly record proximal synrift to sag deposition related to footwall uplift and erosion, forming massive or upward-fining beds in fluvial to alluvial-fan settings and including basement, basalt, limestone, or silica clasts.",True
reworking,"Reworking is a sedimentary process that erodes, transports, and redeposits previously formed carbonate grains or deposits, commonly producing abrasion, fragmentation, disarticulation, and multicyclic recycling of particles. In the Brazilian pre-salt, it is recognized by features such as bioclasts enclosed in intraclasts or acting as ooid nuclei, mixing of components from different depositional settings, and redeposition driven by waves, currents, internal waves, or gravity.",True
fault reactivation,"Fault reactivation is a tectonic process that renews displacement on a pre-existing fault during a later deformation phase, reusing inherited fault architecture and sometimes producing inversion or related secondary fault sets. In the Brazilian pre-salt, it is recognized by the continuity and colinearity of early and late syn-rift faults and can generate extensional folding or increased vertical displacement, thereby controlling accommodation, depocenter distribution, Barra Velha facies and reservoir quality, salt movement, and hydrocarbon migration.",True
eodiagenesis,"Eodiagenesis is an early diagenetic stage that affects sediments at or near the depositional surface before significant burial, producing near-surface dissolution, replacement, and cementation. In Brazilian Pre-Salt carbonates, it commonly involves meteoric or vadose alteration, dissolution of magnesian clays or bioclasts, replacement by calcite, dolomite, or silica, and early cementation and compaction, which can either generate secondary porosity or occlude primary pores.",True
dolostone,"Dolostone is a carbonate sedimentary rock that is composed predominantly of dolomite, commonly occurring in the Brazilian Pre-Salt as dolomite rhombs and blocky dolomite aggregates within matrices of Mg-clays, organic matter, and detrital clasts. In Pre-Salt reservoirs, it commonly forms a subordinate diagenetic facies associated with pervasive dolomitization and silicification, may be interlaminated with or host chert, and can develop intercrystalline and vugular porosity that supports high reservoir quality.",True
microporosity,"Microporosity is a porosity class that consists of micrometer-scale pores and pore throats, commonly generated in Brazilian pre-salt lacustrine carbonates by diagenetic cementation, replacement, or dissolution within shrubs, spherulites, and calcite crusts. In the pre-salt reservoirs of the Santos and Campos basins, microporosity commonly dominates the pore-size distribution, tends to retain high irreducible water saturation, and has little positive influence on permeability even where total porosity is appreciable.",True
late jurassic,"Late Jurassic is a geologic time interval that represents the final part of the Jurassic Period, immediately preceding the Early Cretaceous. In the Brazilian pre-salt context, it corresponds to the onset of South Atlantic extension and is locally associated with the earliest rift-related deposition and magmatism, including Kimmeridgian units and tectonic activity near the Jurassic–Cretaceous transition.",True
petroleum system,"Petroleum system is a geologic system that comprises the genetically related source rocks, migration pathways, reservoirs, seals, traps, and timing conditions necessary for hydrocarbons to be generated, migrate, accumulate, and be preserved. In the Brazilian pre-salt, this system is strongly controlled by basement configuration, with source rocks concentrated in structural lows, carbonate reservoirs preferentially developed over positive topography, and major faults acting as conduits for hydrocarbons and mantle-derived CO2.",True
hydrothermal alteration,"Hydrothermal alteration is a diagenetic process that modifies pre-existing carbonate rocks through the circulation of hot fluids, producing physicochemical changes and characteristic hydrothermal mineral precipitates. In Brazilian Pre-Salt reservoirs, it is commonly linked to fault-controlled fluid flow and is recognized by minerals such as macrocrystalline calcite, saddle dolomite, barite, celestine, and fluorite, locally also promoting dissolution and karstic porosity.",True
alkaline lake,"Alkaline lake is a lake that contains waters of unusually high pH and alkalinity, commonly enriched in dissolved carbonate-bicarbonate species and often salinity, thereby favoring chemical precipitation of carbonate and silicate minerals. In the Brazilian Pre-Salt context, these lakes were locally hyper-alkaline, with alkalinity enhanced by evaporation, hydrothermal or CO2-rich inputs, and episodic freshwater inflow, conditions that promoted chemogenic carbonate deposition and commonly inhibited metazoan life.",True
tupi field,"Tupi Field is a giant pre-salt petroleum field in the Santos Basin that lies offshore Brazil on the Santos Basin External High and is chiefly reservoirized in the Aptian lacustrine carbonates of the Barra Velha Formation. Discovered in 2006 in ultradeep water, it is one of the world-class Brazilian pre-salt accumulations, with its main reservoirs deposited during the post-rift sag phase and filling inherited rift relief.",True
reservoir heterogeneity,"Reservoir heterogeneity is a reservoir characteristic that consists of spatial variations in facies and petrophysical properties, especially porosity and permeability, which create vertical and lateral contrasts in fluid flow behavior. In Brazilian pre-salt carbonates, it is mainly generated by depositional cyclicity and facies stacking, structural features such as faults, and diagenetic modification including dissolution, silicification, and dolomitization. These contrasts can produce flow barriers or baffles, reduce hydrocarbon displacement efficiency, and locally compartmentalize pressure and fluids.",True
basement,"Basement is a pre-sedimentary crustal substrate that forms the structural foundation beneath the overlying sedimentary succession. In the Brazilian pre-salt, the top of the basement is the seismic horizon that bounds the acoustic basement and is commonly organized into horsts, grabens, and half-grabens, where inherited basement composition and fabric strongly control rift faulting and the accommodation of overlying carbonates.",True
coqueiros formation,"Coqueiros Formation is a Lower Cretaceous rift-phase stratigraphic formation in the northern Campos Basin that is composed mainly of lacustrine bioclastic carbonates, especially bivalve-rich rudstones and grainstones known as coquinas, intercalated with organic shales. It forms an important Brazilian pre-salt reservoir unit, locally interfingers with proximal clastic sediments of the Itabapoana Formation, and is regarded as the Campos Basin equivalent of the Itapema Formation in the Santos Basin.",True
bioclastic grainstone,"Bioclastic grainstone is a grain-supported bioclastic limestone that is composed mainly of carbonate skeletal grains smaller than 2 mm, typically bivalve, ostracod, and gastropod fragments, and lacks a mud matrix. In the Brazilian Pre-Salt, it commonly occurs as a massive to slightly laminated coquina facies with chaotic to subparallel bioclast orientation and is commonly altered by recrystallization, dissolution, dolomitization, or silicification.",True
búzios field,"Búzios Field is a supergiant pre-salt oil and gas field that is located on the Outer High of the northern Santos Basin, about 180 km offshore Rio de Janeiro in ultra-deep water, and is hosted mainly in Barremian–Aptian lacustrine carbonate reservoirs. Discovered in 2010, it is one of the world’s largest ultra-deepwater hydrocarbon accumulations and a key producing asset of Brazil’s pre-salt province, covering about 852 km² with estimated reserves near 29–30 billion barrels of oil.",True
late cretaceous,"Late Cretaceous is a geologic time interval that comprises the younger subdivision of the Cretaceous Period, extending from about 100.5 to 66 million years ago. In the Brazilian pre-salt context, it commonly refers to the post-salt sedimentary overburden above the Aptian evaporites and lacustrine carbonates, represented largely by thick siliciclastic-dominated successions.",True
carbonate,"Carbonate is a sedimentary rock that is composed predominantly of carbonate minerals and forms by in-situ precipitation, biological construction, or accumulation of carbonate particles. In the Brazilian Pre-Salt, carbonates constitute the main reservoir facies and include lithologies such as grainstones, stromatolites, laminites, and spherulitites, commonly with calcitic and dolomitic compositions whose depositional and accumulation rates strongly control platform thickness and facies distribution.",True
pre-salt carbonate reservoir,"A pre-salt carbonate reservoir is a hydrocarbon reservoir that consists of lacustrine carbonate rocks deposited during the syn-rift to sag phases beneath the Aptian salt of the Brazilian pre-salt basins. It commonly includes microbialites, coquinas, bioclastic and intraclastic grainstones or rudstones, shrubstones, and micritic facies, and its porosity and permeability are highly heterogeneous because of dissolution, intercrystalline and intergranular pores, fractures, and diagenetic overprints such as dolomitization and silicification.",True
lithofacies,"Lithofacies is a sedimentary facies unit that is defined by the distinctive lithologic and petrographic characteristics of a rock body. In the Brazilian Pre-Salt Barra Velha carbonates, lithofacies are commonly used to distinguish in-situ or autochthonous facies, such as shrubstone, spherulitic facies, and mudstone, from reworked or allochthonous facies, such as calcarenite and calcirudite, to relate depositional texture and reworking to reservoir quality.",True
karstification,"Karstification is a carbonate diagenetic dissolution process that generates secondary porosity by chemically removing rock and forming features such as vugs, dissolution channels, caves, and karst breccias. In the Brazilian Pre-Salt, it commonly develops as hypogenic or penecontemporaneous karst, often focused along faults, fractures, or cycle tops, and can markedly enhance reservoir quality by creating high-permeability pathways. If dissolution becomes too intense, cavity collapse and sediment infill can disorder the pore system and reduce reservoir quality.",True
alluvial fan,"Alluvial fan is a subaerial sedimentary depositional body that forms where sediment-laden flows emerge from a confined upland channel or fault-scarp catchment and spread onto a basin margin as a fan-shaped wedge. In the Brazilian Pre-Salt rift setting, alluvial fans commonly occupied arid to semiarid lake margins along normal faults, and where they prograded into standing water they could pass basinward into fan deltas and supply shoreline deposits later reworked by waves.",True
calcite spherulite,"Calcite spherulite is a spherical to sub-spherical calcite aggregate that is composed of radiating fibrous crystals showing fibro-radial texture and radial extinction, typically at millimetric scale in Brazilian pre-salt lacustrine carbonates. It commonly occurs as a major facies or diagenetic constituent replacing stevensitic or clay-rich matrix, may contain rare nuclei of micrite, clay minerals, or ostracod fragments, and is commonly recrystallized, dolomitized, or partially replaced by chalcedony and microquartz.",True
spherulitestone,"Spherulitestone is an autochthonous lacustrine carbonate rock that is composed predominantly of spherical to subspherical spherulites made of fibro-radial calcite aggregates, commonly around a micritic nucleus. In the Brazilian pre-salt, it typically contains more than 90% spherulites, shows grainstone-like packing despite being in situ, and may occur in laminated, massive, shrubby, or muddy variants as spherulite size and mud content change.",True
valanginian,"Valanginian is an Early Cretaceous geologic age that marks the earliest syn-rift tectono-stratigraphic interval recognized in many Brazilian pre-salt basin reconstructions. In this context, it corresponds to the beginning of Valanginian–Barremian depocenter development, characterized by the early profusion of half-grabens, high accommodation creation, and lacustrine sedimentation associated with the initial stages of the Itapema Formation.",True
depocenter,"Depocenter is a structurally controlled basin low that contains the greatest accommodation space and sediment accumulation within a given stratigraphic interval. In the Brazilian pre-salt syn-rift, depocenters commonly form in fault-bounded hanging-wall lows between structural highs, and their migration reflects shifts in tectonic control, sediment-thickness distribution, and the preservation of reservoir-scale stratigraphic architecture.",True
chert,"Chert is a silica-rich rock that is composed mainly of microcrystalline quartz and, in pre-salt lacustrine successions, forms by syndepositional to early diagenetic silica precipitation associated with microbial growth or by replacive silicification. It commonly occurs as microbial boundstones on topographic highs, as thin beds in micritic sag-platform intervals, and as a major reservoir facies in isolated buildups where chalcedony and quartz cements coexist with residual vuggy porosity and fractures.",True
seal,"Seal is a low-permeability geological unit that prevents or strongly retards the migration of hydrocarbons and other subsurface fluids, allowing their accumulation in a reservoir. In the Brazilian Pre-Salt, the regional seal is commonly provided by the Ariri Formation evaporites, mainly halite and anhydrite, although low-permeability micritic intervals and the integrity of faults through the salt can also control local sealing and leakage behavior.",True
volcanic rock,"Volcanic rock is an igneous rock that forms by the cooling and solidification of magma or lava at or near the Earth’s surface. In the Brazilian Pre-Salt, it commonly occurs as altered volcanic fragments or volcanic-related sediments reworked with lacustrine carbonates, locally contributing clasts within packstones, calcirudites, and mixed reworked deposits.",True
gondwana,"Gondwana is a paleo-supercontinent that united South America, Africa, Antarctica, Australia, India, and associated crustal blocks before its Mesozoic breakup. In the context of the Brazilian Pre-Salt, the fragmentation of Gondwana drove South Atlantic rifting and generated the restricted lacustrine basins in which Aptian carbonate reservoirs were deposited.",False
salinity,"Salinity is a geochemical parameter that quantifies the concentration of dissolved salts in formation water or trapped aqueous fluid inclusions. In Brazilian Pre-Salt carbonate reservoirs, it is commonly expressed as wt% NaCl equivalent, g/L, or ppm and is used to characterize highly saline brines, detect fluid mixing, and interpret diagenetic and reservoir evolution.",True
transfer zone,"Transfer zone is a structural accommodation zone that laterally transfers displacement between adjacent rift fault segments or depocentres. In the Brazilian Pre-Salt, it commonly appears as an oblique, relatively elevated structural high between surrounding lows, where lower accommodation contrasts with adjacent depocentres and strongly influences palaeorelief, sediment thickness, and the distribution and quality of syn-rift lacustrine carbonate reservoirs.",True
erosion,"Erosion is a geological surface process that removes, truncates, and reworks exposed rock or sediment by physical and chemical action. In the Brazilian Pre-Salt, it commonly affected basement highs and exposed lacustrine carbonate deposits during synrift to sag exposure or low lake-level episodes, producing erosion surfaces with truncated reflectors and generating reworked sediment from the breakdown of shrub and spherulitic facies.",True
ribeira belt,"Ribeira Belt is a Neoproterozoic to Cambrian orogenic belt that consists of amalgamated granitic and gneissic terranes formed in a lithospheric convergence zone during the Brasiliano–Pan-African assembly of Gondwana. In the Brazilian pre-salt context, its inherited mainly NE-trending structural fabric continues beneath the Santos Basin and strongly controls rift architecture, strike-slip and shear-zone reactivation, structural highs, and the distribution and compartmentalization of carbonate reservoirs.",True
saddle dolomite,"Saddle dolomite is a diagenetic dolomite cement that displays coarse anhedral to subhedral prismatic crystals with curved crystal faces and sweeping extinction, commonly precipitating as fracture infill or overgrowths in Pre-Salt carbonates. In the Brazilian Pre-Salt, it occurs across several facies but is more strongly controlled by structural setting than by depositional facies, and its association with fractures may indicate hydrothermal-fluid influence without being diagnostic of hydrothermal alteration by itself.",True
lagoa feia group,"Lagoa Feia Group is a Lower Cretaceous pre-salt stratigraphic group that unconformably overlies the Cabiúnas Formation in the Campos Basin and encompasses the rift to post-rift nonmarine to transitional succession up to the evaporites of the Retiro Formation. Ranging from the Barremian to the Late Aptian, it includes siliciclastic, coquina, lacustrine carbonate, and evaporitic deposits that form key seismic-stratigraphic markers and host important pre-salt carbonate reservoirs.",True
pore system,"Pore system is a network of void spaces in a rock that includes the types, sizes, distribution, geometry, and connectivity of pores and pore conduits that control fluid storage and flow. In Brazilian pre-salt carbonates, it is typically multiscale and highly heterogeneous, reflecting both depositional fabric and diagenetic modification such as compaction, cementation, dissolution, and fracturing. It may comprise pore types such as growth-framework, intercrystalline, interparticle, vuggy, and fracture-related pores, locally forming laterally and vertically connected enlarged pore bodies.",True
espírito santo basin,"Espírito Santo Basin is a marginal sedimentary basin that occupies the southeastern Brazilian Atlantic margin, immediately north of the Campos Basin and separated from it by the Vitória High. It developed during the Early Cretaceous rifting associated with the breakup of Gondwana and is commonly grouped with the Campos and Santos basins within the Greater Campos Basin, an important regional framework for Brazilian pre-salt stratigraphy and petroleum systems.",True
fault block,"Fault block is a structural block of crust or older strata that is bounded and displaced by faults, commonly becoming tilted in extensional settings. In the Brazilian Pre-Salt, tilted fault blocks of volcanic or sedimentary basement form crests, dip slopes, and escarpment slopes onto which the Barra Velha Formation onlaps, thereby controlling stratigraphic thickness and the distribution of grainstone and associated lacustrine facies.",True
gypsum,"Gypsum is an evaporite mineral that consists of hydrated calcium sulfate and precipitates from sulfate-rich saline waters. In the Brazilian Pre-Salt, early gypsum is notably absent from the Barra Velha lacustrine carbonates, supporting a non-marine interpretation, but it may locally fill dissolution fractures and is widespread in the overlying Ariri Formation.",True
clinoform,"Clinoform is a depositional stratal geometry that forms the inclined, basinward-dipping part of a prograding margin between shallow topsets and deeper bottomsets. In the Brazilian Pre-Salt, clinoforms are commonly identified on seismic data as sigmoid, concave-up, or exponential reflectors that prograde from carbonate-platform or tilted-block margins into adjacent lacustrine depressions, recording phases of progradation, aggradation, and local onlap.",True
breccia,"Breccia is a fragmented rock that is composed of angular intraclasts generated by in situ cracking, faulting, collapse, or resedimentation. In Brazilian pre-salt carbonates, it occurs as clast-supported or matrix-supported varieties, is distinguished from conglomerate by its intraclast-only composition, and may contain interclast vugs that create excess permeability.",True
clay mineral,"Clay mineral is a fine-grained phyllosilicate mineral that constitutes the mud fraction of Brazilian Pre-Salt lacustrine carbonates and is commonly dominated by Mg-rich species such as kerolite, mixed-layer kerolite/Mg-smectite, Mg-smectite, and sepiolite. In the Barra Velha and related Aptian reservoirs, these minerals occur dispersed between siliciclastic grains or in very thin laminae, with minor illite, illite-smectite, kaolinite, and chlorite also present.",True
microbial carbonate,"Microbial carbonate is a carbonate rock that forms through the direct or indirect mediation of microbial communities, recording calcified bacterial-algal mats, biofilms, or microbially induced carbonate precipitation. In the Brazilian Pre-Salt, it commonly occurs as microbialite facies with clotted or peloidal textures, relic lamination, and fibrous calcite, and it can form important reservoir intervals.",True
pyrite,"Pyrite is an iron sulfide mineral that occurs as a common diagenetic product in Brazilian Pre-Salt rocks, forming cubic to micro- or macrocrystalline aggregates that fill fractures and veins or replace grains, matrix, and carbonate phases. In these carbonate reservoirs it is commonly associated with silica and dolomite, may develop in organic- and clay-rich rocks through thermochemical sulfate reduction, and fracture-filling pyrite can indicate remobilization during diagenesis.",True
sag basin,"Sag basin is a post-rift sedimentary basin that develops as a broad, laterally continuous regional depression mainly through thermal subsidence after active rifting has waned. In the Brazilian Pre-Salt, it corresponds to the Aptian transitional section, when reduced tectonic activity allowed deposition of the Barra Velha non-marine to shallow-water carbonates and the overlying Ariri evaporite seal before full drift-stage conditions were established.",True
crystal shrub,"Crystal shrub is a calcitic carbonate shrub fabric that consists of in situ, fan- to dendritic aggregates of dense-radiating fibrous or bladed crystals formed mainly by abiotic mineral precipitation. In the Barra Velha Formation, crystal shrubs form millimeter- to centimeter-scale lacustrine crusts or layers that may coalesce horizontally and vertically, with interstitial spaces variably cemented and locally preserving significant primary porosity.",True
calcilutite,"Calcilutite is a fine-grained clastic or hybrid carbonate rock that is composed predominantly of carbonate mud- to silt-sized material, with ortho- or allochemical grains and less than 50% siliciclastic content. In the Brazilian Pre-Salt, it commonly occurs as laminated, peloidal to microbial, strongly recrystallized lithofacies and is typically mineralized by calcite or magnesian calcite with variable dolomite and quartz introduced by dolomitization and silicification.",True
aragonite,"Aragonite is a metastable calcium carbonate mineral that commonly constitutes the original mineralogy of shells and some lacustrine carbonate components in pre-salt reservoirs and is readily transformed by dissolution or neomorphism to calcite. In Brazilian pre-salt carbonates, the diagenetic fate of aragonitic bivalves, gastropods, and possible spherulitic constituents strongly influences moldic porosity, preservation of interparticle porosity, and reservoir permeability.",True
alagoas stage,"Alagoas stage is a local Lower Cretaceous chronostratigraphic stage that encompasses the deposition of the Barra Velha and Ariri formations in the Brazilian pre-salt succession, broadly correlating with ostracod biozone 011 and the Aptian. In the Santos Basin, it provides the principal temporal framework for the Barra Velha lacustrine carbonate reservoirs and includes internal subdivision marked by the Intra-Alagoas Unconformity.",True
bivalve,"Bivalve is a mollusk that possesses a shell composed of two hinged valves and, in the Brazilian Pre-Salt, commonly forms the dominant bioclastic fraction of coquina grainstones and rudstones. Its shells occur as articulated or, more commonly, disarticulated bioclasts with variable fragmentation, abrasion, and dissolution, and their abundance and taxonomic composition help interpret lacustrine depositional environments and hydrodynamic zones.",True
microbial mat,"Microbial mat is a benthic, vertically layered, self-sustaining microbial community that develops at the liquid-solid interface of an environment. In the Brazilian Pre-Salt, it is commonly preserved as laminated or spongy carbonate fabric composed of microcrystalline filamentous calcitic laminae, locally with irregular porous cavities, and is associated with facies such as foam rock and microbial interlaminations.",True
lamination,"Lamination is a primary sedimentary structure that consists of very thin, millimeter- to centimeter-scale layers in carbonate rock, typically arranged parallel to subparallel to bedding and varying from planar to wavy. In the Brazilian Pre-Salt, laminations are commonly horizontal to sub-horizontal, may be regular, irregular, continuous, discontinuous, or crenulated, and reflect fine-scale depositional variation in alkaline to saline lacustrine settings.",True
subsidence,"Subsidence is a tectono-stratigraphic process that causes downward movement of the basin floor, thereby creating accommodation space for sediment accumulation. In the Brazilian Pre-Salt, it is commonly quantified as a subsidence rate through time from seismic-horizon thickness or back-stripping data, and its spatial and temporal variations control water depth, sediment thickness, and facies distribution between paleo-highs and basin areas.",True
seismic facies,"Seismic facies is a seismostratigraphic unit that comprises a group of reflectors with characteristic amplitude, continuity, geometry, and frequency patterns that distinguish it from adjacent seismic units and can be related to architectural elements, depositional systems, or sedimentary environments. In Brazilian Pre-Salt carbonates, seismic facies are defined by integrating seismic attributes with well information and are mapped as patterns such as tabular, mound, bank, fill, or parallel to infer reservoir boundaries, compartmentalization, and relative reservoir quality.",True
microcrystalline calcite,"Microcrystalline calcite is a calcite aggregate that is composed of crystals so fine that individual grains are barely resolvable in thin section. In Brazilian Pre-Salt carbonates, it commonly forms clots, peloids, microbial laminae, and spherulite nuclei, and it may also occur as a replacement product of Mg-clay-rich or fine siliciclastic matrices.",True
lower barra velha formation,"Lower Barra Velha Formation is the lower lithostratigraphic subdivision of the Barra Velha Formation that lies beneath the Intra-Alagoas Unconformity and is distinguished by Mg-rich clays, micrites, reworked facies, and locally basaltic intervals. In the Santos Basin pre-salt, it commonly records syn-tectonic deposition near faults and is generally more heterogeneous and less reservoir-prone than the overlying grainstone- and shrub-rich upper Barra Velha interval.",True
diagenetic process,"Diagenetic process is a geological alteration process that modifies a sediment or rock during and after deposition through fluid-mediated dissolution, cementation, recrystallization, replacement, or related mineral transformations. In Brazilian Pre-Salt carbonates, it commonly includes dissolution of Mg-clays and carbonate fabrics, calcite, dolomite, or silica cementation, dolomitization, and silicification, which strongly control secondary porosity, permeability, and overall reservoir quality.",True
upper barra velha formation,"Upper Barra Velha Formation is the upper stratigraphic unit of the Aptian Barra Velha Formation that overlies older pre-salt sedimentary packages and is characterized mainly by shrub-rich carbonates and grainstones in the Santos Basin. It commonly includes laminated limestones, dolostones, intraclastic grainstones or rudstones, and spherulitic to Mg-rich clayey facies deposited in a shallow alkaline lacustrine setting, and it forms one of the main reservoir intervals of the Brazilian Pre-Salt.",True
fault zone,"Fault zone is a structural deformation domain that encompasses the fault core and damage zone where fault displacement produces localized strain, intense shearing, fracturing, brecciation, and fault-rock development. In Brazilian Pre-Salt carbonates, fault zones commonly connect matrix and fracture permeability and act as major conduits for vertical and lateral hydrothermal fluid circulation. They therefore strongly control dissolution porosity, karstification, and reservoir porosity-permeability distribution.",True
alkalinity,"Alkalinity is a geochemical property of water or sediment pore fluid that expresses its capacity to neutralize acid through dissolved bases, mainly bicarbonate, carbonate, and hydroxide ions. In the Brazilian pre-salt lacustrine systems, elevated to hyper-alkaline conditions promoted shallow carbonate mineralization and the formation of Mg-clays, spherulites, and shrubstones, while commonly inhibiting metazoan life.",True
barite,"Barite is a sulfate mineral that consists of barium sulfate (BaSO4) and commonly precipitates as a late diagenetic to hydrothermal phase in Aptian pre-salt carbonates. In the Santos Basin, it typically occurs in minor amounts as prismatic crystals filling fractures in calcilutite or associated with tabular silicification, making it a useful indicator of post-depositional fluid circulation and hydrothermal alteration.",True
hanging wall,"Hanging wall is the block of rock above a fault surface that, in extensional pre-salt settings, commonly subsides relative to the footwall along normal faults. In the Brazilian Pre-Salt, the hanging wall commonly hosts growth wedges, syn-rift thickening, and hanging-wall folds generated by fault displacement variations, segment linkage, or later tectonic inversion.",True
burial diagenesis,"Burial diagenesis is a post-depositional diagenetic process that alters carbonate sediments and rocks during progressive burial under increasing temperature, pressure, and evolving pore-fluid chemistry. In Brazilian pre-salt reservoirs, it commonly includes dissolution, cementation, recrystallization, dolomitization, and fracture filling during continued loading, and its interaction with deep or fault-related fluids can strongly modify porosity, permeability, and reservoir quality.",True
rift basin,"Rift basin is a sedimentary basin that forms by lithospheric extension and fault-controlled subsidence during continental or marine rifting. In the Brazilian Pre-Salt, it records the early basin stage linked to Gondwana breakup and typically comprises pre-rift, syn-rift, and post-rift successions, with syn-rift growth strata generated by active normal faulting and post-rift tabular strata deposited during thermal subsidence.",True
halokinesis,"Halokinesis is a salt-tectonic deformation process that involves the flow and redistribution of evaporite layers under differential loading, generating structures such as diapirs, canopies, and salt windows. In the Santos Basin pre-salt system, it is a major control on basin restructuring and the structural styles of petroleum systems, influencing trap geometry, seal configuration, and hydrocarbon migration pathways through or around the salt section.",True
mero field,"Mero Field is a giant pre-salt oil field that is located in the Santos Basin offshore southeastern Brazil and contains hydrocarbons in carbonate reservoirs within a large structural closure beneath the salt. Discovered in 2010 in the former Libra Block, it is one of Brazil's largest recent pre-salt discoveries, with estimated original oil in place of about 11.94 billion BOE and heterogeneous microbial carbonate and coquina reservoir facies.",True
igneous rock,"Igneous rock is a rock type that forms by the cooling and solidification of magma or lava. In the Brazilian Pre-Salt, it occurs as Barremian–Aptian extrusive tholeiitic basalts and Santonian–Campanian alkaline intrusive bodies, commonly sills or saucer-shaped bodies, which may cut or follow the stratigraphy, show high seismic velocities, and strongly influence reservoir volume, flow behavior, pressure support, and associated diagenetic alteration.",True
calcirudite,"Calcirudite is a coarse-grained clastic carbonate rock that is composed mainly of granule- to pebble-sized intra- or extra-clasts, chiefly fragments of limestone and dolostone, in reworked or hybrid carbonate successions. In the Brazilian Pre-Salt, it commonly occurs as a massive, poorly sorted ruditic facies dominated by carbonate intraclasts, and it may be either clast-supported or matrix-supported with minor chert, silica, silicate grains, or ooidal-peloidal components.",True
mechanical compaction,"Mechanical compaction is a diagenetic process that reduces sediment volume and primary porosity by physically rearranging, tightening, and slightly deforming grains and laminae under burial stress, without substantial pressure-solution or other chemical mass transfer. In Brazilian pre-salt lacustrine carbonates, it is typically recognized by tight grain packing, crinkled argillaceous laminae, concave-convex to long grain contacts, and minor grain deformation, and it commonly postdates some early dolomite cements.",True
hydrothermal vent,"Hydrothermal vent is a pipe-like geological complex that forms by the fracturing, transport, and eruption of deep-sourced hydrothermal fluids and sediments, commonly in association with intrusive or volcanic activity. In the Brazilian Pre-Salt, these vents can strongly influence lacustrine carbonate systems by modifying water alkalinity and mineral supply, promoting travertine and shrub/spherulite development, and locally enhancing dissolution, vuggy porosity, and reservoir fluid flow.",True
magnesian clay,"Magnesian clay is a syngenetic Mg-rich clay-mineral aggregate that is composed mainly of stevensite and kerolite and occurs in Pre-Salt lacustrine carbonates as massive to laminated deposits commonly associated with calcitic spherulites. In Brazilian Pre-Salt reservoirs, these aggregates are chemically unstable and are commonly deformed by spherulite growth and overprinted by dolomitization, silicification, or dissolution, sometimes together with detrital siliciclastic material.",True
dolomudstone,"Dolomudstone is a mud-supported dolomitic carbonate rock that is composed mainly of very fine dolomite crystals with variable mud content and, in some cases, interlayered fine calcite particles arranged in irregular discontinuous laminations. In the Brazilian Pre-Salt, laminated dolomudstone commonly occurs as thin beds and generally acts as a non-reservoir because its porosity is very low and dominated by tiny intercrystalline and interparticle pores. Where intense fracturing is present, however, it may locally develop significant fracture-related porosity and permeability.",True
